Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.951745,8.000000,0.464468,0.272057,0.058392
2000.067587,12.000000,0.681177,0.216709,0.076462
2999.909766,18.000000,1.032762,0.351585,0.081248
3999.950480,24.000000,1.359686,0.326924,0.056583
4999.999850,25.000000,1.455844,0.096158,0.096158
5999.940373,30.000000,1.666593,0.210749,0.053673
6999.907886,31.000000,1.720128,0.053535,0.053535
7999.921912,31.000000,1.720128,0.000000,0.000000
8999.941114,32.000000,1.773925,0.053797,0.053797
10000.120040,33.000000,1.780310,0.006385,0.006385
10999.909041,37.000000,1.942930,0.162620,0.053237
11999.904220,39.000000,2.011828,0.068898,0.062656
13000.311388,41.000000,2.072223,0.060395,0.053571
13999.938395,42.000000,2.133675,0.061452,0.061452
14999.991999,44.000000,2.199271,0.065596,0.059229
15999.908751,47.000000,2.265782,0.066511,0.055213
17000.102155,48.000000,2.272121,0.006339,0.006339
18000.054360,49.000000,2.325119,0.052998,0.052998
18999.911124,49.000000,2.325119,0.000000,0.000000
19999.929740,49.000000,2.325119,0.000000,0.000000
20999.908155,50.000000,2.331919,0.006800,0.006800
21999.938871,50.000000,2.331919,0.000000,0.000000
23000.294664,51.000000,2.391093,0.059174,0.059174
24000.333588,52.000000,2.396958,0.005865,0.005865
24999.903709,54.000000,2.504469,0.107511,0.055069
26001.426355,54.000000,2.504469,0.000000,0.000000
27000.060565,54.000000,2.504469,0.000000,0.000000
28000.756241,56.000000,2.608523,0.104054,0.055471
29000.222013,57.000000,2.661535,0.053012,0.053012
29999.983901,58.000000,2.668068,0.006533,0.006533
30999.916445,60.000000,2.724594,0.056526,0.050168
32000.881935,67.000000,3.063660,0.339066,0.067872
33000.452638,68.000000,3.115600,0.051940,0.051940
33999.941764,71.000000,3.183064,0.067464,0.054151
35001.360019,72.000000,3.234590,0.051526,0.051526
35999.904866,74.000000,3.341205,0.106615,0.056008
37000.433687,74.000000,3.341205,0.000000,0.000000
38001.668229,76.000000,3.354243,0.013038,0.006923
38999.908630,77.000000,3.407274,0.053031,0.053031
40000.068137,80.000000,3.530525,0.123251,0.052941
41000.083935,81.000000,3.585151,0.054626,0.054626
41999.940902,81.000000,3.585151,0.000000,0.000000
42999.928682,82.000000,3.591245,0.006094,0.006094
44000.038801,83.000000,3.598217,0.006972,0.006972
44999.904726,85.000000,3.694996,0.096779,0.090702
46000.085536,86.000000,3.701163,0.006167,0.006167
46999.917477,87.000000,3.756949,0.055786,0.055786
48000.189665,87.000000,3.756949,0.000000,0.000000
49000.120950,88.000000,3.808346,0.051397,0.051397
49999.909059,89.000000,3.860697,0.052351,0.052351
51000.085906,90.000000,3.866358,0.005661,0.005661
51999.905145,90.000000,3.866358,0.000000,0.000000
53001.525619,92.000000,3.973785,0.107427,0.055799
53999.940487,94.000000,4.032223,0.058438,0.052320
55000.232272,98.000000,4.124315,0.092092,0.070958
56000.133610,101.000000,4.268436,0.144121,0.048407
57000.033189,102.000000,4.275444,0.007008,0.007008
57999.932085,104.000000,4.288612,0.013168,0.007055
59000.135975,108.000000,4.312416,0.023804,0.006362
59999.911257,110.000000,4.330545,0.018129,0.011626
60999.912738,112.000000,4.343019,0.012474,0.006370
62000.103891,113.000000,4.349248,0.006229,0.006229
62999.916908,116.000000,4.367433,0.018185,0.006666
64000.256354,118.000000,4.378669,0.011236,0.005873
64999.906197,119.000000,4.384904,0.006235,0.006235
65999.942531,120.000000,4.390836,0.005932,0.005932
66999.970732,122.000000,4.498035,0.107199,0.058954
67999.910505,129.000000,4.629930,0.131895,0.051047
69000.488596,132.000000,4.700308,0.070378,0.057958
69999.932981,133.000000,4.706922,0.006614,0.006614
70999.909481,135.000000,4.766300,0.059378,0.053140
71999.980122,136.000000,4.772426,0.006126,0.006126
73000.352564,139.000000,4.791217,0.018791,0.006664
73999.909186,142.000000,4.810270,0.019053,0.006443
75000.099660,143.000000,4.865208,0.054938,0.054938
76000.059631,144.000000,4.871817,0.006609,0.006609
76999.940100,145.000000,4.878049,0.006232,0.006232
77999.930375,149.000000,4.901216,0.023167,0.006106
79000.015301,150.000000,4.906910,0.005694,0.005694
