Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.951745,6.000000,0.026713,0.009244,0.006394
999.951745,17.000000,0.077646,0.045983,0.006890
2000.067587,16.000000,0.073714,0.047001,0.007266
2000.067587,23.000000,0.105066,0.027420,0.006442
2999.909766,22.000000,0.103770,0.030056,0.007214
2999.909766,35.000000,0.170711,0.065645,0.012829
3999.950480,28.000000,0.131695,0.027925,0.006383
3999.950480,47.000000,0.229356,0.058645,0.006746
4999.999850,28.000000,0.131695,0.000000,0.000000
4999.999850,49.000000,0.244428,0.015072,0.009621
5999.940373,44.000000,0.205305,0.073610,0.006860
5999.940373,57.000000,0.280921,0.036493,0.006099
6999.907886,54.000000,0.248192,0.042887,0.006116
6999.907886,59.000000,0.290739,0.009818,0.006036
7999.921912,60.000000,0.275056,0.026864,0.006019
7999.921912,59.000000,0.290739,0.000000,0.000000
8999.941114,62.000000,0.284767,0.009711,0.006731
8999.941114,61.000000,0.300590,0.009851,0.006144
10000.120040,64.000000,0.294232,0.009465,0.006043
10000.120040,61.000000,0.300590,0.000000,0.000000
10999.909041,64.000000,0.294232,0.000000,0.000000
10999.909041,67.000000,0.327170,0.026580,0.005766
11999.904220,64.000000,0.294232,0.000000,0.000000
11999.904220,70.000000,0.338916,0.011746,0.005590
13000.311388,64.000000,0.294232,0.000000,0.000000
13000.311388,72.000000,0.348464,0.009548,0.006039
13999.938395,70.000000,0.323436,0.029204,0.006827
13999.938395,74.000000,0.358710,0.010246,0.006988
14999.991999,72.000000,0.331992,0.008556,0.005470
14999.991999,76.000000,0.368761,0.010051,0.006130
15999.908751,72.000000,0.331992,0.000000,0.000000
15999.908751,78.000000,0.378280,0.009519,0.005781
17000.102155,78.000000,0.358893,0.026901,0.006887
17000.102155,78.000000,0.378280,0.000000,0.000000
18000.054360,82.000000,0.378750,0.019857,0.006650
18000.054360,80.000000,0.388035,0.009755,0.006127
18999.911124,82.000000,0.378750,0.000000,0.000000
18999.911124,80.000000,0.388035,0.000000,0.000000
19999.929740,84.000000,0.387951,0.009201,0.006097
19999.929740,80.000000,0.388035,0.000000,0.000000
20999.908155,86.000000,0.397832,0.009881,0.006234
20999.908155,80.000000,0.388035,0.000000,0.000000
21999.938871,88.000000,0.407121,0.009289,0.006185
21999.938871,80.000000,0.388035,0.000000,0.000000
23000.294664,88.000000,0.407121,0.000000,0.000000
23000.294664,82.000000,0.398764,0.010729,0.006430
24000.333588,92.000000,0.426480,0.019359,0.006254
24000.333588,82.000000,0.398764,0.000000,0.000000
24999.903709,98.000000,0.455113,0.028633,0.006472
