Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.951745,4.000000,0.154754,0.067302,0.033750
2000.067587,7.000000,0.253021,0.098267,0.034562
2999.909766,10.000000,0.348955,0.095934,0.040194
3999.950480,12.000000,0.414172,0.065217,0.032612
4999.999850,12.000000,0.414172,0.000000,0.000000
5999.940373,16.000000,0.548737,0.134565,0.034783
6999.907886,18.000000,0.608412,0.059675,0.030391
7999.921912,19.000000,0.635982,0.027570,0.027570
8999.941114,21.000000,0.694040,0.058058,0.029530
10000.120040,21.000000,0.694040,0.000000,0.000000
10999.909041,24.000000,0.775358,0.081318,0.032301
11999.904220,27.000000,0.866223,0.090865,0.032923
13000.311388,30.000000,1.013346,0.147123,0.091767
13999.938395,30.000000,1.013346,0.000000,0.000000
14999.991999,33.000000,1.099917,0.086571,0.031038
15999.908751,35.000000,1.147241,0.047324,0.024904
17000.102155,37.000000,1.210872,0.063631,0.032061
18000.054360,38.000000,1.239197,0.028325,0.028325
18999.911124,41.000000,1.349279,0.110082,0.049017
19999.929740,41.000000,1.349279,0.000000,0.000000
20999.908155,43.000000,1.406795,0.057516,0.028918
21999.938871,45.000000,1.469542,0.062747,0.032147
23000.294664,48.000000,1.553398,0.083856,0.030012
24000.333588,49.000000,1.581288,0.027890,0.027890
24999.903709,51.000000,1.642639,0.061351,0.032940
26001.426355,53.000000,1.761372,0.118733,0.089975
27000.060565,54.000000,1.793380,0.032008,0.032008
28000.756241,55.000000,1.823075,0.029695,0.029695
29000.222013,56.000000,1.850303,0.027228,0.027228
29999.983901,57.000000,1.882261,0.031958,0.031958
30999.916445,58.000000,1.914856,0.032595,0.032595
32000.881935,60.000000,1.974253,0.059397,0.031645
33000.452638,61.000000,2.003524,0.029271,0.029271
33999.941764,64.000000,2.127368,0.123844,0.058223
35001.360019,64.000000,2.127368,0.000000,0.000000
35999.904866,65.000000,2.155795,0.028427,0.028427
37000.433687,65.000000,2.155795,0.000000,0.000000
38001.668229,66.000000,2.183871,0.028076,0.028076
38999.908630,68.000000,2.241888,0.058017,0.029060
40000.068137,69.000000,2.266559,0.024671,0.024671
41000.083935,70.000000,2.294996,0.028437,0.028437
41999.940902,72.000000,2.355438,0.060442,0.030252
42999.928682,73.000000,2.383540,0.028102,0.028102
44000.038801,74.000000,2.415173,0.031633,0.031633
44999.904726,75.000000,2.444094,0.028921,0.028921
46000.085536,76.000000,2.472108,0.028014,0.028014
46999.917477,76.000000,2.472108,0.000000,0.000000
48000.189665,78.000000,2.527958,0.055850,0.028157
