Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.951745,9.000000,0.096420,0.048401,0.012297
2000.067587,11.000000,0.117298,0.020878,0.011095
2999.909766,12.000000,0.128036,0.010738,0.010738
3999.950480,13.000000,0.133987,0.005951,0.005951
4999.999850,13.000000,0.133987,0.000000,0.000000
5999.940373,21.000000,0.220210,0.086223,0.012089
6999.907886,26.000000,0.280130,0.059920,0.017935
7999.921912,27.000000,0.286121,0.005991,0.005991
8999.941114,28.000000,0.292436,0.006315,0.006315
10000.120040,30.000000,0.304076,0.011640,0.005958
10999.909041,32.000000,0.320619,0.016543,0.009844
11999.904220,33.000000,0.330505,0.009886,0.009886
13000.311388,35.000000,0.351619,0.021114,0.010663
13999.938395,37.000000,0.371396,0.019777,0.010391
14999.991999,38.000000,0.381362,0.009966,0.009966
15999.908751,41.000000,0.400780,0.019418,0.006809
17000.102155,43.000000,0.417882,0.017102,0.010297
18000.054360,44.000000,0.427252,0.009370,0.009370
18999.911124,45.000000,0.433488,0.006236,0.006236
19999.929740,48.000000,0.459294,0.025806,0.009916
20999.908155,50.000000,0.470452,0.011158,0.005671
21999.938871,51.000000,0.476471,0.006019,0.006019
23000.294664,52.000000,0.488481,0.012010,0.012010
24000.333588,53.000000,0.499358,0.010877,0.010877
24999.903709,53.000000,0.499358,0.000000,0.000000
26001.426355,54.000000,0.508960,0.009602,0.009602
27000.060565,55.000000,0.514873,0.005913,0.005913
28000.756241,56.000000,0.524180,0.009307,0.009307
29000.222013,58.000000,0.544880,0.020700,0.010598
29999.983901,61.000000,0.562967,0.018087,0.006111
30999.916445,61.000000,0.562967,0.000000,0.000000
32000.881935,62.000000,0.573170,0.010203,0.010203
33000.452638,66.000000,0.601603,0.028433,0.010457
33999.941764,67.000000,0.607642,0.006039,0.006039
35001.360019,73.000000,0.657250,0.049608,0.010741
35999.904866,74.000000,0.667341,0.010091,0.010091
37000.433687,75.000000,0.673712,0.006371,0.006371
38001.668229,79.000000,0.700287,0.026575,0.009586
38999.908630,79.000000,0.700287,0.000000,0.000000
40000.068137,79.000000,0.700287,0.000000,0.000000
41000.083935,81.000000,0.720376,0.020089,0.014430
41999.940902,81.000000,0.720376,0.000000,0.000000
42999.928682,83.000000,0.741132,0.020756,0.010463
44000.038801,84.000000,0.746588,0.005456,0.005456
44999.904726,84.000000,0.746588,0.000000,0.000000
46000.085536,84.000000,0.746588,0.000000,0.000000
46999.917477,85.000000,0.752694,0.006106,0.006106
48000.189665,85.000000,0.752694,0.000000,0.000000
49000.120950,86.000000,0.758820,0.006126,0.006126
49999.909059,89.000000,0.785963,0.027143,0.010743
51000.085906,90.000000,0.795276,0.009313,0.009313
51999.905145,90.000000,0.795276,0.000000,0.000000
53001.525619,91.000000,0.805530,0.010254,0.010254
53999.940487,94.000000,0.827214,0.021684,0.009520
55000.232272,95.000000,0.836689,0.009475,0.009475
56000.133610,101.000000,0.893204,0.056515,0.010481
57000.033189,103.000000,0.904643,0.011439,0.005872
57999.932085,103.000000,0.904643,0.000000,0.000000
59000.135975,105.000000,0.916918,0.012275,0.006245
