Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.951745,3.000000,0.168968,0.058647,0.058647
2000.067587,8.000000,0.453552,0.284584,0.060438
2999.909766,11.000000,0.632464,0.178912,0.070034
3999.950480,14.000000,0.793024,0.160560,0.055808
4999.999850,14.000000,0.793024,0.000000,0.000000
5999.940373,22.000000,1.210525,0.417501,0.057215
6999.907886,27.000000,1.464426,0.253901,0.054101
7999.921912,30.000000,1.617149,0.152723,0.055220
8999.941114,31.000000,1.675579,0.058430,0.058430
10000.120040,32.000000,1.724377,0.048798,0.048798
10999.909041,32.000000,1.724377,0.000000,0.000000
11999.904220,32.000000,1.724377,0.000000,0.000000
13000.311388,32.000000,1.724377,0.000000,0.000000
13999.938395,35.000000,1.889497,0.165120,0.059833
14999.991999,36.000000,1.938717,0.049220,0.049220
15999.908751,36.000000,1.938717,0.000000,0.000000
17000.102155,39.000000,2.098843,0.160126,0.055863
18000.054360,41.000000,2.211033,0.112190,0.056264
18999.911124,41.000000,2.211033,0.000000,0.000000
19999.929740,42.000000,2.269170,0.058137,0.058137
20999.908155,43.000000,2.324789,0.055619,0.055619
21999.938871,44.000000,2.374893,0.050104,0.050104
23000.294664,44.000000,2.374893,0.000000,0.000000
24000.333588,46.000000,2.481638,0.106745,0.054319
24999.903709,49.000000,2.640193,0.158555,0.056342
26001.426355,52.000000,2.847152,0.206959,0.096201
27000.060565,54.000000,3.009306,0.162154,0.090078
28000.756241,56.000000,3.116239,0.106933,0.055066
29000.222013,59.000000,3.270799,0.154560,0.052922
29999.983901,60.000000,3.323960,0.053161,0.053161
30999.916445,63.000000,3.481386,0.157426,0.053154
32000.881935,63.000000,3.481386,0.000000,0.000000
33000.452638,65.000000,3.589449,0.108063,0.054468
33999.941764,66.000000,3.702214,0.112765,0.112765
35001.360019,67.000000,3.758051,0.055837,0.055837
35999.904866,70.000000,3.915500,0.157449,0.054819
37000.433687,70.000000,3.915500,0.000000,0.000000
38001.668229,75.000000,4.186443,0.270943,0.068738
38999.908630,75.000000,4.186443,0.000000,0.000000
40000.068137,77.000000,4.306174,0.119731,0.068959
41000.083935,77.000000,4.306174,0.000000,0.000000
41999.940902,79.000000,4.415843,0.109669,0.055385
42999.928682,79.000000,4.415843,0.000000,0.000000
44000.038801,82.000000,4.569771,0.153928,0.056772
44999.904726,84.000000,4.733016,0.163245,0.111530
46000.085536,85.000000,4.786475,0.053459,0.053459
46999.917477,86.000000,4.839059,0.052584,0.052584
48000.189665,88.000000,4.944545,0.105486,0.055096
49000.120950,89.000000,4.995177,0.050632,0.050632
49999.909059,92.000000,5.155081,0.159904,0.056704
51000.085906,94.000000,5.283618,0.128537,0.071936
51999.905145,97.000000,5.460308,0.176690,0.073319
53001.525619,98.000000,5.514815,0.054507,0.054507
53999.940487,98.000000,5.514815,0.000000,0.000000
55000.232272,98.000000,5.514815,0.000000,0.000000
56000.133610,98.000000,5.514815,0.000000,0.000000
57000.033189,100.000000,5.609644,0.094829,0.048337
