Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.951745,47.000000,150.844326,2.597810,0.141048
2000.067587,64.000000,152.825562,1.981236,0.162823
2999.909766,84.000000,155.102608,2.277046,0.176649
3999.950480,100.000000,156.972228,1.869620,0.163837
4999.999850,101.000000,157.216981,0.244753,0.244753
5999.940373,133.000000,160.599660,3.382679,0.134021
6999.907886,149.000000,162.305726,1.706066,0.205527
7999.921912,158.000000,163.238886,0.933160,0.124360
8999.941114,165.000000,163.939262,0.700376,0.127171
10000.120040,175.000000,164.981543,1.042281,0.204108
10999.909041,186.000000,166.110883,1.129340,0.122624
11999.904220,196.000000,167.216945,1.106062,0.171300
13000.311388,205.000000,168.153592,0.936647,0.168719
13999.938395,213.000000,168.997124,0.843532,0.137551
14999.991999,221.000000,169.815709,0.818585,0.130298
15999.908751,232.000000,170.757103,0.941394,0.120144
17000.102155,242.000000,171.836620,1.079517,0.130752
18000.054360,250.000000,172.748269,0.911649,0.145446
18999.911124,256.000000,173.415517,0.667248,0.139250
19999.929740,263.000000,174.059648,0.644131,0.144975
20999.908155,271.000000,174.814486,0.754838,0.125542
21999.938871,281.000000,175.804735,0.990249,0.121742
23000.294664,291.000000,176.777994,0.973259,0.127469
24000.333588,300.000000,177.578798,0.800804,0.122955
24999.903709,308.000000,178.548249,0.969451,0.179753
26001.426355,316.000000,179.516983,0.968734,0.175463
27000.060565,323.000000,180.292072,0.775089,0.173414
28000.756241,333.000000,181.295092,1.003020,0.123403
29000.222013,342.000000,182.187207,0.892115,0.122621
29999.983901,351.000000,183.048646,0.861439,0.123328
30999.916445,358.000000,183.803573,0.754927,0.123862
32000.881935,369.000000,185.025870,1.222297,0.132162
33000.452638,378.000000,185.916720,0.890850,0.127987
33999.941764,388.000000,187.070255,1.153535,0.181519
35001.360019,397.000000,187.843517,0.773262,0.125818
35999.904866,405.000000,188.706810,0.863293,0.124073
37000.433687,416.000000,189.826881,1.120071,0.137868
38001.668229,429.000000,191.074350,1.247469,0.137319
38999.908630,435.000000,191.760995,0.686645,0.120222
40000.068137,444.000000,192.711354,0.950359,0.145635
41000.083935,453.000000,193.773513,1.062159,0.333812
41999.940902,461.000000,194.668927,0.895414,0.138446
42999.928682,470.000000,195.505133,0.836206,0.127389
44000.038801,479.000000,196.399831,0.894698,0.125234
44999.904726,487.000000,197.342173,0.942342,0.176104
46000.085536,492.000000,197.838268,0.496095,0.127408
46999.917477,496.000000,198.255668,0.417400,0.125019
48000.189665,502.000000,198.931911,0.676243,0.125165
49000.120950,509.000000,199.686014,0.754103,0.128944
49999.909059,518.000000,200.615990,0.929976,0.143532
51000.085906,527.000000,201.577011,0.961021,0.166394
51999.905145,535.000000,202.554479,0.977468,0.203145
53001.525619,544.000000,203.531196,0.976717,0.133286
53999.940487,553.000000,204.402092,0.870896,0.135046
55000.232272,564.000000,205.628262,1.226170,0.198417
56000.133610,577.000000,206.873846,1.245584,0.152168
57000.033189,588.000000,207.944241,1.070395,0.122805
57999.932085,599.000000,209.014527,1.070286,0.117888
59000.135975,610.000000,209.959956,0.945429,0.122809
59999.911257,622.000000,211.040110,1.080154,0.117283
60999.912738,635.000000,212.341675,1.301565,0.183131
62000.103891,646.000000,213.380832,1.039157,0.116612
62999.916908,659.000000,214.579962,1.199130,0.128414
64000.256354,670.000000,215.626941,1.046979,0.166758
64999.906197,681.000000,216.621160,0.994219,0.118173
65999.942531,694.000000,217.670737,1.049577,0.112565
66999.970732,707.000000,218.991997,1.321260,0.153864
67999.910505,718.000000,219.936266,0.944269,0.117996
69000.488596,726.000000,220.769224,0.832958,0.170893
69999.932981,734.000000,221.610520,0.841296,0.131423
70999.909481,741.000000,222.338983,0.728463,0.169195
71999.980122,749.000000,222.994545,0.655562,0.117256
73000.352564,758.000000,223.823217,0.828672,0.116735
73999.909186,767.000000,224.740889,0.917672,0.126690
75000.099660,778.000000,225.722791,0.981902,0.126095
76000.059631,790.000000,226.991514,1.268723,0.129344
76999.940100,800.000000,227.991545,1.000031,0.145832
77999.930375,814.000000,229.237969,1.246424,0.125743
79000.015301,826.000000,230.352501,1.114532,0.125299
79999.905779,838.000000,231.613015,1.260514,0.172833
80999.935143,852.000000,232.970181,1.357166,0.216434
82000.124931,862.000000,234.063042,1.092861,0.164753
82999.913435,874.000000,235.326231,1.263189,0.153323
83999.912023,887.000000,236.554669,1.228438,0.128581
84999.936328,900.000000,237.808917,1.254248,0.149168
85999.903179,913.000000,238.955929,1.147012,0.126741
86999.942090,926.000000,240.111553,1.155624,0.116575
87999.906251,939.000000,241.271659,1.160106,0.131848
88999.907333,952.000000,242.580402,1.308743,0.116795
89999.907304,965.000000,243.731867,1.151465,0.149685
91000.495692,979.000000,244.987140,1.255273,0.132376
91999.904790,991.000000,246.100796,1.113656,0.115632
92999.944383,1004.000000,247.311164,1.210368,0.160783
93999.894457,1015.000000,248.437063,1.125899,0.124084
95000.089837,1027.000000,249.543245,1.106182,0.124492
95999.932056,1041.000000,250.799262,1.256017,0.118134
97000.015663,1053.000000,252.048165,1.248903,0.162469
98000.352375,1067.000000,253.184337,1.136172,0.140275
98999.905224,1078.000000,254.100338,0.916001,0.118957
100001.058793,1090.000000,255.150258,1.049920,0.111026
100999.934969,1104.000000,256.350614,1.200356,0.113605
101999.908676,1116.000000,257.504961,1.154347,0.126304
103000.401808,1129.000000,258.664728,1.159767,0.120532
104000.096941,1142.000000,259.908035,1.243307,0.117504
104999.900532,1155.000000,261.105387,1.197352,0.125207
106000.061718,1169.000000,262.401335,1.295948,0.121769
106999.928794,1183.000000,263.619177,1.217842,0.120874
107999.908853,1196.000000,264.854345,1.235168,0.119576
109001.198067,1209.000000,266.023094,1.168749,0.127017
109999.942133,1221.000000,267.221580,1.198486,0.152851
110999.911867,1232.000000,268.254012,1.032432,0.182771
112000.020074,1247.000000,269.649620,1.395608,0.114901
113000.329673,1260.000000,271.086421,1.436801,0.158330
113999.936845,1272.000000,272.207491,1.121070,0.118857
115001.113752,1286.000000,273.374763,1.167272,0.116342
115999.904659,1298.000000,274.356733,0.981970,0.125333
116999.908760,1311.000000,275.517979,1.161246,0.122548
117999.908620,1325.000000,276.951434,1.433455,0.137445
118999.909182,1338.000000,278.115504,1.164070,0.112591
120000.073556,1351.000000,279.409029,1.293525,0.124180
121001.149870,1364.000000,280.602051,1.193022,0.121039
121999.907558,1374.000000,281.667581,1.065530,0.173641
123000.454634,1387.000000,282.721564,1.053983,0.123885
123999.903841,1404.000000,284.170255,1.448691,0.112102
125000.789619,1417.000000,285.332588,1.162333,0.118295
125999.923008,1430.000000,286.529305,1.196717,0.124396
127001.425841,1441.000000,287.433863,0.904558,0.109715
127999.928512,1454.000000,288.622273,1.188410,0.123964
129000.703734,1468.000000,289.928304,1.306031,0.179111
129999.923339,1483.000000,291.316066,1.387762,0.154750
130999.904963,1496.000000,292.505891,1.189825,0.129619
131999.906842,1508.000000,293.587356,1.081465,0.112767
133001.034726,1518.000000,294.532215,0.944859,0.111137
133999.903322,1532.000000,295.647734,1.115519,0.106838
134999.907558,1546.000000,296.855074,1.207340,0.118314
136000.021192,1562.000000,298.286793,1.431719,0.139358
136999.943441,1575.000000,299.501101,1.214308,0.127206
137999.928269,1587.000000,300.510784,1.009683,0.113621
138999.907581,1599.000000,301.729070,1.218286,0.124371
140000.067213,1612.000000,302.861504,1.132434,0.126994
140999.937133,1625.000000,304.089982,1.228478,0.151868
141999.909078,1641.000000,305.597685,1.507703,0.151860
143000.426648,1652.000000,306.609161,1.011476,0.127033
143999.907286,1665.000000,307.908120,1.298959,0.182175
144999.874534,1678.000000,309.115165,1.207045,0.139538
145999.936219,1690.000000,310.302913,1.187748,0.116624
146999.938794,1703.000000,311.461305,1.158392,0.155521
147999.910574,1718.000000,312.871110,1.409805,0.119323
148999.932964,1731.000000,314.045988,1.174878,0.117499
149999.906480,1744.000000,315.187837,1.141849,0.128103
151001.514994,1756.000000,316.325367,1.137530,0.118875
151999.907654,1770.000000,317.651958,1.326591,0.196329
152999.910181,1783.000000,319.036179,1.384221,0.161064
153999.903861,1796.000000,320.192918,1.156739,0.129742
155000.619242,1807.000000,321.106382,0.913464,0.109675
155999.939435,1820.000000,322.245759,1.139377,0.116735
156999.919995,1833.000000,323.568237,1.322478,0.127099
157999.905956,1847.000000,324.744369,1.176132,0.122594
158999.906082,1858.000000,325.752400,1.008031,0.120146
160001.102956,1871.000000,327.112134,1.359734,0.171677
160999.932728,1884.000000,328.267392,1.155258,0.187230
161999.961128,1898.000000,329.456871,1.189479,0.128990
163001.263061,1910.000000,330.568869,1.111998,0.117665
164000.139620,1923.000000,331.874230,1.305361,0.123292
164999.909991,1937.000000,333.063895,1.189665,0.115453
166000.109025,1950.000000,334.330502,1.266607,0.127157
166999.936238,1964.000000,335.596656,1.266154,0.122416
167999.913416,1976.000000,336.738561,1.141905,0.135562
168999.905777,1989.000000,337.966969,1.228408,0.156910
169999.907334,2004.000000,339.170738,1.203769,0.108877
171000.108586,2015.000000,340.257460,1.086722,0.117706
172001.028037,2031.000000,341.723698,1.466238,0.149968
173000.956154,2044.000000,342.928708,1.205010,0.121113
173999.931954,2057.000000,344.188006,1.259298,0.122458
174999.929135,2068.000000,345.368364,1.180358,0.240817
175999.906375,2081.000000,346.596508,1.228144,0.197225
176999.904316,2094.000000,347.859973,1.263465,0.147376
177999.995780,2107.000000,349.263287,1.403314,0.179205
178999.912695,2117.000000,350.110476,0.847189,0.101288
180000.450041,2128.000000,351.145260,1.034784,0.121163
181000.087937,2137.000000,352.003353,0.858093,0.126693
181999.937354,2148.000000,352.980282,0.976929,0.124016
182999.912290,2159.000000,353.957970,0.977688,0.123738
184000.013026,2172.000000,355.146685,1.188715,0.133809
185003.324847,2177.000000,355.637019,0.490334,0.106153
186001.129929,2186.000000,356.411517,0.774498,0.115367
186999.904495,2196.000000,357.345662,0.934145,0.138665
187999.906421,2206.000000,358.137320,0.791658,0.115510
188999.908747,2217.000000,359.206799,1.069479,0.114383
189999.905371,2227.000000,360.071774,0.864975,0.107915
190999.906577,2235.000000,360.821421,0.749647,0.114788
191999.909039,2242.000000,361.421169,0.599748,0.108509
192999.988384,2252.000000,362.355484,0.934315,0.149882
193999.908574,2259.000000,363.147602,0.792118,0.242836
194999.914738,2271.000000,364.161067,1.013465,0.114246
196000.014772,2287.000000,365.516410,1.355343,0.114418
196999.904234,2299.000000,366.728440,1.212030,0.115238
197999.908487,2311.000000,367.820097,1.091657,0.117618
198999.903953,2324.000000,369.128498,1.308401,0.188936
199999.933867,2337.000000,370.309729,1.181231,0.132550
201003.696764,2349.000000,371.403013,1.093284,0.114063
202001.100805,2363.000000,372.841134,1.438121,0.149461
203000.571661,2374.000000,373.910212,1.069078,0.176503
203999.936521,2387.000000,375.084409,1.174197,0.130414
205000.046265,2400.000000,376.234298,1.149889,0.109804
205999.900657,2413.000000,377.450305,1.216007,0.125673
206999.907655,2425.000000,378.602585,1.152280,0.165344
207999.911000,2439.000000,379.860142,1.257557,0.133731
208999.904307,2453.000000,380.943477,1.083335,0.111193
209999.941743,2466.000000,382.132655,1.189178,0.113667
210999.906159,2478.000000,383.343052,1.210397,0.116712
211999.907516,2490.000000,384.440174,1.097122,0.115867
213000.450661,2501.000000,385.464956,1.024782,0.109218
213999.904532,2517.000000,386.844873,1.379917,0.129983
214999.904782,2531.000000,388.142372,1.297499,0.122047
216000.139324,2543.000000,389.292615,1.150243,0.137464
217001.680927,2556.000000,390.697175,1.404560,0.221733
217999.906751,2568.000000,391.669698,0.972523,0.115260
219000.077234,2581.000000,392.804922,1.135224,0.127447
219999.903534,2597.000000,394.343292,1.538370,0.134992
220999.923678,2609.000000,395.530748,1.187456,0.121066
221999.929048,2621.000000,396.669411,1.138663,0.151297
222999.901935,2630.000000,397.564206,0.894795,0.113610
223999.927616,2643.000000,398.841327,1.277121,0.137178
224999.908958,2656.000000,400.007090,1.165763,0.161329
226001.053116,2673.000000,401.436966,1.429876,0.112748
226999.911765,2687.000000,402.630853,1.193887,0.113704
227999.993595,2700.000000,403.960035,1.329182,0.223046
229001.075831,2711.000000,404.979111,1.019076,0.113578
229999.906094,2725.000000,406.150040,1.170929,0.152653
230999.906223,2738.000000,407.330121,1.180081,0.124099
232000.529383,2754.000000,408.739877,1.409756,0.126435
233000.558721,2767.000000,409.967730,1.227853,0.129556
233999.940016,2778.000000,410.821501,0.853771,0.099386
235000.078981,2792.000000,411.956002,1.134501,0.138030
236001.187858,2805.000000,413.222480,1.266478,0.147083
236999.934465,2818.000000,414.465015,1.242535,0.184679
238000.181777,2833.000000,415.886145,1.421130,0.124072
239000.464577,2844.000000,416.918811,1.032666,0.112922
239999.897983,2857.000000,418.019100,1.100289,0.122543
241001.056325,2869.000000,419.186210,1.167110,0.116390
241999.909056,2882.000000,420.385430,1.199220,0.133936
243000.304137,2895.000000,421.583613,1.198183,0.119364
244000.023136,2911.000000,423.075467,1.491854,0.141923
244999.924754,2920.000000,424.081841,1.006374,0.222311
246000.102796,2933.000000,425.354373,1.272532,0.163876
246999.910393,2946.000000,426.440382,1.086009,0.130329
247999.926427,2960.000000,427.633130,1.192748,0.124044
249002.001958,2973.000000,428.859459,1.226329,0.125392
249999.902691,2987.000000,430.021430,1.161971,0.121304
250999.869974,3000.000000,431.150161,1.128731,0.124398
251999.908426,3013.000000,432.270270,1.120109,0.118582
253000.121732,3025.000000,433.407849,1.137579,0.112678
253999.907107,3037.000000,434.639934,1.232085,0.166179
254999.937992,3049.000000,435.727321,1.087387,0.119477
255999.900979,3064.000000,437.087529,1.360208,0.127533
256999.907483,3076.000000,438.349846,1.262317,0.226599
257999.938715,3089.000000,439.606793,1.256947,0.201236
258999.908878,3102.000000,440.748816,1.142023,0.118548
260000.143542,3114.000000,441.857132,1.108316,0.144949
260999.961380,3125.000000,442.895333,1.038201,0.119889
262000.051405,3140.000000,444.529353,1.634020,0.356682
263001.988793,3153.000000,445.669620,1.140267,0.110578
263999.906718,3167.000000,446.934649,1.265029,0.119216
265001.255573,3180.000000,448.169977,1.235328,0.171169
265999.907107,3192.000000,449.266322,1.096345,0.125644
266999.933416,3205.000000,450.390783,1.124461,0.111209
267999.905885,3221.000000,451.728374,1.337591,0.117176
269000.537168,3234.000000,452.906588,1.178214,0.125907
269999.936695,3248.000000,454.204396,1.297808,0.117229
271001.506893,3260.000000,455.335350,1.130954,0.135983
271999.906270,3273.000000,456.594252,1.258902,0.156697
273000.300283,3287.000000,457.939261,1.345009,0.158259
274000.057349,3303.000000,459.356495,1.417234,0.134101
275000.089319,3314.000000,460.433791,1.077296,0.131581
275999.961196,3326.000000,461.634336,1.200545,0.118377
277001.699036,3340.000000,462.928958,1.294622,0.143414
278000.053135,3353.000000,464.312917,1.383959,0.163278
278999.946850,3366.000000,465.695973,1.383056,0.176645
280000.663467,3382.000000,467.176280,1.480307,0.145900
280999.906223,3396.000000,468.423755,1.247475,0.157089
281999.944467,3408.000000,469.591735,1.167980,0.122115
283000.404663,3419.000000,470.545506,0.953771,0.125010
284000.433143,3433.000000,471.914436,1.368930,0.157054
284999.907584,3446.000000,473.065510,1.151074,0.155372
285999.955977,3461.000000,474.446384,1.380874,0.113390
286999.940885,3473.000000,475.762393,1.316009,0.169624
287999.989299,3486.000000,476.911347,1.148954,0.126642
289002.049838,3499.000000,478.330264,1.418917,0.175273
289999.991271,3512.000000,479.588547,1.258283,0.179486
290999.907041,3523.000000,480.626238,1.037691,0.119697
291999.929863,3539.000000,482.139239,1.513001,0.135347
292999.935858,3552.000000,483.237902,1.098663,0.117558
293999.935535,3566.000000,484.562875,1.324973,0.191462
295000.242767,3578.000000,485.764468,1.201593,0.142940
295999.928630,3592.000000,487.138186,1.373718,0.120114
296999.868337,3605.000000,488.260211,1.122025,0.110536
297999.924856,3621.000000,489.829789,1.569578,0.125264
298999.934494,3633.000000,490.936521,1.106732,0.124117
300001.817202,3645.000000,492.136911,1.200390,0.155824
300999.906490,3658.000000,493.400830,1.263919,0.128781
301999.907325,3670.000000,494.601925,1.201095,0.161837
303000.507011,3683.000000,495.994024,1.392099,0.165129
303999.912417,3700.000000,497.428659,1.434635,0.191641
304999.914632,3710.000000,498.308561,0.879902,0.111767
305999.911638,3719.000000,499.134994,0.826433,0.123212
307000.917419,3729.000000,500.097565,0.962571,0.111926
307999.909242,3737.000000,500.827494,0.729929,0.117216
309000.170540,3744.000000,501.458772,0.631278,0.109841
309999.906613,3757.000000,502.646538,1.187766,0.117791
310999.917999,3769.000000,503.705280,1.058742,0.111797
311999.916295,3781.000000,504.800835,1.095555,0.115326
313000.188600,3792.000000,505.761244,0.960409,0.122451
313999.930512,3803.000000,506.872049,1.110805,0.151225
315000.133586,3814.000000,507.911030,1.038981,0.155235
315999.904537,3827.000000,509.177744,1.266714,0.121443
317000.150443,3840.000000,510.441813,1.264069,0.180036
318001.511956,3854.000000,511.705112,1.263299,0.244154
319000.175746,3867.000000,512.890753,1.185641,0.125837
319999.907583,3880.000000,513.998795,1.108042,0.115861
320999.913847,3892.000000,515.067414,1.068619,0.113209
321999.909892,3907.000000,516.446425,1.379011,0.122185
323000.360192,3919.000000,517.749679,1.303254,0.234963
323999.864429,3933.000000,519.007964,1.258285,0.128868
325000.045201,3945.000000,520.522527,1.514563,0.331513
325999.906456,3958.000000,521.657837,1.135310,0.117889
326999.909754,3969.000000,522.743764,1.085927,0.165514
327999.901925,3985.000000,524.201957,1.458193,0.117541
328999.938767,3998.000000,525.346171,1.144214,0.117625
329999.905219,4011.000000,526.658009,1.311838,0.124373
331000.169505,4018.000000,527.325793,0.667784,0.118350
331999.908477,4028.000000,528.488432,1.162639,0.296470
332999.883668,4040.000000,529.662717,1.174285,0.121586
334000.096309,4056.000000,530.897361,1.234644,0.112713
334999.912167,4066.000000,531.799303,0.901942,0.119880
336000.159318,4077.000000,532.829210,1.029907,0.133586
337000.143257,4087.000000,533.857103,1.027893,0.158454
338000.507469,4099.000000,535.007016,1.149913,0.150846
338999.895203,4109.000000,536.016425,1.009409,0.150088
339999.936905,4119.000000,537.103186,1.086761,0.128681
341000.266256,4127.000000,537.910716,0.807530,0.146815
341999.912955,4138.000000,538.957078,1.046362,0.122128
343000.115908,4149.000000,540.017119,1.060041,0.123125
343999.939521,4161.000000,541.094040,1.076921,0.110013
345000.061404,4173.000000,542.202095,1.108055,0.124778
345999.910217,4189.000000,543.883595,1.681500,0.148320
346999.903782,4201.000000,545.002990,1.119395,0.123447
347999.929919,4212.000000,546.119329,1.116339,0.137304
348999.906576,4225.000000,547.204295,1.084966,0.111420
349999.941440,4237.000000,548.419985,1.215690,0.123055
351000.047841,4249.000000,549.582622,1.162637,0.115696
352000.562235,4264.000000,550.863554,1.280932,0.161888
353001.583342,4275.000000,551.897798,1.034244,0.119925
353999.909390,4288.000000,553.163908,1.266110,0.129010
355000.856710,4300.000000,554.283933,1.120025,0.113872
355999.902587,4313.000000,555.371742,1.087809,0.134383
356999.977324,4324.000000,556.413660,1.041918,0.125291
357999.908403,4339.000000,557.813678,1.400018,0.126430
359000.159504,4350.000000,558.787399,0.973721,0.114938
360000.119304,4359.000000,559.502130,0.714731,0.105244
360999.912988,4369.000000,560.402568,0.900438,0.130491
361999.939177,4378.000000,561.453780,1.051212,0.238368
363000.296787,4391.000000,562.519811,1.066031,0.113234
363999.906106,4404.000000,563.753508,1.233697,0.194955
