Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.951745,47.000000,2.893926,1.353581,0.082327
2000.067587,64.000000,3.989631,1.095705,0.102882
2999.909766,84.000000,5.255352,1.265721,0.112597
3999.950480,100.000000,6.314105,1.058753,0.098897
4999.999850,101.000000,6.447772,0.133667,0.133667
5999.940373,133.000000,8.185370,1.737598,0.079467
6999.907886,149.000000,9.029992,0.844622,0.076370
7999.921912,158.000000,9.535465,0.505473,0.076710
8999.941114,165.000000,9.895682,0.360217,0.079026
10000.120040,175.000000,10.474664,0.578982,0.157219
10999.909041,186.000000,11.070283,0.595619,0.073254
11999.904220,196.000000,11.627649,0.557366,0.085377
13000.311388,205.000000,12.128608,0.500959,0.118681
13999.938395,213.000000,12.590309,0.461701,0.083356
14999.991999,221.000000,13.010307,0.419998,0.079954
15999.908751,232.000000,13.434265,0.423958,0.074533
17000.102155,242.000000,14.007754,0.573489,0.077324
18000.054360,250.000000,14.527089,0.519335,0.099746
18999.911124,256.000000,14.887513,0.360424,0.083536
19999.929740,263.000000,15.188521,0.301008,0.080747
20999.908155,271.000000,15.553868,0.365347,0.076970
21999.938871,281.000000,16.023322,0.469454,0.069213
23000.294664,291.000000,16.495714,0.472392,0.080007
24000.333588,300.000000,16.880991,0.385277,0.075637
24999.903709,308.000000,17.447478,0.566487,0.123157
26001.426355,316.000000,18.023075,0.575597,0.120783
27000.060565,323.000000,18.447723,0.424648,0.117734
28000.756241,333.000000,18.977179,0.529456,0.075962
29000.222013,342.000000,19.445049,0.467870,0.074467
29999.983901,351.000000,19.882595,0.437546,0.076540
30999.916445,358.000000,20.296228,0.413633,0.074956
32000.881935,369.000000,20.958617,0.662389,0.086821
33000.452638,378.000000,21.419215,0.460598,0.078547
33999.941764,388.000000,22.072930,0.653715,0.134380
35001.360019,397.000000,22.436011,0.363081,0.077241
35999.904866,405.000000,22.919057,0.483046,0.076343
37000.433687,416.000000,23.495882,0.576825,0.083186
38001.668229,429.000000,24.128160,0.632278,0.089165
38999.908630,435.000000,24.521200,0.393040,0.074615
40000.068137,444.000000,25.040185,0.518985,0.090807
41000.083935,453.000000,25.434526,0.394341,0.075081
41999.940902,461.000000,25.905821,0.471295,0.078135
42999.928682,470.000000,26.290226,0.384405,0.064762
44000.038801,479.000000,26.767585,0.477359,0.081028
44999.904726,487.000000,27.333724,0.566139,0.130461
46000.085536,492.000000,27.583174,0.249450,0.077540
46999.917477,496.000000,27.815655,0.232481,0.076622
48000.189665,502.000000,28.198213,0.382558,0.076719
49000.120950,509.000000,28.586980,0.388767,0.071329
49999.909059,518.000000,29.077777,0.490797,0.078951
51000.085906,527.000000,29.525495,0.447718,0.093150
