Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.951745,15.000000,0.081470,0.043146,0.005574
2000.067587,15.000000,0.081470,0.000000,0.000000
2999.909766,18.000000,0.096245,0.014775,0.005092
3999.950480,21.000000,0.110373,0.014128,0.005186
4999.999850,21.000000,0.110373,0.000000,0.000000
5999.940373,26.000000,0.132911,0.022538,0.005158
6999.907886,27.000000,0.137998,0.005087,0.005087
7999.921912,31.000000,0.156692,0.018694,0.005257
8999.941114,31.000000,0.156692,0.000000,0.000000
10000.120040,36.000000,0.180132,0.023440,0.005964
10999.909041,39.000000,0.193750,0.013618,0.004779
11999.904220,43.000000,0.211659,0.017909,0.004929
13000.311388,43.000000,0.211659,0.000000,0.000000
13999.938395,44.000000,0.216054,0.004395,0.004395
14999.991999,44.000000,0.216054,0.000000,0.000000
15999.908751,45.000000,0.220556,0.004502,0.004502
17000.102155,46.000000,0.225671,0.005115,0.005115
18000.054360,49.000000,0.240466,0.014795,0.006346
18999.911124,52.000000,0.254791,0.014325,0.005463
19999.929740,54.000000,0.263654,0.008863,0.004759
20999.908155,55.000000,0.268528,0.004874,0.004874
21999.938871,58.000000,0.281972,0.013444,0.004846
23000.294664,59.000000,0.287019,0.005047,0.005047
24000.333588,59.000000,0.287019,0.000000,0.000000
24999.903709,59.000000,0.287019,0.000000,0.000000
26001.426355,60.000000,0.292534,0.005515,0.005515
27000.060565,61.000000,0.297632,0.005098,0.005098
28000.756241,62.000000,0.302615,0.004983,0.004983
29000.222013,62.000000,0.302615,0.000000,0.000000
29999.983901,67.000000,0.324564,0.021949,0.005199
30999.916445,67.000000,0.324564,0.000000,0.000000
32000.881935,67.000000,0.324564,0.000000,0.000000
33000.452638,68.000000,0.329011,0.004447,0.004447
33999.941764,71.000000,0.343471,0.014460,0.005249
35001.360019,71.000000,0.343471,0.000000,0.000000
35999.904866,71.000000,0.343471,0.000000,0.000000
37000.433687,83.000000,0.397484,0.054013,0.005467
38001.668229,83.000000,0.397484,0.000000,0.000000
38999.908630,88.000000,0.421127,0.023643,0.006334
40000.068137,89.000000,0.425994,0.004867,0.004867
41000.083935,91.000000,0.434749,0.008755,0.004921
41999.940902,94.000000,0.449543,0.014794,0.005480
42999.928682,97.000000,0.463038,0.013495,0.005221
44000.038801,100.000000,0.476186,0.013148,0.005031
44999.904726,103.000000,0.491187,0.015001,0.005269
46000.085536,104.000000,0.496740,0.005553,0.005553
46999.917477,105.000000,0.502092,0.005352,0.005352
48000.189665,108.000000,0.515732,0.013640,0.005129
49000.120950,112.000000,0.534136,0.018404,0.005591
49999.909059,114.000000,0.543523,0.009387,0.005542
51000.085906,114.000000,0.543523,0.000000,0.000000
51999.905145,116.000000,0.553924,0.010401,0.005318
53001.525619,121.000000,0.577226,0.023302,0.005607
53999.940487,124.000000,0.591139,0.013913,0.005510
55000.232272,128.000000,0.607945,0.016806,0.004879
56000.133610,128.000000,0.607945,0.000000,0.000000
57000.033189,129.000000,0.613029,0.005084,0.005084
57999.932085,131.000000,0.624044,0.011015,0.005818
59000.135975,132.000000,0.628958,0.004914,0.004914
59999.911257,135.000000,0.642718,0.013760,0.005039
60999.912738,138.000000,0.656026,0.013308,0.004779
62000.103891,140.000000,0.666148,0.010122,0.005087
62999.916908,142.000000,0.676411,0.010263,0.005196
64000.256354,146.000000,0.694809,0.018398,0.005124
64999.906197,149.000000,0.708769,0.013960,0.005364
65999.942531,152.000000,0.722939,0.014170,0.005565
66999.970732,159.000000,0.759401,0.036462,0.007991
67999.910505,160.000000,0.764426,0.005025,0.005025
69000.488596,162.000000,0.785475,0.021049,0.015908
69999.932981,165.000000,0.799539,0.014064,0.005327
70999.909481,166.000000,0.804485,0.004946,0.004946
71999.980122,166.000000,0.804485,0.000000,0.000000
73000.352564,170.000000,0.823830,0.019345,0.005253
73999.909186,172.000000,0.833210,0.009380,0.005452
75000.099660,173.000000,0.838447,0.005237,0.005237
76000.059631,178.000000,0.860291,0.021844,0.005227
76999.940100,181.000000,0.873666,0.013375,0.004756
77999.930375,181.000000,0.873666,0.000000,0.000000
79000.015301,183.000000,0.883692,0.010026,0.005063
79999.905779,188.000000,0.906537,0.022845,0.005458
80999.935143,189.000000,0.911541,0.005004,0.005004
82000.124931,190.000000,0.916742,0.005201,0.005201
82999.913435,195.000000,0.939355,0.022613,0.005464
83999.912023,198.000000,0.953135,0.013780,0.005276
84999.936328,202.000000,0.971955,0.018820,0.005341
85999.903179,206.000000,0.989996,0.018041,0.005000
86999.942090,212.000000,1.016474,0.026478,0.005125
87999.906251,218.000000,1.045164,0.028690,0.006216
88999.907333,224.000000,1.072471,0.027307,0.005141
89999.907304,224.000000,1.072471,0.000000,0.000000
91000.495692,229.000000,1.094774,0.022303,0.005270
91999.904790,231.000000,1.104866,0.010092,0.005146
92999.944383,235.000000,1.121781,0.016915,0.005199
93999.894457,239.000000,1.140541,0.018760,0.005397
95000.089837,243.000000,1.159657,0.019116,0.005080
95999.932056,249.000000,1.187015,0.027358,0.005344
97000.015663,256.000000,1.222347,0.035332,0.006468
98000.352375,258.000000,1.231937,0.009590,0.005044
98999.905224,260.000000,1.242055,0.010118,0.005073
100001.058793,263.000000,1.254522,0.012467,0.004604
100999.934969,265.000000,1.263248,0.008726,0.004695
101999.908676,267.000000,1.273378,0.010130,0.005176
103000.401808,269.000000,1.283419,0.010041,0.005640
104000.096941,271.000000,1.292745,0.009326,0.005071
104999.900532,271.000000,1.292745,0.000000,0.000000
106000.061718,275.000000,1.310361,0.017616,0.004836
106999.928794,277.000000,1.319296,0.008935,0.005341
107999.908853,282.000000,1.344034,0.024738,0.005611
109001.198067,282.000000,1.344034,0.000000,0.000000
109999.942133,284.000000,1.354125,0.010091,0.005291
110999.911867,284.000000,1.354125,0.000000,0.000000
112000.020074,289.000000,1.378364,0.024239,0.005507
113000.329673,291.000000,1.388976,0.010612,0.005636
113999.936845,297.000000,1.417236,0.028260,0.005432
115001.113752,299.000000,1.427408,0.010172,0.005287
115999.904659,301.000000,1.436445,0.009037,0.005008
116999.908760,303.000000,1.448008,0.011563,0.006642
117999.908620,309.000000,1.476843,0.028835,0.005820
118999.909182,314.000000,1.499488,0.022645,0.005019
120000.073556,319.000000,1.523864,0.024376,0.005806
121001.149870,320.000000,1.528849,0.004985,0.004985
121999.907558,328.000000,1.572567,0.043718,0.006643
123000.454634,329.000000,1.577532,0.004965,0.004965
123999.903841,332.000000,1.590534,0.013002,0.004783
125000.789619,332.000000,1.590534,0.000000,0.000000
125999.923008,342.000000,1.635241,0.044707,0.005512
127001.425841,344.000000,1.644048,0.008807,0.004941
127999.928512,345.000000,1.649545,0.005497,0.005497
129000.703734,348.000000,1.663636,0.014091,0.005154
129999.923339,349.000000,1.668784,0.005148,0.005148
130999.904963,352.000000,1.683405,0.014621,0.005230
131999.906842,355.000000,1.697271,0.013866,0.004956
133001.034726,357.000000,1.708136,0.010865,0.005480
133999.903322,359.000000,1.716528,0.008392,0.004986
134999.907558,362.000000,1.732314,0.015786,0.005468
136000.021192,366.000000,1.750621,0.018307,0.004814
136999.943441,368.000000,1.759917,0.009296,0.005521
137999.928269,368.000000,1.759917,0.000000,0.000000
138999.907581,370.000000,1.770391,0.010474,0.005445
140000.067213,371.000000,1.775035,0.004644,0.004644
140999.937133,374.000000,1.790426,0.015391,0.005686
141999.909078,383.000000,1.833970,0.043544,0.005818
143000.426648,385.000000,1.843829,0.009859,0.005304
143999.907286,388.000000,1.857162,0.013333,0.004799
144999.874534,389.000000,1.862265,0.005103,0.005103
145999.936219,393.000000,1.883758,0.021493,0.006129
146999.938794,396.000000,1.897307,0.013549,0.004935
147999.910574,401.000000,1.920165,0.022858,0.005212
148999.932964,404.000000,1.935129,0.014964,0.005543
149999.906480,406.000000,1.945456,0.010327,0.005458
151001.514994,407.000000,1.950404,0.004948,0.004948
151999.907654,407.000000,1.950404,0.000000,0.000000
152999.910181,414.000000,1.984613,0.034209,0.005293
153999.903861,416.000000,1.994226,0.009613,0.005126
155000.619242,418.000000,2.003680,0.009454,0.004777
155999.939435,418.000000,2.003680,0.000000,0.000000
156999.919995,427.000000,2.046451,0.042771,0.005498
157999.905956,432.000000,2.068868,0.022417,0.005448
158999.906082,433.000000,2.074235,0.005367,0.005367
160001.102956,440.000000,2.108102,0.033867,0.005443
160999.932728,441.000000,2.114190,0.006088,0.006088
161999.961128,442.000000,2.119337,0.005147,0.005147
163001.263061,446.000000,2.137359,0.018022,0.005028
164000.139620,446.000000,2.137359,0.000000,0.000000
164999.909991,449.000000,2.152179,0.014820,0.005232
166000.109025,452.000000,2.166780,0.014601,0.005404
166999.936238,456.000000,2.185133,0.018353,0.004990
167999.913416,459.000000,2.199716,0.014583,0.005327
168999.905777,467.000000,2.239435,0.039719,0.005781
169999.907334,470.000000,2.252845,0.013410,0.005184
171000.108586,474.000000,2.271995,0.019150,0.005385
172001.028037,477.000000,2.304142,0.032147,0.021183
173000.956154,481.000000,2.323029,0.018887,0.005568
173999.931954,486.000000,2.345623,0.022594,0.005454
174999.929135,490.000000,2.362359,0.016736,0.005037
175999.906375,494.000000,2.381434,0.019075,0.006492
176999.904316,498.000000,2.401368,0.019934,0.005082
177999.995780,503.000000,2.422941,0.021573,0.005016
178999.912695,503.000000,2.422941,0.000000,0.000000
180000.450041,507.000000,2.441507,0.018566,0.005266
181000.087937,507.000000,2.441507,0.000000,0.000000
181999.937354,511.000000,2.458434,0.016927,0.005121
182999.912290,514.000000,2.472146,0.013712,0.005372
184000.013026,516.000000,2.481829,0.009683,0.004898
185003.324847,518.000000,2.490387,0.008558,0.004759
186001.129929,520.000000,2.499915,0.009528,0.004977
186999.904495,522.000000,2.507759,0.007844,0.004298
187999.906421,524.000000,2.516187,0.008428,0.004675
188999.908747,526.000000,2.524470,0.008283,0.004658
189999.905371,528.000000,2.534003,0.009533,0.004775
190999.906577,533.000000,2.557170,0.023167,0.005248
191999.909039,533.000000,2.557170,0.000000,0.000000
192999.988384,537.000000,2.574841,0.017671,0.005372
193999.908574,539.000000,2.585000,0.010159,0.005151
194999.914738,539.000000,2.585000,0.000000,0.000000
196000.014772,543.000000,2.605444,0.020444,0.005430
196999.904234,551.000000,2.639598,0.034154,0.005134
197999.908487,555.000000,2.658094,0.018496,0.005271
198999.903953,556.000000,2.662801,0.004707,0.004707
199999.933867,556.000000,2.662801,0.000000,0.000000
201003.696764,556.000000,2.662801,0.000000,0.000000
202001.100805,560.000000,2.683077,0.020276,0.005745
203000.571661,563.000000,2.696946,0.013869,0.005133
203999.936521,567.000000,2.716727,0.019781,0.005650
205000.046265,575.000000,2.753631,0.036904,0.005498
205999.900657,580.000000,2.777033,0.023402,0.005399
206999.907655,585.000000,2.800357,0.023324,0.006061
207999.911000,588.000000,2.813446,0.013089,0.004803
208999.904307,588.000000,2.813446,0.000000,0.000000
209999.941743,590.000000,2.823204,0.009758,0.005097
210999.906159,595.000000,2.845710,0.022506,0.005165
211999.907516,596.000000,2.850613,0.004903,0.004903
213000.450661,603.000000,2.881016,0.030403,0.005037
213999.904532,607.000000,2.898054,0.017038,0.005017
214999.904782,614.000000,2.929690,0.031636,0.005473
216000.139324,620.000000,2.956339,0.026649,0.005078
217001.680927,624.000000,2.974493,0.018154,0.005068
217999.906751,628.000000,2.993042,0.018549,0.005131
219000.077234,633.000000,3.015190,0.022148,0.005132
219999.903534,637.000000,3.033844,0.018654,0.005283
220999.923678,639.000000,3.043788,0.009944,0.005113
221999.929048,641.000000,3.051628,0.007840,0.004439
222999.901935,642.000000,3.056195,0.004567,0.004567
223999.927616,644.000000,3.064412,0.008217,0.004751
224999.908958,648.000000,3.083204,0.018792,0.005735
226001.053116,653.000000,3.104541,0.021337,0.004900
226999.911765,658.000000,3.126538,0.021997,0.004967
227999.993595,662.000000,3.146159,0.019621,0.005571
229001.075831,666.000000,3.164449,0.018290,0.005382
229999.906094,668.000000,3.173102,0.008653,0.005063
230999.906223,670.000000,3.182866,0.009764,0.005011
232000.529383,670.000000,3.182866,0.000000,0.000000
233000.558721,675.000000,3.206764,0.023898,0.005744
233999.940016,675.000000,3.206764,0.000000,0.000000
235000.078981,676.000000,3.211594,0.004830,0.004830
236001.187858,683.000000,3.248655,0.037061,0.006680
236999.934465,686.000000,3.262039,0.013384,0.005073
238000.181777,694.000000,3.299098,0.037059,0.005499
239000.464577,699.000000,3.321834,0.022736,0.005323
239999.897983,699.000000,3.321834,0.000000,0.000000
241001.056325,699.000000,3.321834,0.000000,0.000000
241999.909056,702.000000,3.337607,0.015773,0.005473
243000.304137,706.000000,3.355468,0.017861,0.005272
244000.023136,707.000000,3.359905,0.004437,0.004437
244999.924754,710.000000,3.373752,0.013847,0.005175
246000.102796,712.000000,3.384226,0.010474,0.005472
246999.910393,715.000000,3.397643,0.013417,0.005126
247999.926427,718.000000,3.413143,0.015500,0.006420
249002.001958,720.000000,3.421460,0.008317,0.004779
249999.902691,721.000000,3.426512,0.005052,0.005052
250999.869974,723.000000,3.435978,0.009466,0.005209
251999.908426,727.000000,3.456076,0.020098,0.005803
253000.121732,729.000000,3.465256,0.009180,0.005190
253999.907107,733.000000,3.484411,0.019155,0.005688
254999.937992,737.000000,3.501312,0.016901,0.005159
255999.900979,742.000000,3.523530,0.022218,0.005103
256999.907483,746.000000,3.540042,0.016512,0.004912
