Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.951745,11.000000,0.127495,0.085150,0.024339
2000.067587,14.000000,0.149651,0.022156,0.009114
2999.909766,18.000000,0.176956,0.027305,0.007667
3999.950480,20.000000,0.191419,0.014463,0.007237
4999.999850,20.000000,0.191419,0.000000,0.000000
5999.940373,24.000000,0.224889,0.033470,0.011420
6999.907886,26.000000,0.239248,0.014359,0.007373
7999.921912,27.000000,0.247408,0.008160,0.008160
8999.941114,29.000000,0.261018,0.013610,0.007105
10000.120040,32.000000,0.285219,0.024201,0.009308
10999.909041,32.000000,0.285219,0.000000,0.000000
11999.904220,33.000000,0.292241,0.007022,0.007022
13000.311388,35.000000,0.309896,0.017655,0.009166
13999.938395,36.000000,0.318439,0.008543,0.008543
14999.991999,37.000000,0.326806,0.008367,0.008367
15999.908751,39.000000,0.340713,0.013907,0.007523
17000.102155,40.000000,0.347710,0.006997,0.006997
18000.054360,41.000000,0.354857,0.007147,0.007147
18999.911124,41.000000,0.354857,0.000000,0.000000
19999.929740,43.000000,0.369813,0.014956,0.007763
20999.908155,44.000000,0.378242,0.008429,0.008429
21999.938871,48.000000,0.408707,0.030465,0.008617
23000.294664,52.000000,0.439618,0.030911,0.008999
24000.333588,56.000000,0.467376,0.027758,0.007446
24999.903709,57.000000,0.473649,0.006273,0.006273
26001.426355,58.000000,0.481290,0.007641,0.007641
27000.060565,60.000000,0.495083,0.013793,0.006902
28000.756241,63.000000,0.514685,0.019602,0.006986
29000.222013,65.000000,0.527230,0.012545,0.006690
29999.983901,65.000000,0.527230,0.000000,0.000000
30999.916445,66.000000,0.534789,0.007559,0.007559
32000.881935,67.000000,0.541718,0.006929,0.006929
33000.452638,67.000000,0.541718,0.000000,0.000000
33999.941764,67.000000,0.541718,0.000000,0.000000
35001.360019,68.000000,0.549606,0.007888,0.007888
35999.904866,69.000000,0.556199,0.006593,0.006593
37000.433687,72.000000,0.575231,0.019032,0.006373
38001.668229,73.000000,0.583304,0.008073,0.008073
38999.908630,73.000000,0.583304,0.000000,0.000000
40000.068137,75.000000,0.597849,0.014545,0.007638
41000.083935,79.000000,0.624584,0.026735,0.007291
41999.940902,81.000000,0.638011,0.013427,0.007173
42999.928682,84.000000,0.674405,0.036394,0.023522
44000.038801,85.000000,0.680803,0.006398,0.006398
44999.904726,85.000000,0.680803,0.000000,0.000000
46000.085536,86.000000,0.687323,0.006520,0.006520
46999.917477,86.000000,0.687323,0.000000,0.000000
48000.189665,86.000000,0.687323,0.000000,0.000000
49000.120950,87.000000,0.693746,0.006423,0.006423
49999.909059,88.000000,0.701050,0.007304,0.007304
51000.085906,91.000000,0.722388,0.021338,0.007567
51999.905145,92.000000,0.728249,0.005861,0.005861
53001.525619,93.000000,0.734359,0.006110,0.006110
53999.940487,93.000000,0.734359,0.000000,0.000000
55000.232272,93.000000,0.734359,0.000000,0.000000
