Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,47.000000,325.043957,100.101916,15.006187
999.755198,47.000000,6.842245,3.627527,0.367766
1999.752835,65.000000,519.080470,194.036513,26.298397
1999.752835,64.000000,9.361768,2.519523,0.244429
2999.752239,84.000000,689.219444,170.138974,15.280718
2999.752239,84.000000,12.304261,2.942493,0.400423
4000.120529,100.000000,883.161226,193.941782,18.963917
4000.120529,100.000000,15.310273,3.006012,0.791897
5002.433990,101.000000,887.287551,4.126325,4.126325
5002.433990,101.000000,15.506620,0.196347,0.196347
5999.895188,133.000000,1006.206213,118.918662,10.669167
5999.895188,133.000000,20.021154,4.514534,0.250441
6999.944716,149.000000,1052.317612,46.111399,4.586677
6999.944716,149.000000,22.385550,2.364396,0.326805
8003.801425,158.000000,1079.841329,27.523717,7.598920
8003.801425,158.000000,23.506458,1.120908,0.189870
9003.176151,165.000000,1109.606144,29.764815,9.871743
9003.176151,165.000000,24.556965,1.050507,0.205631
9999.757015,175.000000,1154.196338,44.590194,11.010616
9999.757015,175.000000,25.676147,1.119182,0.137191
11006.923653,186.000000,1186.923195,32.726857,8.149757
11006.923653,186.000000,27.122355,1.446208,0.213477
12000.693076,196.000000,1216.346745,29.423550,4.667598
12000.693076,196.000000,28.578456,1.456101,0.254729
12999.754855,205.000000,1240.363032,24.016287,3.838602
12999.754855,205.000000,29.765259,1.186803,0.203770
14000.882672,213.000000,1281.121837,40.758805,12.221545
14000.882672,213.000000,30.755944,0.990685,0.154027
14999.784237,221.000000,1301.782910,20.661073,3.664860
14999.784237,221.000000,32.444283,1.688339,0.661732
16005.408710,232.000000,1348.182498,46.399588,10.284068
16005.408710,232.000000,33.777952,1.333669,0.177418
17001.953724,242.000000,1381.205745,33.023247,6.195035
17001.953724,242.000000,35.265138,1.487186,0.224319
17999.761641,250.000000,1413.257450,32.051705,10.747434
17999.761641,250.000000,36.500877,1.235739,0.289714
18999.837711,256.000000,1442.561757,29.304307,10.077173
18999.837711,256.000000,37.562491,1.061614,0.248479
19999.785723,263.000000,1471.717351,29.155594,6.104072
19999.785723,263.000000,38.475300,0.912809,0.173477
21000.131583,271.000000,1508.779035,37.061684,11.370578
21000.131583,271.000000,39.515347,1.040047,0.194593
22000.285334,281.000000,1540.579648,31.800613,5.235133
22000.285334,281.000000,40.991256,1.475909,0.257855
23000.466972,291.000000,1567.534139,26.954491,4.361712
23000.466972,291.000000,42.373662,1.382406,0.214838
24000.720111,300.000000,1604.671130,37.136991,11.702559
24000.720111,300.000000,46.390402,4.016740,2.923252
25004.788571,308.000000,1631.122653,26.451523,6.718112
25004.788571,308.000000,47.750893,1.360491,0.311918
26001.499212,316.000000,1653.020495,21.897842,3.918126
26001.499212,316.000000,48.807637,1.056744,0.194739
27006.083837,324.000000,1687.075037,34.054542,5.828486
27006.083837,323.000000,49.670170,0.862533,0.214533
28000.884847,333.000000,1712.140927,25.065890,8.505211
28000.884847,333.000000,50.968406,1.298236,0.201270
28999.762181,342.000000,1740.778972,28.638045,6.759801
28999.762181,342.000000,52.242400,1.273994,0.304475
30000.007231,351.000000,1780.801574,40.022602,14.346671
30000.007231,351.000000,53.347169,1.104769,0.208633
31000.214062,358.000000,1807.398696,26.597122,9.216626
31000.214062,358.000000,54.366701,1.019532,0.216378
32002.033097,369.000000,1843.741444,36.342748,6.347823
32002.033097,369.000000,56.640810,2.274109,0.908876
33000.425638,379.000000,1870.041897,26.300453,4.192730
33000.425638,378.000000,58.461185,1.820375,0.828088
34000.243809,388.000000,1903.767737,33.725840,7.123526
34000.243809,388.000000,60.051883,1.590698,0.350515
35001.814090,397.000000,1935.203975,31.436238,5.733971
35001.814090,397.000000,60.984160,0.932277,0.130551
35999.917744,405.000000,1956.430394,21.226419,3.100583
35999.917744,405.000000,61.976075,0.991915,0.183403
37003.701137,417.000000,1995.924727,39.494333,5.684616
37003.701137,416.000000,63.311015,1.334940,0.185957
37999.749530,429.000000,2037.901724,41.976997,9.398511
37999.749530,429.000000,66.198150,2.887135,1.377493
39004.672011,435.000000,2068.768394,30.866670,12.124740
39004.672011,435.000000,67.183747,0.985597,0.200884
39999.754794,444.000000,2095.925086,27.156692,4.472653
39999.754794,444.000000,68.368663,1.184916,0.221682
41000.111102,453.000000,2126.114423,30.189337,5.547960
41000.111102,453.000000,69.736140,1.367477,0.390543
42001.187385,461.000000,2160.109459,33.995036,10.918055
42001.187385,461.000000,70.912926,1.176786,0.218345
43007.923502,470.000000,2189.316272,29.206813,7.446104
43007.923502,470.000000,72.175421,1.262495,0.406724
44009.347933,479.000000,2228.975920,39.659648,8.744978
44009.347933,479.000000,73.313423,1.138002,0.212500
45001.604680,487.000000,2260.200201,31.224281,6.755603
45001.604680,487.000000,74.370729,1.057306,0.196604
46001.536887,492.000000,2281.766946,21.566745,7.641234
46001.536887,492.000000,75.092448,0.721719,0.200021
46999.975031,496.000000,2295.370593,13.603647,5.364791
46999.975031,496.000000,75.667366,0.574918,0.191610
47999.760302,502.000000,2315.120318,19.749725,5.470420
47999.760302,502.000000,76.587943,0.920577,0.197547
49000.017371,509.000000,2338.165446,23.045128,3.913859
49000.017371,509.000000,77.472490,0.884547,0.197083
49999.754284,518.000000,2365.703326,27.537880,3.745764
49999.754284,518.000000,79.324813,1.852323,0.842986
51001.882168,527.000000,2395.237374,29.534048,5.785276
51001.882168,527.000000,80.775056,1.450243,0.353216
51999.750497,535.000000,2424.847898,29.610524,5.940892
51999.750497,535.000000,82.581995,1.806939,0.896523
53000.700265,544.000000,2455.020606,30.172708,5.164524
53000.700265,544.000000,83.756546,1.174551,0.254656
