Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,50.000000,0.760198,0.445974,0.076545
1999.752835,71.000000,2.391390,1.631192,1.299643
2999.752239,93.000000,4.376503,1.985113,1.654835
4000.120529,114.000000,4.785371,0.408868,0.059135
5002.433990,114.000000,4.785371,0.000000,0.000000
5999.895188,150.000000,5.267396,0.482025,0.035717
6999.944716,182.000000,5.678330,0.410934,0.020654
8003.801425,209.000000,6.081601,0.403271,0.037918
9003.176151,233.000000,6.448630,0.367029,0.044271
9999.757015,259.000000,6.789466,0.340836,0.022964
11006.923653,290.000000,7.183967,0.394501,0.018306
12000.693076,318.000000,7.551314,0.367347,0.021416
12999.754855,347.000000,7.917519,0.366205,0.020802
14000.882672,370.000000,8.273708,0.356189,0.046810
14999.784237,398.000000,8.760369,0.486661,0.092777
16005.408710,426.000000,9.163036,0.402667,0.045951
17001.953724,455.000000,9.541790,0.378754,0.024175
17999.761641,479.000000,10.891204,1.349414,0.946185
18999.837711,503.000000,11.236886,0.345682,0.018370
19999.785723,527.000000,11.663726,0.426840,0.054015
21000.131583,551.000000,11.983093,0.319367,0.017538
22000.285334,580.000000,12.416277,0.433184,0.031061
23000.466972,611.000000,13.351811,0.935534,0.355993
24000.720111,636.000000,13.808883,0.457072,0.080432
25004.788571,663.000000,14.391452,0.582569,0.192629
26001.499212,688.000000,15.320419,0.928967,0.516929
27006.083837,713.000000,15.764064,0.443645,0.060283
28000.884847,740.000000,16.262744,0.498680,0.086908
28999.762181,766.000000,16.813408,0.550664,0.182447
30000.007231,791.000000,17.196457,0.383049,0.049544
31000.214062,817.000000,17.673603,0.477146,0.053583
32002.033097,846.000000,18.117376,0.443773,0.036507
33000.425638,874.000000,18.547315,0.429939,0.061941
34000.243809,904.000000,19.031616,0.484301,0.040899
35001.814090,929.000000,19.498870,0.467254,0.052994
35999.917744,954.000000,19.881275,0.382405,0.021786
37003.701137,982.000000,20.323113,0.441838,0.101430
37999.749530,1013.000000,20.732824,0.409711,0.050245
39004.672011,1037.000000,21.104948,0.372124,0.021200
39999.754794,1064.000000,21.564537,0.459589,0.039059
41000.111102,1090.000000,21.945603,0.381066,0.023207
42001.187385,1116.000000,22.670137,0.724534,0.315956
43007.923502,1143.000000,23.074260,0.404123,0.025462
44009.347933,1168.000000,23.447009,0.372749,0.021815
45001.604680,1192.000000,23.834057,0.387048,0.026476
46001.536887,1214.000000,26.477245,2.643188,2.339378
46999.975031,1231.000000,26.997680,0.520435,0.146924
47999.760302,1252.000000,27.333788,0.336108,0.021111
