Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,2.000000,0.054432,0.000000,0.000000
1999.752835,2.000000,0.054432,0.000000,0.000000
2999.752239,2.000000,0.054432,0.000000,0.000000
4000.120529,3.000000,0.072829,0.018397,0.018397
5002.433990,3.000000,0.072829,0.000000,0.000000
5999.895188,3.000000,0.072829,0.000000,0.000000
6999.944716,9.000000,0.188235,0.115406,0.025648
8003.801425,19.000000,0.743277,0.555042,0.382009
9003.176151,27.000000,0.879464,0.136187,0.021183
9999.757015,38.000000,1.068559,0.189095,0.019667
11006.923653,50.000000,1.277279,0.208720,0.024543
12000.693076,61.000000,1.464298,0.187019,0.024463
12999.754855,71.000000,1.645974,0.181676,0.021395
14000.882672,80.000000,1.796606,0.150632,0.018267
14999.784237,89.000000,1.994046,0.197440,0.042256
16005.408710,101.000000,2.661920,0.667874,0.495130
17001.953724,112.000000,2.866607,0.204687,0.025655
17999.761641,121.000000,3.582753,0.716146,0.575062
18999.837711,128.000000,3.702047,0.119294,0.018550
19999.785723,136.000000,3.869460,0.167413,0.032666
21000.131583,145.000000,4.034408,0.164948,0.032317
22000.285334,156.000000,4.264933,0.230525,0.028194
23000.466972,167.000000,4.458395,0.193462,0.023726
24000.720111,177.000000,4.672362,0.213967,0.035967
25004.788571,186.000000,4.893552,0.221190,0.079509
26001.499212,195.000000,5.079011,0.185459,0.042736
27006.083837,204.000000,5.274426,0.195415,0.053976
28000.884847,214.000000,6.778018,1.503592,1.340530
28999.762181,224.000000,6.948370,0.170352,0.022417
30000.007231,234.000000,7.117343,0.168973,0.025752
31000.214062,242.000000,7.285002,0.167659,0.045078
32002.033097,254.000000,7.592301,0.307299,0.111926
33000.425638,265.000000,7.782593,0.190292,0.024366
34000.243809,275.000000,7.949299,0.166706,0.021535
35001.814090,285.000000,8.163261,0.213962,0.059883
35999.917744,294.000000,8.327318,0.164057,0.022253
37003.701137,307.000000,8.567463,0.240145,0.037547
37999.749530,320.000000,8.801224,0.233761,0.025919
39004.672011,327.000000,8.949429,0.148205,0.042105
39999.754794,337.000000,9.195660,0.246231,0.042519
41000.111102,347.000000,9.379653,0.183993,0.023057
42001.187385,356.000000,9.537617,0.157964,0.019855
43007.923502,366.000000,9.844104,0.306487,0.143333
44009.347933,376.000000,10.027286,0.183182,0.027434
45001.604680,385.000000,10.253198,0.225912,0.085092
46001.536887,391.000000,10.364703,0.111505,0.021654
46999.975031,396.000000,10.499334,0.134631,0.061447
47999.760302,403.000000,10.620890,0.121556,0.019326
49000.017371,411.000000,10.772598,0.151708,0.026833
49999.754284,421.000000,10.946042,0.173444,0.025334
51001.882168,431.000000,11.132258,0.186216,0.025572
51999.750497,440.000000,11.308519,0.176261,0.028626
53000.700265,450.000000,11.481810,0.173291,0.021066
54001.032866,460.000000,11.685943,0.204133,0.029351
54999.785187,472.000000,11.899162,0.213219,0.024472
55999.755970,486.000000,12.151438,0.252276,0.028170
