Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,52.000000,39.540558,17.531612,1.136659
1999.752835,72.000000,55.172904,15.632346,1.926055
2999.752239,95.000000,68.895960,13.723056,0.942575
4000.120529,115.000000,86.729274,17.833314,2.752959
5002.433990,116.000000,87.396118,0.666844,0.666844
5999.895188,151.000000,107.742661,20.346543,1.323711
6999.944716,184.000000,128.821010,21.078349,6.464258
8003.801425,213.000000,148.200714,19.379704,6.051761
9003.176151,240.000000,169.833123,21.632409,10.554220
9999.757015,269.000000,187.336692,17.503569,5.625525
11006.923653,306.000000,204.755440,17.418748,3.742331
12000.693076,339.000000,223.943079,19.187639,5.562289
12999.754855,374.000000,244.142213,20.199134,4.959250
14000.882672,399.000000,260.456282,16.314069,5.762528
14999.784237,430.000000,279.851120,19.394838,5.686423
16005.408710,464.000000,297.871937,18.020817,4.598953
17001.953724,498.000000,316.204800,18.332863,4.372442
17999.761641,525.000000,333.441325,17.236525,4.777260
18999.837711,550.000000,348.317161,14.875836,4.911968
19999.785723,575.000000,366.591232,18.274071,7.842834
21000.131583,604.000000,384.200090,17.608858,7.699222
22000.285334,637.000000,399.381552,15.181462,3.783617
23000.466972,672.000000,416.246523,16.864971,3.802811
24000.720111,701.000000,429.929068,13.682545,4.004229
25004.788571,730.000000,443.857773,13.928705,4.429588
26001.499212,758.000000,457.698002,13.840229,3.873503
27006.083837,784.000000,473.415289,15.717287,3.683156
28000.884847,815.000000,490.847344,17.432055,3.741717
28999.762181,842.000000,505.546946,14.699602,3.683085
30000.007231,870.000000,521.367395,15.820449,4.357430
31000.214062,898.000000,535.100297,13.732902,4.076490
32002.033097,932.000000,554.880146,19.779849,6.331284
33000.425638,962.000000,570.920353,16.040207,4.242527
34000.243809,997.000000,589.873181,18.952828,4.902944
35001.814090,1024.000000,602.151828,12.278647,3.752985
35999.917744,1051.000000,618.780870,16.629042,3.782540
37003.701137,1082.000000,637.455822,18.674952,5.196079
37999.749530,1117.000000,654.363358,16.907536,3.697043
39004.672011,1144.000000,672.875557,18.512199,5.874834
39999.754794,1173.000000,690.097796,17.222239,3.732132
41000.111102,1202.000000,709.055800,18.958004,4.908121
42001.187385,1231.000000,726.711055,17.655255,4.118365
43007.923502,1260.000000,742.719740,16.008685,4.249020
44009.347933,1288.000000,758.694820,15.975080,3.723228
45001.604680,1312.000000,782.115484,23.420664,6.833539
46001.536887,1337.000000,795.194869,13.079385,4.066412
46999.975031,1354.000000,810.355691,15.160822,3.792423
47999.760302,1378.000000,823.313324,12.957633,4.256232
49000.017371,1404.000000,839.179810,15.866486,4.405759
49999.754284,1431.000000,856.944750,17.764940,3.751034
51001.882168,1461.000000,873.347158,16.402408,6.001847
51999.750497,1491.000000,892.223201,18.876043,4.325584
53000.700265,1520.000000,907.043289,14.820088,4.129148
54001.032866,1551.000000,923.698628,16.655339,4.541590
54999.785187,1590.000000,943.718079,20.019451,3.416169
55999.755970,1629.000000,960.228538,16.510459,3.470638
57001.417331,1668.000000,977.452402,17.223864,3.796239
58001.843108,1705.000000,995.205643,17.753241,4.771393
