Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,51.000000,222.019042,127.402368,12.853912
1999.752835,71.000000,355.762734,133.743692,19.550806
2999.752239,93.000000,515.371429,159.608695,18.771484
4000.120529,114.000000,692.588896,177.217467,17.363549
5002.433990,115.000000,700.995451,8.406555,8.406555
5999.895188,150.000000,852.334228,151.338777,12.180227
6999.944716,182.000000,979.913814,127.579586,11.477977
8003.801425,209.000000,1095.440650,115.526836,10.465872
9003.176151,233.000000,1221.065110,125.624460,19.010626
9999.757015,259.000000,1312.861873,91.796763,7.478263
11006.923653,290.000000,1416.208135,103.346262,9.790499
12000.693076,318.000000,1512.289845,96.081710,7.868029
12999.754855,348.000000,1629.877488,117.587643,10.917652
14000.882672,370.000000,1750.824095,120.946607,16.078503
14999.784237,398.000000,1854.811578,103.987483,9.053004
16005.408710,427.000000,1973.164054,118.352476,11.909263
17001.953724,455.000000,2090.481904,117.317850,18.609219
17999.761641,480.000000,2223.920437,133.438533,15.699419
18999.837711,503.000000,2384.583618,160.663181,18.697092
19999.785723,527.000000,2535.962792,151.379174,18.673204
21000.131583,552.000000,2666.871773,130.908981,15.786984
22000.285334,581.000000,2814.779296,147.907523,11.500018
23000.466972,611.000000,2933.604039,118.824743,12.256729
24000.720111,636.000000,3079.685665,146.081626,13.326153
25004.788571,663.000000,3239.130679,159.445014,15.991685
26001.499212,688.000000,3429.985827,190.855148,24.438643
27006.083837,713.000000,3583.645124,153.659297,13.835146
28000.884847,740.000000,3725.367216,141.722092,16.554780
28999.762181,766.000000,3845.057611,119.690395,11.563997
30000.007231,791.000000,3947.124151,102.066540,9.236751
31000.214062,817.000000,4152.435761,205.311610,17.019800
32002.033097,846.000000,4271.961651,119.525890,13.927951
33000.425638,874.000000,4401.525586,129.563935,16.893821
34000.243809,904.000000,4537.472460,135.946874,10.815142
35001.814090,929.000000,4692.150020,154.677560,29.577330
35999.917744,954.000000,4862.498098,170.348078,18.704039
37003.701137,982.000000,4949.202821,86.704723,7.126287
37999.749530,1013.000000,5050.929287,101.726466,7.970851
39004.672011,1037.000000,5217.769748,166.840461,34.527852
39999.754794,1064.000000,5347.412569,129.642821,12.927319
41000.111102,1091.000000,5498.120777,150.708208,18.818422
42001.187385,1117.000000,5624.601195,126.480418,15.718107
43007.923502,1143.000000,5772.558657,147.957462,15.056315
44009.347933,1168.000000,5924.653595,152.094938,14.750200
45001.604680,1192.000000,6095.127388,170.473793,23.317871
46001.536887,1214.000000,6282.187526,187.060138,20.257479
46999.975031,1231.000000,6602.535601,320.348075,31.195702
47999.760302,1252.000000,6766.061008,163.525407,40.486717
49000.017371,1278.000000,6930.345501,164.284493,16.220839
49999.754284,1302.000000,7078.418838,148.073337,15.471322
51001.882168,1330.000000,7245.109814,166.690976,12.855371
51999.750497,1358.000000,7407.771822,162.662008,13.439126
53000.700265,1385.000000,7546.257468,138.485646,14.240626
54001.032866,1412.000000,7693.503456,147.245988,13.323430
54999.785187,1444.000000,7812.529606,119.026150,9.151063
55999.755970,1476.000000,7920.681179,108.151573,14.366864
57001.417331,1508.000000,8041.139454,120.458275,7.485636
58001.843108,1540.000000,8155.864104,114.724650,8.557285
59007.308992,1570.000000,8259.873936,104.009832,7.717282
60008.697915,1600.000000,8371.710253,111.836317,9.638861
61003.704424,1629.000000,8489.754197,118.043944,10.708993
62005.799865,1663.000000,8613.779527,124.025330,9.710347
63002.422689,1694.000000,8726.381489,112.601962,9.803158
63999.765983,1722.000000,8856.238443,129.856954,14.792472
65000.799130,1751.000000,9002.665539,146.427096,16.316870
66001.753349,1782.000000,9107.869613,105.204074,9.042680
66999.866352,1811.000000,9211.365044,103.495431,6.740884
67999.931245,1842.000000,9342.030847,130.665803,14.437171
69000.524754,1867.000000,9479.903080,137.872233,17.299789
69999.793412,1891.000000,9717.756601,237.853521,35.586858
70999.755710,1916.000000,9909.355814,191.599213,34.031039
71999.831861,1941.000000,10027.064003,117.708189,13.074165
73001.682371,1969.000000,10173.362121,146.298118,16.978100
73999.995664,1996.000000,10342.549968,169.187847,21.813911
74999.754812,2025.000000,10467.207205,124.657237,14.026917
76008.959592,2059.000000,10577.435034,110.227829,8.636093
