Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,2.000000,16.102441,0.000000,0.000000
1999.752835,2.000000,16.102441,0.000000,0.000000
2999.752239,2.000000,16.102441,0.000000,0.000000
4000.120529,3.000000,25.753743,9.651302,9.651302
5002.433990,3.000000,25.753743,0.000000,0.000000
5999.895188,3.000000,25.753743,0.000000,0.000000
6999.944716,9.000000,74.364287,48.610544,9.697569
8003.801425,19.000000,153.499809,79.135522,9.418887
9003.176151,28.000000,240.317329,86.817520,23.460808
9999.757015,38.000000,344.006733,103.689404,19.192746
11006.923653,50.000000,421.507350,77.500617,9.892624
12000.693076,61.000000,490.616460,69.109110,7.589973
12999.754855,71.000000,565.779871,75.163411,12.863333
14000.882672,80.000000,664.695950,98.916079,22.746535
14999.784237,89.000000,733.961279,69.265329,14.882403
16005.408710,101.000000,811.364620,77.403341,8.000754
17001.953724,112.000000,892.795352,81.430732,13.679156
17999.761641,121.000000,966.930968,74.135616,13.440349
18999.837711,128.000000,1070.578293,103.647325,23.053527
19999.785723,136.000000,1148.700973,78.122680,13.893446
21000.131583,145.000000,1226.245324,77.544351,20.742969
22000.285334,156.000000,1306.379534,80.134210,10.173324
23000.466972,168.000000,1383.835792,77.456258,9.122834
24000.720111,178.000000,1492.609712,108.773920,17.618999
25004.788571,186.000000,1584.324606,91.714894,19.368820
26001.499212,195.000000,1668.320442,83.995836,18.900028
27006.083837,204.000000,1765.605461,97.285019,18.797276
28000.884847,214.000000,1849.383479,83.778018,17.667966
28999.762181,224.000000,1943.927127,94.543648,17.356381
30000.007231,234.000000,2021.468304,77.541177,11.058057
31000.214062,242.000000,2098.922344,77.454040,14.749037
32002.033097,254.000000,2178.735297,79.812953,11.898487
33000.425638,265.000000,2258.115519,79.380222,13.696543
34000.243809,275.000000,2320.739251,62.623732,8.527506
35001.814090,286.000000,2402.264634,81.525383,18.478511
35999.917744,294.000000,2508.588259,106.323625,20.749443
37003.701137,307.000000,2597.300582,88.712323,13.435883
37999.749530,320.000000,2689.592182,92.291600,16.613711
39004.672011,327.000000,2770.800763,81.208581,17.452833
39999.754794,337.000000,2854.876301,84.075538,16.648490
41000.111102,347.000000,2942.531097,87.654796,18.776424
42001.187385,356.000000,3011.698157,69.167060,14.141326
