Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,52.000000,712.680961,292.605787,23.791513
1999.752835,72.000000,975.020442,262.339481,45.571919
2999.752239,95.000000,1245.538548,270.518106,30.369608
4000.120529,115.000000,1483.462212,237.923664,22.884130
5002.433990,116.000000,1497.695576,14.233364,14.233364
5999.895188,152.000000,1819.314497,321.618921,18.701314
6999.944716,184.000000,2125.907405,306.592908,57.519978
8003.801425,213.000000,2378.781090,252.873685,45.064654
9003.176151,240.000000,2659.944688,281.163598,75.020093
9999.757015,269.000000,2916.870833,256.926145,54.076302
11006.923653,306.000000,3195.932042,279.061209,38.860636
12000.693076,340.000000,3498.811716,302.879674,41.123110
12999.754855,374.000000,3807.106384,308.294668,49.016733
14000.882672,399.000000,4075.229218,268.122834,54.828006
14999.784237,430.000000,4379.475931,304.246713,46.557936
16005.408710,464.000000,4647.566398,268.090467,40.626380
17001.953724,498.000000,4934.102153,286.535755,39.605503
17999.761641,525.000000,5252.637829,318.535676,60.235332
18999.837711,551.000000,5551.067212,298.429383,39.759544
19999.785723,575.000000,5869.849262,318.782050,70.401974
21000.131583,604.000000,6159.613026,289.763764,77.103431
22000.285334,637.000000,6422.807807,263.194781,34.225423
23000.466972,672.000000,6711.551571,288.743764,45.247866
24000.720111,701.000000,6962.197785,250.646214,40.828647
25004.788571,730.000000,7237.608184,275.410399,52.613918
26001.499212,759.000000,7488.239364,250.631180,46.636155
27006.083837,784.000000,7753.136878,264.897514,33.419581
28000.884847,815.000000,8034.471927,281.335049,35.567596
28999.762181,843.000000,8283.256746,248.784819,32.391741
30000.007231,871.000000,8559.446306,276.189560,44.365515
31000.214062,898.000000,8824.737116,265.290810,48.551160
32002.033097,933.000000,9100.887993,276.150877,38.160907
33000.425638,962.000000,9392.672744,291.784751,44.944040
34000.243809,997.000000,9708.447986,315.775242,36.284590
35001.814090,1024.000000,9941.356821,232.908835,50.360958
35999.917744,1051.000000,10206.012266,264.655445,34.277434
37003.701137,1082.000000,10493.937588,287.925322,44.176990
37999.749530,1118.000000,10753.511304,259.573716,34.211469
39004.672011,1144.000000,11028.977454,275.466150,32.490143
39999.754794,1173.000000,11286.889887,257.912433,40.640639
41000.111102,1202.000000,11552.187670,265.297783,41.216885
42001.187385,1231.000000,11870.394248,318.206578,70.284515
43007.923502,1260.000000,12125.398265,255.004017,33.317297
44009.347933,1289.000000,12379.977883,254.579618,35.143538
45001.604680,1313.000000,12653.262586,273.284703,35.385200
46001.536887,1337.000000,12922.297155,269.034569,48.628706
46999.975031,1354.000000,13153.911880,231.614725,58.910142
47999.760302,1378.000000,13540.283661,386.371781,66.396152
49000.017371,1404.000000,13807.758203,267.474542,41.530418
49999.754284,1431.000000,14097.339644,289.581441,34.242842
51001.882168,1461.000000,14363.498815,266.159171,36.733780
51999.750497,1491.000000,14673.028976,309.530161,56.866613
53000.700265,1520.000000,14934.238961,261.209985,33.218053
54001.032866,1551.000000,15236.727396,302.488435,48.236950
54999.785187,1590.000000,15519.191941,282.464545,30.030643
55999.755970,1629.000000,15777.813555,258.621614,28.732172
57001.417331,1668.000000,16070.272582,292.459027,32.817052
58001.843108,1705.000000,16358.465744,288.193162,29.500129
59007.308992,1738.000000,16615.578027,257.112283,30.399436
60008.697915,1773.000000,16893.902299,278.324272,47.484072
61003.704424,1808.000000,17152.401422,258.499123,35.786526
62005.799865,1847.000000,17446.448847,294.047425,31.425441
63002.422689,1884.000000,17718.234151,271.785304,36.296385
63999.765983,1917.000000,18005.260777,287.026626,32.759885
65000.799130,1950.000000,18266.966800,261.706023,29.547125
66001.753349,1987.000000,18559.973093,293.006293,34.684196
66999.866352,2021.000000,18832.803697,272.830604,28.766833
67999.931245,2057.000000,19117.438964,284.635267,28.590886
69000.524754,2084.000000,19411.431747,293.992783,41.893436
69999.793412,2110.000000,19687.279189,275.847442,63.287749
70999.755710,2138.000000,19975.951135,288.671946,29.168112
71999.831861,2165.000000,20256.887662,280.936527,41.714497
73001.682371,2194.000000,20535.402681,278.515019,30.734389
