Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,47.000000,1.700159,0.848928,0.051648
1999.752835,65.000000,2.343245,0.643086,0.052437
2999.752239,84.000000,2.981082,0.637837,0.052792
4000.120529,100.000000,3.517540,0.536458,0.051572
5002.433990,101.000000,3.591655,0.074115,0.074115
5999.895188,133.000000,4.759805,1.168150,0.067985
6999.944716,149.000000,5.362917,0.603112,0.090381
8003.801425,158.000000,5.691491,0.328574,0.052439
9003.176151,165.000000,6.016667,0.325176,0.081816
9999.757015,175.000000,6.381694,0.365027,0.040745
11006.923653,186.000000,6.831814,0.450120,0.061805
12000.693076,196.000000,7.272442,0.440628,0.075044
12999.754855,205.000000,7.656322,0.383880,0.054579
14000.882672,213.000000,8.000861,0.344539,0.072324
14999.784237,221.000000,8.341095,0.340234,0.057939
16005.408710,232.000000,8.713211,0.372116,0.046207
17001.953724,242.000000,9.085215,0.372004,0.059757
17999.761641,250.000000,9.384045,0.298830,0.051231
18999.837711,256.000000,9.702143,0.318098,0.105018
19999.785723,263.000000,9.950825,0.248682,0.039073
21000.131583,271.000000,10.276290,0.325465,0.064152
22000.285334,281.000000,10.676584,0.400294,0.069279
23000.466972,291.000000,11.361062,0.684478,0.270450
24000.720111,300.000000,11.724406,0.363344,0.063662
25004.788571,308.000000,12.127928,0.403522,0.101732
26001.499212,316.000000,12.484900,0.356972,0.061147
27006.083837,324.000000,12.809843,0.324943,0.082775
28000.884847,333.000000,13.161991,0.352148,0.049968
28999.762181,342.000000,13.489360,0.327369,0.048221
30000.007231,351.000000,13.812194,0.322834,0.051111
31000.214062,358.000000,14.099417,0.287223,0.056116
32002.033097,369.000000,14.957415,0.857998,0.416932
33000.425638,379.000000,15.317163,0.359748,0.052634
34000.243809,388.000000,15.685374,0.368211,0.055089
35001.814090,397.000000,15.997209,0.311835,0.038423
35999.917744,405.000000,16.300898,0.303689,0.052724
37003.701137,417.000000,16.721316,0.420418,0.046307
37999.749530,429.000000,17.136887,0.415571,0.049014
39004.672011,435.000000,17.385809,0.248922,0.052662
39999.754794,444.000000,17.717981,0.332172,0.045366
41000.111102,453.000000,18.034513,0.316532,0.050122
42001.187385,461.000000,20.478052,2.443539,2.132388
43007.923502,470.000000,21.360803,0.882751,0.569322
44009.347933,479.000000,21.670518,0.309715,0.055644
45001.604680,487.000000,21.965967,0.295449,0.054108
46001.536887,492.000000,22.143809,0.177842,0.050036
46999.975031,496.000000,22.272544,0.128735,0.036636
47999.760302,502.000000,22.508579,0.236035,0.052193
49000.017371,509.000000,22.764694,0.256115,0.052198
49999.754284,518.000000,23.087704,0.323010,0.038417
51001.882168,527.000000,23.485167,0.397463,0.083789
51999.750497,535.000000,24.207588,0.722421,0.439128
53000.700265,544.000000,24.599550,0.391962,0.098449
54001.032866,553.000000,24.963522,0.363972,0.051004
54999.785187,564.000000,25.383887,0.420365,0.051502
55999.755970,577.000000,25.866497,0.482610,0.052715
57001.417331,588.000000,26.288665,0.422168,0.053590
58001.843108,599.000000,26.670837,0.382172,0.051551
59007.308992,610.000000,27.026581,0.355744,0.047034
60008.697915,622.000000,27.465697,0.439116,0.053608
61003.704424,635.000000,27.908976,0.443279,0.046596
62005.799865,646.000000,28.366833,0.457857,0.053959
63002.422689,659.000000,28.830022,0.463189,0.051907
63999.765983,670.000000,29.239134,0.409112,0.054114
65000.799130,681.000000,29.654659,0.415525,0.053259
66001.753349,694.000000,30.101745,0.447086,0.047684
66999.866352,707.000000,30.568113,0.466368,0.043255
67999.931245,718.000000,30.982237,0.414124,0.062074
69000.524754,727.000000,32.166963,1.184726,0.916304
69999.793412,734.000000,32.413911,0.246948,0.046337
70999.755710,741.000000,32.701075,0.287164,0.052532
