Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,1.000000,2145.007992,999.755218,2145.007992
1999.752835,1.000000,3145.005625,999.997633,3145.005625
2999.752239,1.000000,4145.005001,999.999376,4145.005001
4000.120529,1.000000,5145.373321,1000.368320,5145.373321
5002.433990,1.000000,6147.686803,1002.313482,6147.686803
5999.895188,1.000000,7145.148230,997.461427,7145.148230
6999.944716,1.000000,8145.197899,1000.049669,8145.197899
8003.801425,1.000000,9149.054049,1003.856150,9149.054049
9003.176151,1.000000,10148.428956,999.374907,10148.428956
9999.757015,1.000000,11145.009873,996.580917,11145.009873
11006.923653,1.000000,12152.176503,1007.166630,12152.176503
12000.693076,1.000000,13145.945889,993.769386,13145.945889
12999.754855,1.000000,14145.007534,999.061645,14145.007534
14000.882672,1.000000,15146.135471,1001.127937,15146.135471
14999.784237,1.000000,16145.037309,998.901838,16145.037309
16005.408710,1.000000,17150.661358,1005.624049,17150.661358
17001.953724,1.000000,18147.206302,996.544944,18147.206302
17999.761641,1.000000,19145.014299,997.807997,19145.014299
18999.837711,1.000000,20145.090659,1000.076360,20145.090659
19999.785723,1.000000,21145.038947,999.948288,21145.038947
21000.131583,1.000000,22145.384604,1000.345657,22145.384604
22000.285334,1.000000,23145.538224,1000.153620,23145.538224
23000.466972,1.000000,24145.719846,1000.181622,24145.719846
24000.720111,1.000000,25145.972889,1000.253043,25145.972889
25004.788571,1.000000,26150.041142,1004.068253,26150.041142
26001.499212,1.000000,27146.752357,996.711215,27146.752357
27006.083837,1.000000,28151.336650,1004.584293,28151.336650
28000.884847,1.000000,29146.137538,994.800888,29146.137538
28999.762181,1.000000,30145.014897,998.877359,30145.014897
30000.007231,1.000000,31145.260041,1000.245144,31145.260041
31000.214062,1.000000,32145.466946,1000.206905,32145.466946
32002.033097,1.000000,33147.285635,1001.818689,33147.285635
33000.425638,1.000000,34145.678638,998.393003,34145.678638
34000.243809,1.000000,35145.496875,999.818237,35145.496875
35001.814090,1.000000,36147.066912,1001.570037,36147.066912
35999.917744,1.000000,37145.170914,998.104002,37145.170914
37003.701137,1.000000,38148.954167,1003.783253,38148.954167
37999.749530,1.000000,39145.002199,996.048032,39145.002199
39004.672011,1.000000,40149.924768,1004.922569,40149.924768
39999.754794,1.000000,41145.007570,995.082802,41145.007570
41000.111102,1.000000,42145.364080,1000.356510,42145.364080
42001.187385,1.000000,43146.440168,1001.076088,43146.440168
43007.923502,1.000000,44153.176237,1006.736069,44153.176237
44009.347933,1.000000,45154.600947,1001.424710,45154.600947
45001.604680,1.000000,46146.857552,992.256605,46146.857552
46001.536887,1.000000,47146.789495,999.931943,47146.789495
46999.975031,1.000000,48145.227864,998.438369,48145.227864
47999.760302,1.000000,49145.013097,999.785233,49145.013097
49000.017371,1.000000,50145.270351,1000.257254,50145.270351
49999.754284,1.000000,51145.007010,999.736659,51145.007010
51001.882168,1.000000,52147.135145,1002.128135,52147.135145
51999.750497,1.000000,53145.003541,997.868396,53145.003541
53000.700265,1.000000,54145.953075,1000.949534,54145.953075
54001.032866,1.000000,55146.285782,1000.332707,55146.285782
54999.785187,1.000000,56145.038215,998.752433,56145.038215
55999.755970,1.000000,57145.008997,999.970782,57145.008997
57001.417331,1.000000,58146.670270,1001.661273,58146.670270
58001.843108,1.000000,59147.096265,1000.425995,59147.096265
59007.308992,1.000000,60152.562008,1005.465743,60152.562008
60008.697915,1.000000,61153.950240,1001.388232,61153.950240
61003.704424,1.000000,62148.957415,995.007175,62148.957415
62005.799865,1.000000,63151.052886,1002.095471,63151.052886
63002.422689,1.000000,64147.675584,996.622698,64147.675584
63999.765983,1.000000,65145.018690,997.343106,65145.018690
65000.799130,1.000000,66146.051956,1001.033266,66146.051956
66001.753349,1.000000,67147.006485,1000.954529,67147.006485
66999.866352,1.000000,68145.119363,998.112878,68145.119363
67999.931245,1.000000,69145.184398,1000.065035,69145.184398
69000.524754,1.000000,70145.777667,1000.593269,70145.777667
69999.793412,1.000000,71145.046270,999.268603,71145.046270
70999.755710,1.000000,72145.008385,999.962115,72145.008385
71999.831861,1.000000,73145.084666,1000.076281,73145.084666
73001.682371,1.000000,74146.935297,1001.850631,74146.935297
73999.995664,1.000000,75145.248628,998.313331,75145.248628
74999.754812,1.000000,76145.007361,999.758733,76145.007361
76008.959592,1.000000,77154.212373,1009.205012,77154.212373
77003.328816,1.000000,78148.581590,994.369217,78148.581590
78000.001332,1.000000,79145.254495,996.672905,79145.254495
79007.303928,1.000000,80152.556807,1007.302312,80152.556807
79999.755946,1.000000,81145.009020,992.452213,81145.009020
81001.157861,1.000000,82146.410672,1001.401652,82146.410672
82000.010870,1.000000,83145.263724,998.853052,83145.263724
83000.394503,1.000000,84145.647309,1000.383585,84145.647309
84002.306805,1.000000,85147.559638,1001.912329,85147.559638
85000.132093,1.000000,86145.385198,997.825560,86145.385198
86000.074581,1.000000,87145.327450,999.942252,87145.327450
87002.736534,1.000000,88147.989313,1002.661863,88147.989313
87999.900356,1.000000,89145.153565,997.164252,89145.153565
89000.468551,1.000000,90145.721318,1000.567753,90145.721318
90000.265117,1.000000,91145.518316,999.796998,91145.518316
90999.813775,1.000000,92145.066841,999.548525,92145.066841
91999.753525,1.000000,93145.006625,999.939784,93145.006625
93011.571888,1.000000,94156.824846,1011.818221,94156.824846
94001.780014,1.000000,95147.032933,990.208087,95147.032933
95006.556692,1.000000,96151.809490,1004.776557,96151.809490
96003.140264,1.000000,97148.393231,996.583741,97148.393231
97005.231812,1.000000,98150.484322,1002.091091,98150.484322
97999.888762,1.000000,99145.141575,994.657253,99145.141575
99000.488855,1.000000,100145.741651,1000.600076,100145.741651
99999.951623,1.000000,101145.204711,999.463060,101145.204711
101001.972290,1.000000,102147.225029,1002.020318,102147.225029
102003.502975,1.000000,103148.756137,1001.531108,103148.756137
103000.533273,1.000000,104145.786095,997.029958,104145.786095
104000.970843,1.000000,105146.223704,1000.437609,105146.223704
105002.948449,1.000000,106148.201021,1001.977317,106148.201021
106000.162155,1.000000,107145.415246,997.214225,107145.415246
106999.784247,1.000000,108145.037504,999.622258,108145.037504
108001.605318,1.000000,109146.857780,1001.820276,109146.857780
108999.885638,1.000000,110145.138814,998.281034,110145.138814
110010.863020,1.000000,111156.115783,1010.976969,111156.115783
110999.781533,1.000000,112145.034682,988.918899,112145.034682
112001.827560,1.000000,113147.080392,1002.045710,113147.080392
112999.754330,1.000000,114145.007293,997.926901,114145.007293
114013.216947,1.000000,115158.469641,1013.462348,115158.469641
115009.217201,1.000000,116154.469751,996.000110,116154.469751
115999.922066,1.000000,117145.175102,990.705351,117145.175102
116999.852641,1.000000,118145.105824,999.930722,118145.105824
118011.824893,1.000000,119157.077611,1011.971787,119157.077611
119010.006445,1.000000,120155.259051,998.181440,120155.259051
119999.785944,1.000000,121145.039020,989.779969,121145.039020
120999.835735,1.000000,122145.088582,1000.049562,122145.088582
122002.140168,1.000000,123147.392762,1002.304180,123147.392762
123007.469163,1.000000,124152.721741,1005.328979,124152.721741
124003.446183,1.000000,125148.699314,995.977573,125148.699314
125000.993436,1.000000,126146.246387,997.547073,126146.246387
125999.808267,1.000000,127145.061524,998.815137,127145.061524
126999.868005,1.000000,128145.120645,1000.059121,128145.120645
128001.995541,1.000000,129147.248718,1002.128073,129147.248718
129003.661144,1.000000,130148.913958,1001.665240,130148.913958
130003.942662,1.000000,131149.195396,1000.281438,131149.195396
131007.308271,1.000000,132152.561263,1003.365867,132152.561263
131999.759305,1.000000,133145.012191,992.450928,133145.012191
133002.043040,1.000000,134147.295874,1002.283683,134147.295874
133999.753037,1.000000,135145.006012,997.710138,135145.006012
135005.064616,1.000000,136150.317585,1005.311573,136150.317585
136003.356341,1.000000,137148.608949,998.291364,137148.608949
137004.570617,1.000000,138149.823290,1001.214341,138149.823290
137999.787444,1.000000,139145.040543,995.217253,139145.040543
139003.636605,1.000000,140148.889656,1003.849113,140148.889656
