Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,47.000000,327.922496,101.580908,15.069452
1999.752835,65.000000,523.803391,195.880895,26.364866
2999.752239,84.000000,695.212283,171.408892,15.339998
4000.120529,100.000000,890.135928,194.923645,19.016588
5002.433990,101.000000,894.382489,4.246561,4.246561
5999.895188,133.000000,1015.238813,120.856324,10.737593
6999.944716,149.000000,1062.302846,47.064033,4.640292
8003.801425,158.000000,1090.302815,27.999969,7.643994
9003.176151,165.000000,1120.526702,30.223887,9.951779
9999.757015,175.000000,1165.680395,45.153693,11.061447
11006.923653,186.000000,1199.044241,33.363846,8.233572
12000.693076,196.000000,1229.119835,30.075594,4.738870
12999.754855,205.000000,1253.689399,24.569564,3.912057
14000.882672,213.000000,1294.938641,41.249242,12.314318
14999.784237,221.000000,1316.078849,21.140208,3.719669
16005.408710,232.000000,1363.030880,46.952031,10.338586
17001.953724,242.000000,1396.603172,33.572292,6.242285
17999.761641,250.000000,1429.154337,32.551165,10.802708
18999.837711,256.000000,1458.894180,29.739843,10.152192
19999.785723,263.000000,1488.428276,29.534096,6.160893
21000.131583,271.000000,1525.967139,37.538863,11.420026
22000.285334,281.000000,1558.339219,32.372080,5.288455
23000.466972,291.000000,1586.216242,27.877023,4.434643
24000.720111,300.000000,1623.931129,37.714887,11.806385
25004.788571,308.000000,1650.946914,27.015785,6.791484
26001.499212,316.000000,1673.350205,22.403291,3.975463
27006.083837,324.000000,1707.867468,34.517263,5.867870
28000.884847,333.000000,1733.453822,25.586354,8.553510
28999.762181,342.000000,1762.578593,29.124771,6.815452
30000.007231,351.000000,1803.096010,40.517417,14.416851
31000.214062,358.000000,1830.120310,27.024300,9.267228
32002.033097,369.000000,1867.601420,37.481110,6.403696
33000.425638,379.000000,1894.475363,26.873943,4.240052
34000.243809,388.000000,1928.739014,34.263651,7.178898
35001.814090,397.000000,1960.648881,31.909867,5.796399
35999.917744,405.000000,1982.320743,21.671862,3.157800
37003.701137,417.000000,2022.454120,40.133377,5.736042
37999.749530,429.000000,2065.055623,42.601503,9.455663
39004.672011,435.000000,2096.289460,31.233837,12.198388
39999.754794,444.000000,2123.936405,27.646945,4.532815
41000.111102,453.000000,2154.650503,30.714098,5.597053
42001.187385,461.000000,2191.663604,37.013101,11.302308
43007.923502,470.000000,2221.946791,30.283187,7.531140
44009.347933,479.000000,2262.069010,40.122219,8.795143
45001.604680,487.000000,2294.013949,31.944939,7.115519
46001.536887,492.000000,2315.852099,21.838150,7.688618
46999.975031,496.000000,2329.656379,13.804280,5.415250
47999.760302,502.000000,2349.755969,20.099590,5.519071
49000.017371,509.000000,2373.203336,23.447367,3.963630
49999.754284,518.000000,2401.221617,28.018281,3.801553
51001.882168,527.000000,2431.340992,30.119375,5.842309
51999.750497,535.000000,2461.828725,30.487733,5.996694
53000.700265,544.000000,2492.550963,30.722238,5.231395
54001.032866,553.000000,2520.987328,28.436365,5.299763
54999.785187,564.000000,2558.920747,37.933419,8.254754
55999.755970,577.000000,2591.617327,32.696580,4.037999
57001.417331,588.000000,2629.014099,37.396772,6.603141
58001.843108,599.000000,2663.793948,34.779849,4.412844
59007.308992,610.000000,2693.490524,29.696576,4.608570
60008.697915,622.000000,2724.903724,31.413200,3.737822
61003.704424,635.000000,2753.465079,28.561355,3.087719
62005.799865,646.000000,2783.723507,30.258428,5.391001
63002.422689,659.000000,2822.526550,38.803043,7.451281
63999.765983,670.000000,2850.937074,28.410524,4.065270
65000.799130,681.000000,2898.861991,47.924917,11.169083
66001.753349,694.000000,2938.608031,39.746040,5.795522
66999.866352,707.000000,2975.261068,36.653037,4.639836
67999.931245,718.000000,3011.034298,35.773230,6.951705
69000.524754,727.000000,3041.561747,30.527449,7.010440
69999.793412,734.000000,3065.296991,23.735244,4.805477
70999.755710,741.000000,3090.729414,25.432423,8.780359
71999.831861,749.000000,3114.645567,23.916153,4.162163
73001.682371,758.000000,3148.097836,33.452269,8.469499
73999.995664,767.000000,3180.739842,32.642006,6.977890
74999.754812,778.000000,3216.276926,35.537084,6.501931
76008.959592,790.000000,3258.418424,42.141498,6.961384
77003.328816,800.000000,3289.970559,31.552135,5.102200
78000.001332,814.000000,3340.964285,50.993726,7.564629
79007.303928,826.000000,3381.644552,40.680267,8.341314
79999.755946,838.000000,3415.708854,34.064302,4.149411
81001.157861,852.000000,3462.303404,46.594550,13.474264
82000.010870,862.000000,3517.350675,55.047271,15.210112
83000.394503,874.000000,3550.347438,32.996763,4.940811
84002.306805,887.000000,3592.625978,42.278540,8.448251
85000.132093,900.000000,3637.405100,44.779122,9.415661
86000.074581,913.000000,3670.607994,33.202894,3.898341
87002.736534,926.000000,3708.249130,37.641136,4.761884
87999.900356,939.000000,3750.411593,42.162463,7.318545
89000.468551,952.000000,3797.071608,46.660015,9.598519
90000.265117,965.000000,3832.993307,35.921699,4.399637
90999.813775,979.000000,3871.420860,38.427553,4.887890
91999.753525,991.000000,3907.705971,36.285111,6.677860
93011.571888,1004.000000,3949.820096,42.114125,9.416194
94001.780014,1015.000000,3983.883241,34.063145,5.861721
95006.556692,1027.000000,4016.838968,32.955727,4.198881
96003.140264,1041.000000,4050.629813,33.790845,3.813882
97005.231812,1053.000000,4088.965351,38.335538,6.522676
97999.888762,1067.000000,4126.172493,37.207142,5.933244
99000.488855,1078.000000,4174.450765,48.278272,12.498672
99999.951623,1090.000000,4220.067438,45.616673,8.770541
101001.972290,1104.000000,4264.994333,44.926895,11.611031
102003.502975,1116.000000,4306.531368,41.537035,6.647542
