Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,51.000000,240.072946,137.753255,13.180872
1999.752835,71.000000,384.050801,143.977855,19.794792
2999.752239,93.000000,552.593455,168.542654,19.024469
4000.120529,114.000000,737.081915,184.488460,17.972431
5002.433990,115.000000,745.767363,8.685448,8.685448
5999.895188,150.000000,908.888901,163.121538,12.604069
6999.944716,182.000000,1045.541554,136.652653,11.845954
8003.801425,209.000000,1169.669568,124.128014,10.527951
9003.176151,233.000000,1304.435345,134.765777,19.209535
9999.757015,259.000000,1403.677705,99.242360,7.951624
11006.923653,290.000000,1513.555883,109.878178,10.045058
12000.693076,318.000000,1616.849252,103.293369,8.175119
12999.754855,348.000000,1741.874768,125.025516,11.435146
14000.882672,370.000000,1869.097987,127.223219,16.525045
14999.784237,398.000000,1982.143196,113.045209,9.516047
16005.408710,427.000000,2107.577001,125.433805,11.975064
17001.953724,455.000000,2231.201619,123.624618,18.824437
17999.761641,480.000000,2370.804993,139.603374,15.880647
18999.837711,503.000000,2537.846857,167.041864,18.917574
19999.785723,527.000000,2696.444926,158.598069,18.752966
21000.131583,552.000000,2834.129674,137.684748,15.857556
22000.285334,581.000000,2988.481041,154.351367,11.563286
23000.466972,611.000000,3115.220052,126.739011,12.675060
24000.720111,636.000000,3268.022567,152.802515,13.822961
25004.788571,663.000000,3432.866215,164.843648,16.058292
26001.499212,688.000000,3633.254012,200.387797,24.506123
27006.083837,713.000000,3793.854174,160.600162,13.899516
28000.884847,740.000000,3943.270273,149.416099,16.630664
28999.762181,766.000000,4068.067568,124.797295,11.822513
30000.007231,791.000000,4175.606413,107.538845,9.432056
31000.214062,817.000000,4390.115914,214.509501,17.255801
32002.033097,846.000000,4515.933568,125.817654,13.987831
33000.425638,874.000000,4651.903023,135.969455,16.970769
34000.243809,904.000000,4796.987500,145.084477,11.007689
35001.814090,929.000000,4959.372183,162.384683,29.785421
35999.917744,954.000000,5135.344231,175.972048,18.916950
37003.701137,982.000000,5228.652218,93.307987,7.580896
37999.749530,1013.000000,5337.421459,108.769241,8.410017
39004.672011,1037.000000,5510.800617,173.379158,34.622948
39999.754794,1064.000000,5647.647456,136.846839,13.008788
41000.111102,1091.000000,5804.351054,156.703598,18.889127
42001.187385,1117.000000,5939.257730,134.906676,15.909229
43007.923502,1143.000000,6093.644835,154.387105,15.458881
44009.347933,1168.000000,6252.832265,159.187430,14.818465
