Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,2.000000,25.830105,0.000000,0.000000
1999.752835,2.000000,25.830105,0.000000,0.000000
2999.752239,2.000000,25.830105,0.000000,0.000000
4000.120529,3.000000,40.953518,15.123413,15.123413
5002.433990,3.000000,40.953518,0.000000,0.000000
5999.895188,3.000000,40.953518,0.000000,0.000000
6999.944716,9.000000,118.703658,77.750140,15.456415
8003.801425,19.000000,248.337326,129.633668,13.980160
9003.176151,28.000000,384.013722,135.676396,29.116530
9999.757015,38.000000,536.854487,152.840765,24.751023
11006.923653,50.000000,664.049380,127.194893,14.456333
12000.693076,61.000000,781.134504,117.085124,11.821895
12999.754855,71.000000,907.382484,126.247980,22.190587
14000.882672,80.000000,1055.689484,148.307000,29.724663
14999.784237,89.000000,1167.304437,111.614953,20.857791
16005.408710,101.000000,1297.696988,130.392551,15.046982
17001.953724,112.000000,1422.866314,125.169326,17.995425
17999.761641,121.000000,1532.418065,109.551751,18.042003
18999.837711,128.000000,1689.507915,157.089850,36.588635
19999.785723,136.000000,1806.510633,117.002718,21.553009
21000.131583,145.000000,1927.130989,120.620356,26.140366
22000.285334,156.000000,2052.177097,125.046108,15.973497
23000.466972,168.000000,2173.676681,121.499584,13.065894
24000.720111,178.000000,2323.326894,149.650213,22.870590
25004.788571,187.000000,2456.468064,133.141170,23.324298
26001.499212,195.000000,2581.872139,125.404075,23.001758
27006.083837,204.000000,2715.201927,133.329788,23.230034
28000.884847,214.000000,2840.734439,125.532512,26.224845
28999.762181,224.000000,2988.681555,147.947116,27.824925
30000.007231,234.000000,3108.341323,119.659768,15.908832
31000.214062,242.000000,3227.055767,118.714444,20.675608
32002.033097,254.000000,3351.640984,124.585217,16.037798
33000.425638,265.000000,3471.892487,120.251503,17.088013
34000.243809,275.000000,3570.932942,99.040455,11.881907
35001.814090,286.000000,3705.882022,134.949080,21.975887
35999.917744,294.000000,3848.100943,142.218921,25.625200
37003.701137,307.000000,3983.580127,135.479184,18.095827
37999.749530,320.000000,4119.721201,136.141074,19.866216
39004.672011,327.000000,4242.540335,122.819134,22.508947
39999.754794,337.000000,4365.894842,123.354507,20.844263
41000.111102,347.000000,4501.367174,135.472332,27.095441
42001.187385,356.000000,4607.013761,105.646587,17.523916
43007.923502,366.000000,4723.372405,116.358644,20.142759
44009.347933,376.000000,4881.615534,158.243129,23.278095
45001.604680,385.000000,5014.960125,133.344591,31.070341
46001.536887,392.000000,5136.061237,121.101112,29.919217
46999.975031,397.000000,5244.874254,108.813017,25.736807
47999.760302,403.000000,5353.233063,108.358809,37.787621
49000.017371,412.000000,5494.803332,141.570269,31.176905
49999.754284,421.000000,5638.590512,143.787180,29.146356
51001.882168,431.000000,5759.975540,121.385028,17.139124
51999.750497,440.000000,5871.411186,111.435646,24.977107
53000.700265,450.000000,6022.757278,151.346092,22.563465
54001.032866,460.000000,6155.105232,132.347954,22.198418
54999.785187,472.000000,6275.362325,120.257093,16.532645
55999.755970,486.000000,6422.459621,147.097296,15.681900
57001.417331,498.000000,6540.487367,118.027746,14.774135
58001.843108,510.000000,6655.082235,114.594868,12.313188
59007.308992,522.000000,6789.824355,134.742120,23.111087
60008.697915,535.000000,6926.694234,136.869879,15.908165
61003.704424,549.000000,7066.105142,139.410908,28.371054
62005.799865,561.000000,7181.333035,115.227893,17.697286
63002.422689,575.000000,7308.565141,127.232106,12.387635
63999.765983,587.000000,7433.389672,124.824531,23.679480
65000.799130,600.000000,7543.559295,110.169623,10.615790
66001.753349,613.000000,7675.351227,131.791932,15.855658
66999.866352,627.000000,7802.199209,126.847982,13.324609
67999.931245,639.000000,7934.955271,132.756062,18.099884
69000.524754,649.000000,8061.087133,126.131862,24.016440
69999.793412,657.000000,8162.952868,101.865735,19.134313
70999.755710,665.000000,8291.421028,128.468160,28.641973
71999.831861,674.000000,8426.950961,135.529933,24.108186
73001.682371,684.000000,8545.243693,118.292732,22.877282
73999.995664,694.000000,8670.263018,125.019325,19.702077
74999.754812,706.000000,8790.186093,119.923075,20.098982
76008.959592,719.000000,8913.722533,123.536440,12.819046
77003.328816,731.000000,9023.959332,110.236799,16.067268
78000.001332,745.000000,9159.809743,135.850411,17.275251
79007.303928,758.000000,9272.188452,112.378709,13.312015
79999.755946,771.000000,9385.010014,112.821562,10.368282
81001.157861,786.000000,9509.062815,124.052801,10.286647
82000.010870,797.000000,9619.700326,110.637511,13.456524
83000.394503,810.000000,9736.057693,116.357367,12.873567
84002.306805,824.000000,9873.600267,137.542574,14.311811
85000.132093,838.000000,9993.012660,119.412393,11.746365
86000.074581,852.000000,10117.306393,124.293733,13.691354
87002.736534,866.000000,10241.287207,123.980814,15.534253
87999.900356,880.000000,10372.240668,130.953461,15.834689
89000.468551,894.000000,10496.546013,124.305345,11.310526
90000.265117,908.000000,10620.931944,124.385931,12.775906
90999.813775,923.000000,10754.781163,133.849219,11.144799
91999.753525,936.000000,10869.086931,114.305768,11.991710
93011.571888,950.000000,10996.122180,127.035249,11.037647
94001.780014,962.000000,11112.634384,116.512204,21.388130
95006.556692,976.000000,11236.300640,123.666256,11.192593
96003.140264,990.000000,11363.767753,127.467113,16.037953
97005.231812,1003.000000,11481.877010,118.109257,13.088694
