Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
999.755198,52.000000,713.140501,292.824148,23.799097
1999.752835,72.000000,975.650213,262.509712,45.579898
2999.752239,95.000000,1246.362891,270.712678,30.377478
4000.120529,115.000000,1484.465352,238.102461,22.891623
5002.433990,116.000000,1498.709809,14.244457,14.244457
5999.895188,152.000000,1820.611011,321.901202,18.708106
6999.944716,184.000000,2127.491334,306.880323,57.534931
8003.801425,213.000000,2380.641448,253.150114,45.080599
9003.176151,240.000000,2662.078332,281.436884,75.038972
9999.757015,269.000000,2919.352219,257.273887,54.093372
11006.923653,306.000000,3198.761527,279.409308,38.876562
12000.693076,340.000000,3501.972128,303.210601,41.139465
12999.754855,374.000000,3810.602176,308.630048,49.033612
14000.882672,399.000000,4078.968906,268.366730,54.844975
14999.784237,430.000000,4383.538522,304.569616,46.576135
16005.408710,464.000000,4651.951457,268.412935,40.644935
17001.953724,498.000000,4938.830030,286.878573,39.624602
17999.761641,525.000000,5257.654374,318.824344,60.252738
18999.837711,551.000000,5557.086000,299.431626,39.775881
19999.785723,575.000000,5876.143055,319.057055,70.423748
21000.131583,604.000000,6166.236724,290.093669,77.122663
22000.285334,637.000000,6430.048540,263.811816,34.245357
23000.466972,672.000000,6719.136451,289.087911,45.266075
24000.720111,701.000000,6970.258503,251.122052,40.846113
25004.788571,730.000000,7245.972646,275.714143,52.632926
26001.499212,759.000000,7496.935748,250.963102,46.653028
27006.083837,784.000000,7762.092549,265.156801,33.435844
28000.884847,815.000000,8043.772381,281.679832,35.582225
28999.762181,843.000000,8292.846577,249.074196,32.406538
30000.007231,871.000000,8569.330057,276.483480,44.390578
31000.214062,898.000000,8834.925388,265.595331,48.571626
32002.033097,933.000000,9111.428340,276.502952,38.178038
33000.425638,962.000000,9403.594910,292.166570,44.961052
34000.243809,997.000000,9719.702610,316.107700,36.298307
35001.814090,1024.000000,9952.887748,233.185138,50.378189
35999.917744,1051.000000,10217.886726,264.998978,34.295861
37003.701137,1082.000000,10506.216468,288.329742,44.195624
37999.749530,1118.000000,10766.155609,259.939141,34.226958
39004.672011,1144.000000,11041.915598,275.759989,32.509850
39999.754794,1173.000000,11300.462989,258.547391,40.659709
41000.111102,1202.000000,11566.059383,265.596394,41.234249
42001.187385,1231.000000,11884.632626,318.573243,70.303198
43007.923502,1260.000000,12139.916684,255.284058,33.329450
44009.347933,1289.000000,12394.780496,254.863812,35.162000
45001.604680,1313.000000,12668.342839,273.562343,35.405113
46001.536887,1337.000000,12937.644620,269.301781,48.647128
46999.975031,1354.000000,13169.447158,231.802538,58.928996
47999.760302,1378.000000,13556.101185,386.654027,66.416106
49000.017371,1404.000000,13823.843410,267.742225,41.549723
49999.754284,1431.000000,14113.741822,289.898412,34.259835
51001.882168,1461.000000,14380.226718,266.484896,36.752572
51999.750497,1491.000000,14690.099427,309.872709,56.883912
53000.700265,1520.000000,14951.616069,261.516642,33.234656
54001.032866,1551.000000,15254.399374,302.783305,48.254853
54999.785187,1590.000000,15537.239128,282.839754,30.047007
55999.755970,1629.000000,15796.236643,258.997515,28.747130
57001.417331,1668.000000,16089.056845,292.820202,32.833361
58001.843108,1705.000000,16377.607735,288.550890,29.517389
59007.308992,1738.000000,16635.052218,257.444483,30.414375
60008.697915,1773.000000,16913.706761,278.654543,47.494257
61003.704424,1808.000000,17172.521703,258.814942,35.802836
62005.799865,1847.000000,17467.936256,295.414553,31.440439
63002.422689,1884.000000,17740.051334,272.115078,36.310285
63999.765983,1917.000000,18027.500398,287.449064,32.775770
65000.799130,1950.000000,18289.509657,262.009259,29.555890
66001.753349,1987.000000,18582.869465,293.359808,34.703544
66999.866352,2021.000000,18856.479088,273.609623,29.123993
67999.931245,2057.000000,19141.472666,284.993578,28.607356
69000.524754,2084.000000,19435.739826,294.267160,41.911752
69999.793412,2110.000000,19711.870214,276.130388,63.306153
70999.755710,2138.000000,20000.860652,288.990438,29.184775
71999.831861,2165.000000,20282.064128,281.203476,41.735148
73001.682371,2194.000000,20560.881716,278.817588,30.769506
73999.995664,2223.000000,20836.124752,275.243036,48.112970
74999.754812,2256.000000,21114.955556,278.830804,34.944296
76008.959592,2297.000000,21400.671120,285.715564,28.738468
77003.328816,2328.000000,21671.566579,270.895459,50.408554
78000.001332,2368.000000,21933.734808,262.168229,27.628482
