Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,59.000000,0.500184,0.217983,0.024356
2000.004180,79.000000,0.644166,0.143982,0.008142
3000.593609,102.000000,0.822277,0.178111,0.014661
4000.068391,122.000000,0.977803,0.155526,0.014477
5000.000234,123.000000,0.987993,0.010190,0.010190
6000.086428,159.000000,1.254555,0.266562,0.017067
7008.631159,198.000000,1.518413,0.263858,0.008973
8000.078946,234.000000,1.748841,0.230428,0.008163
9000.093757,268.000000,1.974935,0.226094,0.009461
10000.002643,304.000000,2.216615,0.241680,0.009218
11003.272047,348.000000,2.542721,0.326106,0.026511
12000.676006,389.000000,2.833621,0.290900,0.015084
13000.455125,430.000000,3.121941,0.288320,0.010327
14002.559197,462.000000,3.348632,0.226691,0.009419
15000.019982,500.000000,3.613674,0.265042,0.010314
16000.153211,541.000000,3.940446,0.326772,0.021801
17000.039573,582.000000,4.270276,0.329830,0.043024
18000.085847,616.000000,4.519517,0.249241,0.009213
18999.998829,649.000000,4.757362,0.237845,0.010019
20000.345253,680.000000,5.037551,0.280189,0.068123
21000.613655,716.000000,5.308611,0.271060,0.012104
22000.218657,756.000000,5.587353,0.278742,0.009767
23000.555813,798.000000,5.876727,0.289374,0.009057
24000.247724,834.000000,6.140873,0.264146,0.013887
25000.179386,870.000000,6.444395,0.303522,0.052864
25999.998498,906.000000,6.710829,0.266434,0.016222
27000.003673,938.000000,6.945833,0.235004,0.015842
28001.045913,976.000000,7.274095,0.328262,0.060329
29000.183709,1011.000000,7.536915,0.262820,0.018966
30000.005969,1045.000000,7.806828,0.269913,0.024545
31000.236536,1080.000000,8.109088,0.302260,0.060965
32004.587932,1121.000000,8.414619,0.305531,0.014302
33000.385568,1158.000000,8.672645,0.258026,0.008730
34000.259378,1200.000000,8.978267,0.305622,0.016043
35000.032226,1234.000000,9.228231,0.249964,0.016136
36001.636617,1268.000000,9.469042,0.240811,0.009636
37002.359951,1306.000000,9.773058,0.304016,0.030324
38000.948846,1349.000000,10.108379,0.335321,0.020570
39001.654538,1382.000000,10.356983,0.248604,0.015750
40000.001101,1418.000000,10.635617,0.278634,0.031874
41000.019740,1454.000000,10.943385,0.307768,0.050141
42000.038972,1490.000000,11.215849,0.272464,0.016642
