Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,59.000000,0.828980,0.341917,0.019302
2000.004180,79.000000,1.082718,0.253738,0.024086
3000.593609,102.000000,1.392710,0.309992,0.042299
4000.068391,122.000000,1.632813,0.240103,0.022157
5000.000234,123.000000,1.655552,0.022739,0.022739
6000.086428,159.000000,2.068412,0.412860,0.017226
7008.631159,198.000000,2.509352,0.440940,0.048111
8000.078946,234.000000,2.890610,0.381258,0.018478
9000.093757,268.000000,3.236446,0.345836,0.014547
10000.002643,304.000000,3.648086,0.411640,0.057992
11003.272047,348.000000,4.082043,0.433957,0.023422
12000.676006,389.000000,4.495027,0.412984,0.013480
13000.455125,430.000000,4.880792,0.385765,0.021768
14002.559197,462.000000,5.264284,0.383492,0.050971
15000.019982,500.000000,5.658849,0.394565,0.027963
16000.153211,541.000000,6.047852,0.389003,0.016444
17000.039573,582.000000,6.480724,0.432872,0.031300
18000.085847,616.000000,6.933620,0.452896,0.110713
18999.998829,649.000000,7.308721,0.375101,0.036922
20000.345253,680.000000,7.748847,0.440126,0.091444
21000.613655,716.000000,8.129628,0.380781,0.020163
22000.218657,756.000000,8.566654,0.437026,0.034208
23000.555813,798.000000,8.997518,0.430864,0.014209
24000.247724,834.000000,9.369531,0.372013,0.026526
25000.179386,870.000000,9.752011,0.382480,0.031433
25999.998498,906.000000,11.157228,1.405217,1.015392
27000.003673,938.000000,11.526003,0.368775,0.039026
28001.045913,976.000000,11.965809,0.439806,0.033593
29000.183709,1011.000000,12.322212,0.356403,0.015308
30000.005969,1045.000000,12.672411,0.350199,0.019540
31000.236536,1080.000000,13.079105,0.406694,0.030630
32004.587932,1121.000000,13.499406,0.420301,0.021390
33000.385568,1158.000000,13.874577,0.375171,0.016617
34000.259378,1200.000000,15.659363,1.784786,1.380244
35000.032226,1234.000000,15.983582,0.324219,0.018076
36001.636617,1268.000000,16.339634,0.356052,0.015689
37002.359951,1306.000000,16.743627,0.403993,0.016441
38000.948846,1349.000000,17.166115,0.422488,0.018388
39001.654538,1382.000000,17.501399,0.335284,0.020852
40000.001101,1418.000000,17.860849,0.359450,0.016790
41000.019740,1454.000000,18.196834,0.335985,0.012115
42000.038972,1490.000000,18.572314,0.375480,0.018366
43000.426945,1526.000000,18.921857,0.349543,0.016034
43999.997332,1561.000000,19.283709,0.361852,0.020531
45000.141492,1593.000000,19.600523,0.316814,0.013365
46000.003553,1624.000000,19.893209,0.292686,0.013492
47000.296954,1648.000000,20.128861,0.235652,0.013426
48000.082973,1679.000000,20.485629,0.356768,0.027954
49000.006598,1712.000000,20.800997,0.315368,0.013439
50000.131872,1746.000000,21.238832,0.437835,0.100269
51000.032479,1783.000000,21.689472,0.450640,0.067287
52000.142770,1820.000000,22.137573,0.448101,0.089613
53001.472175,1856.000000,22.488152,0.350579,0.015118
54002.292279,1894.000000,22.852768,0.364616,0.018653
55000.026382,1940.000000,23.364098,0.511330,0.051601
56000.088514,1986.000000,23.811038,0.446940,0.026590
57000.000834,2032.000000,24.298635,0.487597,0.046784
58000.003536,2076.000000,24.835630,0.536995,0.105232
59000.035447,2116.000000,25.237178,0.401548,0.044454
60000.172344,2158.000000,25.721680,0.484502,0.075159
61003.890558,2199.000000,26.125138,0.403458,0.021469
62000.006706,2246.000000,26.553714,0.428576,0.014576
63001.272735,2290.000000,26.960448,0.406734,0.016221
64000.284742,2330.000000,27.339973,0.379525,0.017388
65000.463675,2370.000000,27.724051,0.384078,0.033379
66001.205427,2414.000000,28.105461,0.381410,0.014739
67000.003103,2454.000000,28.493947,0.388486,0.013301
68000.458523,2498.000000,28.916620,0.422673,0.022529
69000.371160,2532.000000,29.318253,0.401633,0.068724
70000.125085,2565.000000,29.624125,0.305872,0.015835
71000.207291,2600.000000,29.936630,0.312505,0.014132
72000.003065,2634.000000,30.222372,0.285742,0.011743
73000.017348,2670.000000,30.541747,0.319375,0.014084
74000.461788,2706.000000,30.880054,0.338307,0.017392
75000.001562,2746.000000,31.280038,0.399984,0.062097
75999.999306,2794.000000,31.800600,0.520562,0.072378
77000.219759,2832.000000,32.183543,0.382943,0.028842
78000.036220,2878.000000,32.956516,0.772973,0.281659
78999.998804,2926.000000,33.449876,0.493360,0.064918
80005.694275,2974.000000,33.873238,0.423362,0.013504
81003.858418,3020.000000,34.261641,0.388403,0.013208
81999.994666,3060.000000,34.645075,0.383434,0.028552
83000.452817,3106.000000,35.101428,0.456353,0.057941
84000.120345,3152.000000,35.554538,0.453110,0.052828
85000.217458,3197.000000,36.113853,0.559315,0.154399
86000.180016,3243.000000,36.536716,0.422863,0.013060
87001.504802,3288.000000,37.017264,0.480548,0.073728
88000.001828,3330.000000,37.395453,0.378189,0.013376
89007.334837,3374.000000,37.883105,0.487652,0.075945
90000.001985,3420.000000,38.294340,0.411235,0.026575
91000.123680,3465.000000,38.747171,0.452831,0.032677
92000.926882,3512.000000,39.179725,0.432554,0.013804
93005.883185,3556.000000,39.666710,0.486985,0.088227
94000.818841,3595.000000,40.039601,0.372891,0.015293
95000.006332,3642.000000,40.463616,0.424015,0.014999
95999.999710,3686.000000,40.906136,0.442520,0.027476
97000.529452,3732.000000,41.384420,0.478284,0.029178
97999.999671,3778.000000,41.837613,0.453193,0.077295
99000.002672,3816.000000,42.223891,0.386278,0.076900
100000.002608,3860.000000,42.633046,0.409155,0.014830
101001.920694,3906.000000,43.093540,0.460494,0.080136
