Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,59.000000,458.755024,154.614726,10.315334
2000.004180,79.000000,575.298773,116.543749,23.503313
3000.593609,102.000000,708.703460,133.404687,15.960470
4000.068391,122.000000,822.455379,113.751919,9.696094
5000.000234,123.000000,832.195337,9.739958,9.739958
6000.086428,159.000000,1007.187078,174.991741,12.176202
7008.631159,198.000000,1174.162058,166.974980,12.840294
8000.078946,234.000000,1308.253375,134.091317,7.485035
9000.093757,268.000000,1451.585708,143.332333,9.536830
10000.002643,304.000000,1580.887619,129.301911,7.041516
11003.272047,348.000000,1717.414805,136.527186,6.315283
12000.676006,389.000000,1854.905248,137.490443,7.472706
13000.455125,430.000000,1990.043647,135.138399,9.795858
14002.559197,462.000000,2122.353125,132.309478,11.202552
15000.019982,500.000000,2267.862230,145.509105,9.075488
16000.153211,541.000000,2392.438691,124.576461,6.798727
17000.039573,582.000000,2534.820941,142.382250,10.359094
18000.085847,616.000000,2678.152643,143.331702,13.515705
18999.998829,649.000000,2794.647159,116.494516,16.311795
20000.345253,680.000000,2911.246934,116.599775,12.292764
21000.613655,716.000000,3037.166519,125.919585,11.923713
22000.218657,756.000000,3150.864967,113.698448,5.992099
23000.555813,798.000000,3268.112866,117.247899,7.806576
24000.247724,834.000000,3377.845220,109.732354,9.125751
25000.179386,870.000000,3483.825320,105.980100,7.656602
25999.998498,906.000000,3597.155432,113.330112,9.667156
27000.003673,938.000000,3693.611323,96.455891,12.308438
28001.045913,976.000000,3819.349354,125.738031,8.990243
29000.183709,1011.000000,3916.028484,96.679130,8.528030
30000.005969,1045.000000,4029.481428,113.452944,12.594365
31000.236536,1080.000000,4129.271729,99.790301,6.374810
32004.587932,1121.000000,4242.403092,113.131363,5.900296
33000.385568,1158.000000,4381.777558,139.374466,9.514631
34000.259378,1200.000000,4518.934662,137.157104,10.348962
35000.032226,1234.000000,4620.036018,101.101356,16.067863
36001.636617,1268.000000,4720.755119,100.719101,13.175709
37002.359951,1306.000000,4847.983028,127.227909,7.590229
38000.948846,1349.000000,4973.186129,125.203101,10.548689
39001.654538,1382.000000,5074.375168,101.189039,7.680072
40000.001101,1418.000000,5179.363989,104.988821,8.517377
41000.019740,1454.000000,5288.396696,109.032707,7.332801
42000.038972,1490.000000,5420.501479,132.104783,10.496916
43000.426945,1526.000000,5536.351191,115.849712,17.388492
43999.997332,1561.000000,5638.260695,101.909504,6.909342
45000.141492,1593.000000,5744.774939,106.514244,8.060624
46000.003553,1624.000000,5838.891455,94.116516,12.177884
47000.296954,1648.000000,5917.536914,78.645459,9.477191
48000.082973,1679.000000,6046.809244,129.272330,15.410734
49000.006598,1712.000000,6148.061854,101.252610,8.245769
50000.131872,1746.000000,6265.437263,117.375409,13.444428
51000.032479,1783.000000,6364.710819,99.273556,9.163004
52000.142770,1820.000000,6484.876945,120.166126,6.939923
53001.472175,1856.000000,6592.681267,107.804322,6.952384
54002.292279,1894.000000,6694.035397,101.354130,6.073548
55000.026382,1940.000000,6822.421652,128.386255,6.500315
56000.088514,1986.000000,6935.543632,113.121980,4.181334
57000.000834,2032.000000,7069.769621,134.225989,8.026329
58000.003536,2076.000000,7184.899329,115.129708,5.843089
59000.035447,2116.000000,7302.722322,117.822993,7.040694
60000.172344,2158.000000,7432.007785,129.285463,14.578337
61003.890558,2199.000000,7551.128564,119.120779,7.576928
62000.006706,2246.000000,7674.232743,123.104179,7.053049
63001.272735,2290.000000,7801.981276,127.748533,9.323927
64000.284742,2330.000000,7922.675585,120.694309,8.850263
65000.463675,2370.000000,8035.360757,112.685172,6.205246
66001.205427,2414.000000,8154.156221,118.795464,8.145852
67000.003103,2454.000000,8286.452581,132.296360,7.314249
68000.458523,2498.000000,8406.323592,119.871011,7.201846
69000.371160,2532.000000,8522.426918,116.103326,18.744232
70000.125085,2565.000000,8639.066993,116.640075,8.268537
71000.207291,2600.000000,8756.112900,117.045907,8.744264
72000.003065,2634.000000,8848.534798,92.421898,8.800314
73000.017348,2670.000000,8954.511581,105.976783,7.560339
74000.461788,2706.000000,9065.724608,111.213027,7.886952
75000.001562,2746.000000,9176.592559,110.867951,6.462490
75999.999306,2794.000000,9307.642886,131.050327,5.719623
77000.219759,2832.000000,9421.047643,113.404757,8.812731
78000.036220,2878.000000,9541.174279,120.126636,5.295941
78999.998804,2926.000000,9671.718631,130.544352,6.660938
80005.694275,2974.000000,9805.932106,134.213475,8.029272
81003.858418,3020.000000,9930.186784,124.254678,7.536292
81999.994666,3060.000000,10041.272935,111.086151,7.458779
83000.452817,3106.000000,10168.410142,127.137207,8.390064
84000.120345,3152.000000,10286.706258,118.296116,5.704412
85000.217458,3197.000000,10423.815184,137.108926,7.968237
86000.180016,3243.000000,10548.782654,124.967470,7.040329
87001.504802,3288.000000,10689.127895,140.345241,18.269187
88000.001828,3330.000000,10806.704945,117.577050,5.543189
89007.334837,3374.000000,10945.791174,139.086229,8.958657
90000.001985,3420.000000,11059.803088,114.011914,6.126942
91000.123680,3465.000000,11184.148892,124.345804,6.156859
92000.926882,3512.000000,11315.031067,130.882175,8.255772
93005.883185,3556.000000,11444.018199,128.987132,6.861321
94000.818841,3595.000000,11558.553290,114.535091,6.459531
