Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,52.000000,468.875889,157.692181,10.433250
2000.004180,72.000000,589.305404,120.429515,25.816494
3000.593609,95.000000,724.940072,135.634668,16.069104
4000.068391,115.000000,843.060331,118.120259,9.800023
5000.000234,116.000000,852.910906,9.850575,9.850575
6000.086428,152.000000,1030.972142,178.061236,12.309240
7008.631159,184.000000,1201.282523,170.310381,44.300863
8000.078946,213.000000,1337.922845,136.640322,32.610885
9000.093757,240.000000,1487.313264,149.390419,43.515237
10000.002643,269.000000,1619.703035,132.389771,36.130252
11003.272047,306.000000,1759.328779,139.625744,27.442273
12000.676006,340.000000,1899.821273,140.492494,29.391972
13000.455125,374.000000,2037.790695,137.969422,36.698451
14002.559197,399.000000,2172.753172,134.962477,41.722928
15000.019982,430.000000,2321.539916,148.786744,33.796688
16000.153211,464.000000,2448.724226,127.184310,29.990242
17000.039573,498.000000,2594.989675,146.265449,28.790325
18000.085847,525.000000,2743.529317,148.539642,40.471579
18999.998829,551.000000,2862.944228,119.414911,27.841454
20000.345253,575.000000,2982.181183,119.236955,32.455999
21000.613655,604.000000,3111.522166,129.340983,44.681217
22000.218657,637.000000,3228.263744,116.741578,22.469863
23000.555813,672.000000,3350.860163,122.596419,25.645677
24000.247724,701.000000,3463.669629,112.809466,30.299596
25000.179386,730.000000,3572.146128,108.476499,31.069320
25999.998498,759.000000,3688.296762,116.150634,32.657479
27000.003673,784.000000,3787.297473,99.000711,22.118254
28001.045913,815.000000,3916.171202,128.873729,24.935485
29000.183709,843.000000,4015.002359,98.831157,22.915206
30000.005969,870.000000,4131.031049,116.028690,26.160214
31000.236536,898.000000,4233.930601,102.899552,27.334810
32004.587932,932.000000,4350.075198,116.144597,23.562290
33000.385568,962.000000,4492.212674,142.137476,34.747956
34000.259378,997.000000,4633.310439,141.097765,22.619113
35000.032226,1024.000000,4737.335443,104.025004,37.784267
36001.636617,1051.000000,4840.686838,103.351395,24.873288
37002.359951,1082.000000,4972.763156,132.076318,29.165564
38000.948846,1118.000000,5101.087562,128.324406,24.060767
39001.654538,1144.000000,5204.875839,103.788277,21.489943
40000.001101,1173.000000,5312.883407,108.007568,26.578165
41000.019740,1202.000000,5425.298055,112.414648,30.206284
42000.038972,1231.000000,5559.890632,134.592577,56.703536
43000.426945,1260.000000,5678.909437,119.018805,19.854967
43999.997332,1288.000000,5783.746509,104.837072,25.804984
45000.141492,1313.000000,5892.498770,108.752261,22.632088
46000.003553,1337.000000,5989.292287,96.793517,23.416462
47000.296954,1354.000000,6070.096175,80.803888,26.756296
48000.082973,1378.000000,6201.795293,131.699118,35.309941
49000.006598,1404.000000,6305.799996,104.004703,30.966748
50000.131872,1431.000000,6425.533396,119.733400,24.972722
51000.032479,1461.000000,6527.114329,101.580933,22.853494
52000.142770,1491.000000,6649.851894,122.737565,35.096316
53001.472175,1520.000000,6760.046244,110.194350,23.990824
54002.292279,1551.000000,6864.040581,103.994337,20.834730
55000.026382,1590.000000,6995.828778,131.788197,21.201149
56000.088514,1629.000000,7111.668520,115.839742,19.869585
57000.000834,1668.000000,7249.032233,137.363713,21.834402
58000.003536,1705.000000,7366.994297,117.962064,19.197996
59000.035447,1738.000000,7487.309042,120.314745,21.966768
60000.172344,1773.000000,7620.126502,132.817460,34.808845
61003.890558,1807.000000,7742.211607,122.085105,21.735833
62000.006706,1847.000000,7869.026977,126.815370,18.833404
63001.272735,1884.000000,7999.760802,130.733825,22.942054
64000.284742,1917.000000,8123.013753,123.252951,23.482297
65000.463675,1950.000000,8238.410256,115.396503,20.937875
66001.205427,1987.000000,8359.807369,121.397113,19.511325
67000.003103,2020.000000,8494.819961,135.012592,18.525196
68000.458523,2057.000000,8617.621457,122.801496,19.775094
69000.371160,2084.000000,8736.093601,118.472144,21.820888
70000.125085,2110.000000,8854.937120,118.843519,34.893841
71000.207291,2138.000000,8974.216396,119.279276,18.417535
72000.003065,2165.000000,9068.587927,94.371531,19.610792
73000.017348,2194.000000,9176.888613,108.300686,18.901197
74000.461788,2223.000000,9290.705215,113.816602,27.241991
75000.001562,2256.000000,9403.950309,113.245094,20.333697
75999.999306,2297.000000,9538.370080,134.419771,19.092071
77000.219759,2328.000000,9654.520530,116.150450,25.242599
78000.036220,2367.000000,9777.781261,123.260731,18.865725
78999.998804,2408.000000,9911.866340,134.085079,18.635203
80005.694275,2449.000000,10049.060146,137.193806,18.971645
81003.858418,2488.000000,10176.590947,127.530801,19.175830
81999.994666,2521.000000,10290.323809,113.732862,20.082269
83000.452817,2560.000000,10420.588420,130.264611,20.408082
84000.120345,2599.000000,10541.629200,121.040780,17.969856
85000.217458,2637.000000,10681.678256,140.049056,21.083020
86000.180016,2676.000000,10809.311884,127.633628,20.203222
87001.504802,2714.000000,10953.138683,143.826799,18.841935
88000.001828,2749.000000,11073.860094,120.721411,18.923582
89007.334837,2786.000000,11217.060880,143.200786,19.990556
90000.001985,2825.000000,11333.629994,116.569114,19.439128
91000.123680,2863.000000,11462.316119,128.686125,19.014572
92000.926882,2903.000000,11596.354676,134.038557,20.076230
93005.883185,2940.000000,11728.830095,132.475419,23.388648
