Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,59.000000,456.090980,153.424506,10.273973
2000.004180,79.000000,571.825900,115.734920,23.460226
3000.593609,102.000000,704.141496,132.315596,15.914923
4000.068391,122.000000,816.955453,112.813957,9.650092
5000.000234,123.000000,826.628312,9.672859,9.672859
6000.086428,159.000000,1000.160524,173.532212,12.126397
7008.631159,198.000000,1165.562251,165.401727,12.798789
8000.078946,234.000000,1298.299263,132.737012,7.438532
9000.093757,268.000000,1440.320526,142.021263,9.481914
10000.002643,304.000000,1568.201926,127.881400,6.994854
11003.272047,348.000000,1702.921567,134.719641,6.267581
12000.676006,389.000000,1838.781238,135.859671,7.417078
13000.455125,430.000000,1972.459910,133.678672,9.764335
14002.559197,462.000000,2103.480557,131.020647,11.159487
15000.019982,500.000000,2247.527130,144.046573,9.025490
16000.153211,541.000000,2370.591359,123.064229,6.748078
17000.039573,582.000000,2511.169116,140.577757,10.317604
18000.085847,616.000000,2653.014971,141.845855,13.466931
18999.998829,649.000000,2768.085141,115.070170,16.239564
20000.345253,680.000000,2883.248864,115.163723,12.262800
21000.613655,716.000000,3007.630674,124.381810,11.889380
22000.218657,756.000000,3119.277007,111.646333,5.949317
23000.555813,798.000000,3234.814095,115.537088,7.773794
24000.247724,834.000000,3343.071414,108.257319,9.070250
25000.179386,870.000000,3447.559857,104.488443,7.622855
25999.998498,906.000000,3559.254532,111.694675,9.624062
27000.003673,938.000000,3654.341339,95.086807,12.265648
28001.045913,976.000000,3778.364031,124.022692,8.945473
29000.183709,1011.000000,3873.659522,95.295491,8.485133
30000.005969,1045.000000,3985.764271,112.104749,12.539329
31000.236536,1080.000000,4083.863913,98.099642,6.302111
32004.587932,1121.000000,4195.149842,111.285929,5.802092
33000.385568,1158.000000,4332.979276,137.829434,9.446799
34000.259378,1200.000000,4468.223080,135.243804,10.303226
35000.032226,1234.000000,4567.928697,99.705617,16.033782
36001.636617,1268.000000,4667.326036,99.397339,13.129674
37002.359951,1306.000000,4792.882723,125.556687,7.541710
38000.948846,1349.000000,4916.261887,123.379164,10.496985
39001.654538,1382.000000,5016.175007,99.913120,7.617668
40000.001101,1418.000000,5119.738651,103.563644,8.475488
41000.019740,1454.000000,5226.724118,106.985467,7.299492
42000.038972,1490.000000,5357.282505,130.558387,10.465110
43000.426945,1526.000000,5471.660932,114.378427,17.254167
43999.997332,1561.000000,5572.027482,100.366550,6.864653
45000.141492,1593.000000,5677.088018,105.060536,8.017393
46000.003553,1624.000000,5769.965486,92.877468,12.130099
47000.296954,1648.000000,5847.477758,77.512272,9.426517
48000.082973,1679.000000,5975.310610,127.832852,15.347197
49000.006598,1712.000000,6075.248559,99.937949,8.187969
50000.131872,1746.000000,6191.009279,115.760720,13.394548
51000.032479,1783.000000,6288.798420,97.789141,9.114147
52000.142770,1820.000000,6406.828284,118.029864,6.898245
53001.472175,1856.000000,6513.189264,106.360980,6.896959
54002.292279,1894.000000,6613.157174,99.967910,6.001034
55000.026382,1940.000000,6739.785352,126.628178,6.442380
56000.088514,1986.000000,6851.202298,111.416946,4.152976
57000.000834,2032.000000,6983.532714,132.330416,7.977877
58000.003536,2076.000000,7097.097726,113.565012,5.799463
59000.035447,2116.000000,7213.521353,116.423627,6.997603
