Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,54.000000,202.613924,33.253132,4.301961
2000.004180,68.000000,216.681221,14.067297,2.588446
3000.593609,85.000000,234.237377,17.556156,3.087969
4000.068391,102.000000,251.682127,17.444750,2.550419
5000.000234,103.000000,254.508781,2.826654,2.826654
6000.086428,129.000000,285.390605,30.881824,3.181480
7008.631159,154.000000,311.127650,25.737045,3.156034
8000.078946,181.000000,340.465979,29.338329,2.753503
9000.093757,205.000000,365.998478,25.532499,3.180559
10000.002643,231.000000,387.811327,21.812849,2.442162
11003.272047,249.000000,401.874232,14.062905,2.541820
12000.676006,275.000000,422.144846,20.270614,3.992410
13000.455125,292.000000,436.641335,14.496489,2.389088
14002.559197,316.000000,462.195235,25.553900,2.806010
15000.019982,339.000000,486.454940,24.259705,3.123063
16000.153211,354.000000,499.982471,13.527531,3.017573
17000.039573,375.000000,520.119901,20.137430,6.150907
18000.085847,398.000000,544.199592,24.079691,4.054473
18999.998829,419.000000,560.570670,16.371078,3.294880
20000.345253,439.000000,577.373608,16.802938,5.604314
21000.613655,459.000000,594.170089,16.796481,5.599440
22000.218657,489.000000,610.271177,16.101088,1.377086
23000.555813,515.000000,623.580701,13.309524,1.584806
24000.247724,536.000000,634.585612,11.004911,2.194395
25000.179386,556.000000,644.677676,10.092064,2.222582
25999.998498,580.000000,658.326754,13.649078,1.743893
27000.003673,602.000000,670.739695,12.412941,1.792248
28001.045913,628.000000,691.094730,20.355035,2.721050
29000.183709,649.000000,702.926927,11.832197,2.571972
30000.005969,668.000000,716.612434,13.685507,2.645320
31000.236536,693.000000,733.286940,16.674506,2.591643
32004.587932,721.000000,750.303787,17.016847,2.548715
33000.385568,741.000000,771.607926,21.304139,3.807391
34000.259378,765.000000,788.869837,17.261911,2.514953
35000.032226,781.000000,796.392147,7.522310,1.419206
36001.636617,803.000000,810.207044,13.814897,2.240530
37002.359951,830.000000,828.757947,18.550903,2.696137
38000.948846,852.000000,842.796908,14.038961,2.459934
39001.654538,872.000000,853.866375,11.069467,1.045310
40000.001101,894.000000,863.829309,9.962934,0.983803
41000.019740,912.000000,877.003423,13.174114,2.579595
42000.038972,934.000000,890.610466,13.607043,3.260088
43000.426945,952.000000,899.920719,9.310253,1.454369
43999.997332,973.000000,913.374787,13.454068,2.156561
45000.141492,994.000000,924.523344,11.148557,1.249663
46000.003553,1009.000000,931.383163,6.859819,0.958388
47000.296954,1022.000000,942.844511,11.461348,4.219710
48000.082973,1042.000000,955.393802,12.549291,2.233190
49000.006598,1060.000000,966.543220,11.149418,2.598788
50000.131872,1079.000000,979.614952,13.071732,2.335514
51000.032479,1099.000000,989.956408,10.341456,2.572964
52000.142770,1119.000000,1005.997530,16.041122,3.839243
53001.472175,1139.000000,1016.686890,10.689360,1.069322
54002.292279,1157.000000,1025.957056,9.270166,1.148902
55000.026382,1179.000000,1039.946586,13.989530,2.191710
56000.088514,1197.000000,1047.504931,7.558345,0.604919
57000.000834,1221.000000,1069.567224,22.062293,4.363208
58000.003536,1239.000000,1078.656045,9.088821,1.054635
59000.035447,1253.000000,1091.025035,12.368990,3.114834
60000.172344,1269.000000,1103.367875,12.342840,2.254474
61003.890558,1287.000000,1116.775497,13.407622,2.825459
62000.006706,1305.000000,1126.573728,9.798231,1.627233
63001.272735,1319.000000,1137.961174,11.387446,2.303748
64000.284742,1335.000000,1148.955674,10.994500,2.470484
65000.463675,1350.000000,1161.831704,12.876030,2.926805
66001.205427,1358.000000,1167.245856,5.414152,1.652948
67000.003103,1378.000000,1183.778209,16.532353,2.197498
68000.458523,1390.000000,1191.316384,7.538175,1.508323
69000.371160,1404.000000,1200.978484,9.662100,1.479710
70000.125085,1417.000000,1213.019989,12.041505,3.490320
71000.207291,1428.000000,1221.580650,8.560661,2.715716
72000.003065,1434.000000,1224.571230,2.990580,0.998227
73000.017348,1444.000000,1230.630786,6.059556,1.315707
74000.461788,1457.000000,1241.906419,11.275633,2.531447
75000.001562,1468.000000,1248.502761,6.596342,1.370919
75999.999306,1487.000000,1260.080354,11.577593,1.516585
77000.219759,1501.000000,1273.712655,13.632301,4.849368
78000.036220,1513.000000,1280.647385,6.934730,1.671879
78999.998804,1529.000000,1290.058207,9.410822,1.369916
80005.694275,1541.000000,1297.423895,7.365688,1.137708
81003.858418,1548.000000,1301.362653,3.938758,1.081231
81999.994666,1561.000000,1308.879005,7.516352,1.249990
83000.452817,1574.000000,1318.541257,9.662252,2.331541
84000.120345,1585.000000,1324.369254,5.827997,1.481064
85000.217458,1601.000000,1338.885174,14.515920,2.657937
86000.180016,1615.000000,1349.485412,10.600238,2.438156
87001.504802,1632.000000,1363.391248,13.905836,2.372533
88000.001828,1645.000000,1371.495108,8.103860,1.164479
89007.334837,1666.000000,1392.086202,20.591094,2.472577
90000.001985,1670.000000,1396.574320,4.488118,3.411684
91000.123680,1684.000000,1405.294898,8.720578,1.105799
92000.926882,1700.000000,1413.430685,8.135787,1.038734
93005.883185,1712.000000,1423.904822,10.474137,2.166967
94000.818841,1729.000000,1434.581524,10.676702,1.385636
95000.006332,1741.000000,1441.823726,7.242202,1.130295
95999.999710,1755.000000,1451.748050,9.924324,1.523527
97000.529452,1774.000000,1463.426139,11.678089,1.223670
97999.999671,1782.000000,1468.189274,4.763135,1.104752
99000.002672,1788.000000,1471.419375,3.230101,0.718993
100000.002608,1803.000000,1482.560904,11.141529,2.013927
101001.920694,1813.000000,1488.109579,5.548675,1.028427
102002.974844,1821.000000,1495.422134,7.312555,2.639905
103000.639075,1826.000000,1499.939885,4.517751,1.428197
104002.207250,1836.000000,1510.161860,10.221975,3.138573
105000.870767,1842.000000,1516.860757,6.698897,2.223440
106000.085727,1852.000000,1522.700888,5.840131,1.184392
107000.200380,1860.000000,1528.015336,5.314448,1.211712
107999.998591,1867.000000,1536.346049,8.330713,2.278122
109000.000301,1871.000000,1538.647728,2.301679,0.647365
110007.079748,1877.000000,1542.760444,4.112716,1.053715
111000.070229,1881.000000,1545.243424,2.482980,0.910186
112000.039154,1890.000000,1551.201179,5.957755,1.144111
113006.070144,1902.000000,1563.405693,12.204514,2.449490
114000.024271,1910.000000,1569.573939,6.168246,1.147059
115000.003352,1918.000000,1578.129728,8.555789,2.375556
115999.998771,1924.000000,1582.720223,4.590495,1.566569
117000.055011,1931.000000,1588.464474,5.744251,1.576662
118000.059687,1941.000000,1596.475255,8.010781,1.330244
119000.169430,1951.000000,1605.460110,8.984855,2.516946
120000.023517,1965.000000,1615.864150,10.404040,2.242879
121001.176228,1973.000000,1623.611542,7.747392,2.091314
122000.794592,1987.000000,1638.711818,15.100276,2.256227
123000.389134,1993.000000,1644.481740,5.769922,2.388351
124000.343834,2000.000000,1649.183332,4.701592,1.236591
125001.078490,2007.000000,1653.581607,4.398275,1.630855
126000.414142,2019.000000,1662.494695,8.913088,1.459204
127001.821865,2020.000000,1664.582126,2.087431,2.087431
128000.033166,2027.000000,1669.690809,5.108683,1.154309
128999.998518,2035.000000,1675.214229,5.523420,1.727039
130002.585703,2042.000000,1680.665242,5.451013,1.725005
131002.715287,2048.000000,1686.336336,5.671094,2.392254
132000.074346,2054.000000,1690.342150,4.005814,1.404891
133001.759521,2062.000000,1695.046381,4.704231,1.005496
134009.416907,2064.000000,1696.529380,1.482999,0.949919
135000.005291,2070.000000,1701.286261,4.756881,1.279512
135999.994926,2080.000000,1709.830375,8.544114,2.759182
137003.340270,2086.000000,1714.172288,4.341913,1.872842
