Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,54.000000,0.313876,0.146121,0.007475
2000.004180,68.000000,0.394624,0.080748,0.007650
3000.593609,85.000000,0.516740,0.122116,0.015768
4000.068391,102.000000,0.640713,0.123973,0.009403
5000.000234,103.000000,0.644593,0.003880,0.003880
6000.086428,129.000000,0.808929,0.164336,0.011852
7008.631159,154.000000,0.995989,0.187060,0.029019
8000.078946,181.000000,1.182374,0.186385,0.011116
9000.093757,205.000000,1.922352,0.739978,0.544275
10000.002643,231.000000,2.135219,0.212867,0.032881
11003.272047,249.000000,2.264891,0.129672,0.008787
12000.676006,275.000000,2.454663,0.189772,0.008978
13000.455125,292.000000,2.610477,0.155814,0.039220
14002.559197,316.000000,2.780560,0.170083,0.011871
15000.019982,339.000000,2.939945,0.159385,0.010619
16000.153211,354.000000,3.046011,0.106066,0.008458
17000.039573,375.000000,3.203604,0.157593,0.009014
18000.085847,398.000000,3.469959,0.266355,0.064304
18999.998829,419.000000,3.616453,0.146494,0.008420
20000.345253,439.000000,3.758402,0.141949,0.008300
21000.613655,459.000000,3.910112,0.151710,0.009345
22000.218657,489.000000,4.134042,0.223930,0.009197
23000.555813,515.000000,4.329958,0.195916,0.009018
24000.247724,536.000000,4.517260,0.187302,0.038283
25000.179386,556.000000,4.669915,0.152655,0.017494
25999.998498,580.000000,4.868278,0.198363,0.016970
27000.003673,602.000000,5.027861,0.159583,0.009849
28001.045913,628.000000,5.218430,0.190569,0.016841
29000.183709,648.000000,5.360531,0.142101,0.008008
30000.005969,668.000000,5.505984,0.145453,0.010279
31000.236536,693.000000,5.687382,0.181398,0.009337
32004.587932,721.000000,5.884848,0.197466,0.009132
33000.385568,741.000000,6.030265,0.145417,0.017124
34000.259378,765.000000,6.189595,0.159330,0.010062
35000.032226,781.000000,6.306192,0.116597,0.008696
36001.636617,803.000000,6.475814,0.169622,0.017828
37002.359951,830.000000,6.697740,0.221926,0.027245
38000.948846,852.000000,6.852418,0.154678,0.011522
39001.654538,872.000000,6.999297,0.146879,0.009764
40000.001101,894.000000,7.156593,0.157296,0.007804
41000.019740,912.000000,7.285070,0.128477,0.016114
42000.038972,934.000000,7.441734,0.156664,0.008817
43000.426945,952.000000,7.571126,0.129392,0.008672
43999.997332,973.000000,7.733625,0.162499,0.017041
45000.141492,994.000000,9.748944,2.015319,1.870343
46000.003553,1009.000000,9.859267,0.110323,0.008054
47000.296954,1022.000000,9.945762,0.086495,0.007487
48000.082973,1042.000000,10.087877,0.142115,0.008334
49000.006598,1060.000000,10.220429,0.132552,0.009335
50000.131872,1079.000000,10.350142,0.129713,0.009651
51000.032479,1099.000000,10.500713,0.150571,0.017517
52000.142770,1119.000000,10.642237,0.141524,0.010043
53001.472175,1139.000000,10.788530,0.146293,0.009167
54002.292279,1157.000000,10.918895,0.130365,0.007846
55000.026382,1179.000000,11.072046,0.153151,0.008939
56000.088514,1197.000000,11.212832,0.140786,0.023207
57000.000834,1221.000000,11.376780,0.163948,0.009734
58000.003536,1239.000000,11.507033,0.130253,0.007948
59000.035447,1253.000000,11.606285,0.099252,0.008539
60000.172344,1269.000000,11.714669,0.108384,0.008223
61003.890558,1287.000000,11.841288,0.126619,0.009975
62000.006706,1305.000000,11.967428,0.126140,0.008036
63001.272735,1319.000000,12.066043,0.098615,0.007953
64000.284742,1335.000000,12.240178,0.174135,0.069022
65000.463675,1350.000000,12.346854,0.106676,0.008792
66001.205427,1358.000000,12.404368,0.057514,0.008261
67000.003103,1378.000000,12.678241,0.273873,0.133041
68000.458523,1390.000000,12.770880,0.092639,0.010009
69000.371160,1404.000000,12.974779,0.203899,0.069208
70000.125085,1417.000000,13.069938,0.095159,0.007992
71000.207291,1428.000000,13.152802,0.082864,0.015622
72000.003065,1434.000000,13.195470,0.042668,0.007224
73000.017348,1444.000000,13.267593,0.072123,0.009117
74000.461788,1457.000000,13.364757,0.097164,0.008506
75000.001562,1468.000000,13.447963,0.083206,0.009693
75999.999306,1487.000000,13.587532,0.139569,0.008175
77000.219759,1501.000000,13.689889,0.102357,0.009908
78000.036220,1513.000000,13.817430,0.127541,0.046661
78999.998804,1529.000000,13.930865,0.113435,0.008863
80005.694275,1541.000000,14.018398,0.087533,0.008290
81003.858418,1548.000000,14.071761,0.053363,0.008035
81999.994666,1561.000000,14.169789,0.098028,0.009931
83000.452817,1574.000000,14.268369,0.098580,0.016955
84000.120345,1585.000000,14.348232,0.079863,0.009462
85000.217458,1601.000000,14.456777,0.108545,0.008791
86000.180016,1615.000000,14.553819,0.097042,0.008180
87001.504802,1632.000000,14.679206,0.125387,0.017507
88000.001828,1645.000000,14.775093,0.095887,0.009509
89007.334837,1666.000000,14.913495,0.138402,0.008902
90000.001985,1670.000000,14.941230,0.027735,0.007986
91000.123680,1684.000000,15.048456,0.107226,0.010405
92000.926882,1700.000000,15.163800,0.115344,0.009538
93005.883185,1712.000000,15.248540,0.084740,0.009930
