Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,69.000000,30.641799,13.471157,0.790473
2000.004180,87.000000,39.712618,9.070819,1.575284
3000.593609,106.000000,47.203553,7.490935,0.683329
4000.068391,122.000000,52.265728,5.062175,0.462358
5000.000234,125.000000,53.960070,1.694342,0.689010
6000.086428,155.000000,66.253209,12.293139,0.919054
7008.631159,175.000000,74.238812,7.985603,0.872020
8000.078946,188.000000,78.403727,4.164915,0.494935
9000.093757,203.000000,83.431356,5.027629,0.588819
10000.002643,214.000000,86.631366,3.200010,0.359685
11003.272047,221.000000,88.686687,2.055321,0.346548
12000.676006,230.000000,92.645387,3.958700,1.635152
13000.455125,238.000000,95.060650,2.415263,0.503533
14002.559197,254.000000,100.374629,5.313979,0.589289
15000.019982,268.000000,105.280379,4.905750,1.167592
16000.153211,274.000000,107.446864,2.166485,0.777239
17000.039573,282.000000,109.893303,2.446439,0.762877
18000.085847,293.000000,116.292234,6.398931,2.797835
18999.998829,301.000000,122.684464,6.392230,3.901460
20000.345253,304.000000,123.874055,1.189591,0.508794
21000.613655,305.000000,124.212711,0.338656,0.338656
22000.218657,307.000000,124.775860,0.563149,0.347501
23000.555813,309.000000,125.395731,0.619871,0.393008
24000.247724,311.000000,126.450380,1.054649,0.833129
25000.179386,313.000000,127.036966,0.586586,0.326829
25999.998498,318.000000,129.846236,2.809270,1.055098
27000.003673,322.000000,131.434364,1.588128,0.483326
28001.045913,329.000000,136.051376,4.617012,1.119211
29000.183709,331.000000,137.270616,1.219240,0.922418
30000.005969,336.000000,140.432996,3.162380,1.380504
31000.236536,339.000000,141.643063,1.210067,0.424540
32004.587932,345.000000,143.588252,1.945189,0.455064
33000.385568,353.000000,149.510084,5.921832,1.248251
34000.259378,361.000000,153.461550,3.951466,0.946868
35000.032226,362.000000,153.676603,0.215053,0.215053
36001.636617,367.000000,156.034301,2.357698,0.743181
37002.359951,373.000000,158.340614,2.306313,0.867776
38000.948846,380.000000,161.265235,2.924621,0.675544
39001.654538,382.000000,161.822754,0.557519,0.304619
40000.001101,385.000000,162.899861,1.077107,0.498449
41000.019740,389.000000,164.597902,1.698041,0.553693
42000.038972,391.000000,165.064535,0.466633,0.259461
43000.426945,393.000000,165.797309,0.732774,0.442237
43999.997332,397.000000,167.021584,1.224275,0.450570
45000.141492,402.000000,168.506191,1.484607,0.385927
46000.003553,403.000000,168.776016,0.269825,0.269825
47000.296954,407.000000,171.231095,2.455079,1.039153
48000.082973,412.000000,173.831911,2.600816,0.686448
