Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,113.000000,0.627835,0.293594,0.012002
2000.004180,147.000000,0.815509,0.187674,0.013588
3000.593609,187.000000,1.067074,0.251565,0.040575
4000.068391,224.000000,1.264999,0.197925,0.007943
5000.000234,226.000000,1.280813,0.015814,0.008634
6000.086428,288.000000,1.603392,0.322579,0.008158
7008.631159,352.000000,3.211894,1.608502,1.258028
8000.078946,415.000000,3.535677,0.323783,0.007939
9000.093757,473.000000,3.945284,0.409607,0.115427
10000.002643,535.000000,4.269281,0.323997,0.007634
11003.272047,597.000000,4.623148,0.353867,0.021195
12000.676006,664.000000,4.982851,0.359703,0.009318
13000.455125,722.000000,5.687247,0.704396,0.396354
14002.559197,778.000000,5.994696,0.307449,0.008755
15000.019982,839.000000,6.328861,0.334165,0.018507
16000.153211,895.000000,6.645150,0.316289,0.009302
17000.039573,957.000000,6.982976,0.337826,0.010025
18000.085847,1014.000000,7.295413,0.312437,0.010443
18999.998829,1068.000000,7.619449,0.324036,0.029616
20000.345253,1119.000000,7.892953,0.273504,0.009403
21000.613655,1175.000000,8.248937,0.355984,0.034752
22000.218657,1245.000000,8.604670,0.355733,0.007769
23000.555813,1313.000000,8.978742,0.374072,0.014505
24000.247724,1370.000000,9.272084,0.293342,0.007252
25000.179386,1426.000000,9.594230,0.322146,0.026984
25999.998498,1486.000000,9.941381,0.347151,0.015090
27000.003673,1540.000000,10.245999,0.304618,0.016841
28001.045913,1604.000000,10.614316,0.368317,0.014310
29000.183709,1659.000000,10.900913,0.286597,0.007780
30000.005969,1713.000000,11.360698,0.459785,0.145198
31000.236536,1773.000000,11.690275,0.329577,0.015057
32004.587932,1842.000000,12.066867,0.376592,0.014518
33000.385568,1899.000000,12.433511,0.366644,0.034471
34000.259378,1965.000000,12.787132,0.353621,0.012044
35000.032226,2015.000000,13.054405,0.267273,0.007760
36001.636617,2071.000000,13.392886,0.338481,0.056722
37002.359951,2136.000000,13.733618,0.340732,0.007743
38000.948846,2201.000000,14.069001,0.335383,0.007116
39001.654538,2254.000000,14.373144,0.304143,0.013855
40000.001101,2312.000000,14.700143,0.326999,0.030398
41000.019740,2366.000000,15.003781,0.303638,0.014058
42000.038972,2424.000000,15.329839,0.326058,0.019809
43000.426945,2478.000000,15.627305,0.297466,0.023312
43999.997332,2534.000000,15.936171,0.308866,0.013384
45000.141492,2587.000000,16.206545,0.270374,0.007631
46000.003553,2633.000000,16.448555,0.242010,0.007374
47000.296954,2670.000000,16.648938,0.200383,0.009247
48000.082973,2721.000000,16.915322,0.266384,0.007807
49000.006598,2772.000000,17.197006,0.281684,0.010366
50000.131872,2825.000000,17.493117,0.296111,0.017101
51000.032479,2882.000000,17.802557,0.309440,0.014378
52000.142770,2939.000000,18.149461,0.346904,0.042749
53001.472175,2995.000000,18.447425,0.297964,0.007861
54002.292279,3051.000000,18.748951,0.301526,0.013820
55000.026382,3119.000000,19.286998,0.538047,0.170804
56000.088514,3183.000000,19.625453,0.338455,0.007086
57000.000834,3253.000000,20.010240,0.384787,0.009508
58000.003536,3315.000000,20.687413,0.677173,0.356156
59000.035447,3369.000000,21.028319,0.340906,0.051440
60000.172344,3427.000000,21.369690,0.341371,0.018240
61003.890558,3486.000000,21.693348,0.323658,0.008301
62000.006706,3551.000000,22.041093,0.347745,0.007077
63001.272735,3609.000000,22.415539,0.374446,0.036669
64000.284742,3665.000000,22.716674,0.301135,0.007527
65000.463675,3720.000000,23.031759,0.315085,0.022036
66001.205427,3772.000000,23.334377,0.302618,0.013887
67000.003103,3832.000000,23.656454,0.322077,0.007779
68000.458523,3888.000000,23.960020,0.303566,0.007627
69000.371160,3936.000000,24.286412,0.326392,0.073988
70000.125085,3982.000000,24.560280,0.273868,0.027755
