Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,320.000000,1.227970,0.550408,0.021039
2000.004180,408.000000,1.560226,0.332256,0.006568
3000.593609,510.000000,1.965354,0.405128,0.015619
4000.068391,609.000000,2.915502,0.950148,0.568913
5000.000234,615.000000,2.939522,0.024020,0.004803
6000.086428,776.000000,3.576487,0.636965,0.021934
7008.631159,937.000000,4.176453,0.599966,0.006520
8000.078946,1089.000000,4.738063,0.561610,0.006176
9000.093757,1228.000000,5.266782,0.528719,0.011622
10000.002643,1376.000000,5.824037,0.557255,0.020041
11003.272047,1521.000000,6.390294,0.566257,0.019795
12000.676006,1680.000000,6.982647,0.592353,0.005825
13000.455125,1812.000000,7.478598,0.495951,0.012221
14002.559197,1947.000000,8.002355,0.523757,0.028794
15000.019982,2089.000000,8.539576,0.537221,0.005577
16000.153211,2215.000000,9.020563,0.480987,0.016859
17000.039573,2362.000000,9.571893,0.551330,0.006932
18000.085847,2501.000000,10.140739,0.568846,0.070519
18999.998829,2630.000000,10.607734,0.466995,0.005463
20000.345253,2753.000000,11.088507,0.480773,0.020075
21000.613655,2887.000000,11.774096,0.685589,0.169782
22000.218657,3057.000000,12.390608,0.616512,0.009790
23000.555813,3219.000000,13.073369,0.682761,0.042114
24000.247724,3355.000000,13.597316,0.523947,0.013247
25000.179386,3492.000000,14.178749,0.581433,0.053837
25999.998498,3634.000000,14.750656,0.571907,0.032848
27000.003673,3769.000000,15.274690,0.524034,0.013296
28001.045913,3924.000000,15.897636,0.622946,0.012367
29000.183709,4053.000000,16.374475,0.476839,0.023564
30000.005969,4188.000000,16.881558,0.507083,0.012476
31000.236536,4333.000000,17.474635,0.593077,0.036334
32004.587932,4497.000000,18.086037,0.611402,0.013195
33000.385568,4631.000000,18.647978,0.561941,0.058731
34000.259378,4786.000000,19.305107,0.657129,0.087574
35000.032226,4903.000000,19.763156,0.458049,0.028155
36001.636617,5040.000000,20.268606,0.505450,0.013750
37002.359951,5196.000000,24.268162,3.999556,3.417203
38000.948846,5351.000000,25.100686,0.832524,0.190658
39001.654538,5477.000000,25.566888,0.466202,0.011427
40000.001101,5617.000000,26.100595,0.533707,0.034338
41000.019740,5741.000000,26.623865,0.523270,0.052677
42000.038972,5880.000000,27.139641,0.515776,0.019206
43000.426945,6006.000000,27.603231,0.463590,0.010686
43999.997332,6136.000000,28.079954,0.476723,0.005287
45000.141492,6266.000000,28.553621,0.473667,0.005972
46000.003553,6373.000000,30.594505,2.040884,1.660460
47000.296954,6458.000000,30.915343,0.320838,0.006169
48000.082973,6581.000000,31.355060,0.439717,0.005366
49000.006598,6701.000000,31.825050,0.469990,0.039961
50000.131872,6829.000000,32.312574,0.487524,0.016922
51000.032479,6966.000000,32.811211,0.498637,0.013097
52000.142770,7100.000000,33.300749,0.489538,0.005621
53001.472175,7234.000000,33.784889,0.484140,0.005511
54002.292279,7364.000000,34.252778,0.467889,0.005386
55000.026382,7520.000000,35.073206,0.820428,0.236217
56000.088514,7667.000000,35.611551,0.538345,0.006248
57000.000834,7828.000000,36.224381,0.612830,0.019733
58000.003536,7972.000000,36.771179,0.546798,0.021957
59000.035447,8094.000000,37.215794,0.444615,0.005822
60000.172344,8224.000000,37.694286,0.478492,0.006055
61003.890558,8359.000000,38.238782,0.544496,0.041140
62000.006706,8508.000000,38.784468,0.545686,0.006542
63001.272735,8641.000000,39.274870,0.490402,0.005696
64000.284742,8770.000000,39.750259,0.475389,0.005969
65000.463675,8895.000000,40.219347,0.469088,0.020207
66001.205427,9007.000000,40.639216,0.419869,0.009765
67000.003103,9146.000000,41.156161,0.516945,0.006864
68000.458523,9270.000000,41.612997,0.456836,0.005605
69000.371160,9380.000000,42.036572,0.423575,0.020968
70000.125085,9486.000000,42.422460,0.385888,0.005452
71000.207291,9588.000000,42.855233,0.432773,0.069543
72000.003065,9674.000000,43.170257,0.315024,0.005654
73000.017348,9776.000000,43.559340,0.389083,0.013920
74000.461788,9889.000000,43.994189,0.434849,0.019943
75000.001562,10002.000000,44.404126,0.409937,0.005018
75999.999306,10155.000000,45.006288,0.602162,0.045414
77000.219759,10276.000000,45.535646,0.529358,0.087472
78000.036220,10404.000000,46.028301,0.492655,0.019774
78999.998804,10549.000000,46.565675,0.537374,0.021402
80005.694275,10681.000000,47.050554,0.484879,0.005964
81003.858418,10794.000000,47.470332,0.419778,0.005740
81999.994666,10913.000000,47.918436,0.448104,0.014039
83000.452817,11045.000000,48.395620,0.477184,0.006148
84000.120345,11170.000000,48.862588,0.466968,0.014444
85000.217458,11306.000000,49.386998,0.524410,0.015288
86000.180016,11438.000000,49.892216,0.505218,0.018809
87001.504802,11581.000000,50.424253,0.532037,0.020553
88000.001828,11704.000000,50.961357,0.537104,0.094302
89007.334837,11854.000000,51.534364,0.573007,0.027803
90000.001985,11963.000000,51.939341,0.404977,0.005203
91000.123680,12092.000000,52.424207,0.484866,0.011829
92000.926882,12237.000000,52.995071,0.570864,0.051093
93005.883185,12361.000000,53.475623,0.480552,0.012287
94000.818841,12490.000000,53.946610,0.470987,0.006552
95000.006332,12620.000000,54.431097,0.484487,0.015083
95999.999710,12750.000000,54.932692,0.501595,0.024305
97000.529452,12899.000000,55.555000,0.622308,0.050314
97999.999671,13015.000000,55.997126,0.442126,0.020835
99000.002672,13109.000000,56.340492,0.343366,0.005139
100000.002608,13242.000000,56.919849,0.579357,0.072401
101001.920694,13364.000000,57.369955,0.450106,0.004996
102002.974844,13479.000000,57.793651,0.423696,0.009949
103000.639075,13590.000000,58.205221,0.411570,0.005320
104002.207250,13714.000000,58.671479,0.466258,0.005854
105000.870767,13826.000000,59.080410,0.408931,0.005350
106000.085727,13920.000000,59.422825,0.342415,0.011610
107000.200380,14036.000000,59.848419,0.425594,0.005343
107999.998591,14152.000000,60.272126,0.423707,0.005013
109000.000301,14254.000000,60.651140,0.379014,0.005616
110007.079748,14368.000000,61.085717,0.434577,0.005999
111000.070229,14464.000000,61.494967,0.409250,0.061795
112000.039154,14567.000000,61.878996,0.384029,0.006109
113006.070144,14702.000000,62.383393,0.504397,0.006711
114000.024271,14822.000000,62.878857,0.495464,0.027834
115000.003352,14937.000000,63.389255,0.510398,0.046221
115999.998771,15035.000000,63.778692,0.389437,0.034330
117000.055011,15146.000000,64.186795,0.408103,0.005988
118000.059687,15256.000000,64.614614,0.427819,0.014286
119000.169430,15375.000000,65.070037,0.455423,0.016969
120000.023517,15508.000000,65.560009,0.489972,0.006023
121001.176228,15624.000000,66.220684,0.660675,0.165520
122000.794592,15741.000000,66.652808,0.432124,0.006825
123000.389134,15846.000000,67.039407,0.386599,0.005780
124000.343834,15945.000000,67.407874,0.368467,0.005506
125001.078490,16060.000000,67.844836,0.436962,0.020514
126000.414142,16186.000000,68.315875,0.471039,0.012887
127001.821865,16274.000000,68.642184,0.326309,0.013792
128000.033166,16387.000000,69.059226,0.417042,0.005460
128999.998518,16507.000000,69.490486,0.431260,0.004988
130002.585703,16598.000000,69.825961,0.335475,0.005395
131002.715287,16711.000000,70.247899,0.421938,0.009945
132000.074346,16821.000000,70.658924,0.411025,0.005499
133001.759521,16929.000000,71.046768,0.387844,0.004671
134009.416907,17031.000000,71.417219,0.370451,0.005172
135000.005291,17143.000000,71.842707,0.425488,0.025095
135999.994926,17242.000000,72.202352,0.359645,0.005530
137003.340270,17350.000000,72.606641,0.404289,0.005815
138000.135808,17446.000000,72.961199,0.354558,0.005134
139000.184979,17574.000000,73.559460,0.598261,0.062470
139999.999913,17682.000000,73.989338,0.429878,0.024305
141003.456716,17802.000000,74.437109,0.447771,0.005403
142000.198915,17902.000000,74.807531,0.370422,0.005590
143000.010590,18018.000000,75.240770,0.433239,0.010125
144001.205991,18135.000000,75.701925,0.461155,0.025380
145000.389043,18253.000000,76.130623,0.428698,0.005885
146000.026197,18381.000000,76.604115,0.473492,0.005918
147004.448353,18489.000000,77.011903,0.407788,0.016723
148000.229696,18595.000000,77.489793,0.477890,0.038541
149002.267458,18699.000000,77.894833,0.405040,0.013061
150000.001828,18813.000000,78.316251,0.421418,0.006144
151000.023404,18932.000000,78.768091,0.451840,0.011832
152001.362758,19048.000000,79.279911,0.511820,0.084362
153002.021591,19185.000000,81.055839,1.775928,1.265530
153999.998013,19265.000000,81.345925,0.290086,0.005925
155000.053357,19362.000000,81.712202,0.366277,0.005999
156009.528466,19473.000000,82.143861,0.431659,0.016683
157000.331784,19606.000000,82.670090,0.526229,0.047228
158000.047926,19712.000000,83.060119,0.390029,0.006390
159000.003120,19818.000000,83.441894,0.381775,0.005771
160000.001993,19932.000000,83.870887,0.428993,0.009984
161000.006577,20040.000000,84.268703,0.397816,0.005294
162000.012610,20143.000000,84.646787,0.378084,0.013071
163000.002217,20258.000000,85.127633,0.480846,0.039255
164000.037511,20391.000000,85.615611,0.487978,0.005763
165000.161629,20503.000000,86.056447,0.440836,0.022980
166000.034261,20594.000000,86.397208,0.340761,0.007407
167003.206891,20715.000000,86.858578,0.461370,0.022222
168000.039502,20829.000000,87.274938,0.416360,0.005167
169001.040023,20956.000000,87.740459,0.465521,0.005189
170002.031498,21064.000000,88.135624,0.395165,0.007205
171000.047707,21184.000000,88.578119,0.442495,0.005571
172002.352842,21283.000000,88.954768,0.376649,0.019716
173006.251299,21399.000000,89.401221,0.446453,0.022890
174000.105191,21519.000000,89.845526,0.444305,0.006268
175006.450125,21628.000000,90.245013,0.399487,0.015401
175999.998472,21738.000000,90.649261,0.404248,0.006708
177000.120445,21869.000000,91.139123,0.489862,0.005621
178000.005477,21970.000000,91.517923,0.378800,0.005754
179000.206659,22058.000000,91.839759,0.321836,0.004845
180009.985844,22171.000000,92.258783,0.419024,0.013434
181000.008563,22258.000000,92.564636,0.305853,0.005023
182000.023469,22351.000000,92.898941,0.334305,0.005266
183000.416664,22454.000000,93.300507,0.401566,0.018474
184001.164583,22531.000000,93.581138,0.280631,0.005246
185000.000959,22611.000000,93.879098,0.297960,0.005668
186012.535172,22696.000000,94.180849,0.301751,0.004540
187003.161292,22797.000000,94.557563,0.376714,0.015098
188000.000179,22883.000000,94.869140,0.311577,0.005628
189000.004594,22987.000000,95.250818,0.381678,0.005743
190001.284248,23059.000000,95.566065,0.315247,0.053149
191000.002195,23153.000000,95.960286,0.394221,0.021274
