Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,59.000000,433.941889,143.640107,9.705591
2000.004180,79.000000,540.894297,106.952408,22.773391
3000.593609,102.000000,661.703687,120.809390,15.410203
4000.068391,122.000000,760.018107,98.314420,9.156312
5000.000234,123.000000,769.206829,9.188722,9.188722
6000.086428,159.000000,930.660077,161.453248,11.634728
7008.631159,198.000000,1081.900978,151.240901,12.096767
8000.078946,234.000000,1204.548632,122.647654,6.980199
9000.093757,268.000000,1330.961350,126.412718,8.022903
10000.002643,304.000000,1448.497353,117.536003,6.537231
11003.272047,348.000000,1572.263725,123.766372,5.785467
12000.676006,389.000000,1695.503615,123.239890,6.971305
13000.455125,430.000000,1818.312053,122.808438,9.350318
14002.559197,462.000000,1938.222328,119.910275,10.553319
15000.019982,500.000000,2070.721140,132.498812,8.602538
16000.153211,541.000000,2183.522383,112.801243,6.284975
17000.039573,582.000000,2312.040500,128.518117,9.908235
18000.085847,616.000000,2436.916286,124.875786,12.860213
18999.998829,649.000000,2540.852157,103.935871,15.480668
20000.345253,680.000000,2643.469531,102.617374,12.000317
21000.613655,716.000000,2755.290386,111.820855,11.617112
22000.218657,756.000000,2858.074736,102.784350,5.535650
23000.555813,798.000000,2963.598584,105.523848,7.488928
24000.247724,834.000000,3063.583935,99.985351,8.798254
25000.179386,870.000000,3157.726094,94.142159,7.365947
25999.998498,906.000000,3258.926192,101.200098,9.109268
27000.003673,938.000000,3345.521687,86.595495,11.164092
28001.045913,976.000000,3459.826703,114.305016,8.341450
29000.183709,1011.000000,3544.716814,84.890111,8.010366
30000.005969,1045.000000,3647.026911,102.310097,12.056028
31000.236536,1080.000000,3736.725936,89.699025,5.887242
32004.587932,1121.000000,3838.044280,101.318344,5.456922
33000.385568,1158.000000,3963.693932,125.649652,8.962850
34000.259378,1200.000000,4084.349406,120.655474,9.334552
35000.032226,1234.000000,4175.732041,91.382635,15.747311
36001.636617,1268.000000,4265.449856,89.717815,12.642132
37002.359951,1306.000000,4381.088473,115.638617,6.997422
38000.948846,1349.000000,4493.490988,112.402515,9.830964
39001.654538,1382.000000,4584.876282,91.385294,7.154787
40000.001101,1418.000000,4679.864315,94.988033,7.990718
41000.019740,1454.000000,4777.224787,97.360472,6.983400
42000.038972,1490.000000,4892.763805,115.539018,10.222892
43000.426945,1526.000000,4996.659317,103.895512,14.595423
43999.997332,1561.000000,5087.405237,90.745920,6.388690
45000.141492,1593.000000,5184.205139,96.799902,7.708301
46000.003553,1624.000000,5268.566676,84.361537,11.628233
47000.296954,1648.000000,5337.032629,68.465953,8.909217
48000.082973,1679.000000,5455.829059,118.796430,14.645885
49000.006598,1712.000000,5544.541564,88.712505,7.703248
50000.131872,1746.000000,5650.059614,105.518050,11.502008
51000.032479,1783.000000,5738.548111,88.488497,8.796996
52000.142770,1820.000000,5844.215954,105.667843,6.450522
53001.472175,1856.000000,5942.089465,97.873511,6.427803
54002.292279,1894.000000,6033.073684,90.984219,5.559041
55000.026382,1940.000000,6149.164643,116.090959,6.001033
56000.088514,1986.000000,6250.379207,101.214564,3.900993
57000.000834,2032.000000,6371.344663,120.965456,7.537219
58000.003536,2076.000000,6473.334182,101.989519,5.328466
59000.035447,2116.000000,6579.512882,106.178700,6.498760
60000.172344,2158.000000,6688.034997,108.522115,6.524168
61003.890558,2199.000000,6795.051808,107.016811,7.180400
62000.006706,2246.000000,6904.807732,109.755924,6.530675
63001.272735,2290.000000,7019.698263,114.890531,8.754163
64000.284742,2330.000000,7125.699820,106.001557,8.356145
65000.463675,2370.000000,7227.403302,101.703482,5.743111
66001.205427,2414.000000,7334.191321,106.788019,7.342524
67000.003103,2454.000000,7452.264383,118.073062,6.816798
68000.458523,2498.000000,7558.815430,106.551047,6.633426
69000.371160,2532.000000,7650.094743,91.279313,8.139175
70000.125085,2565.000000,7747.092052,96.997309,6.978873
71000.207291,2600.000000,7850.430287,103.338235,7.616839
72000.003065,2634.000000,7932.471997,82.041710,8.469625
73000.017348,2670.000000,8025.062031,92.590034,6.202021
74000.461788,2706.000000,8125.085489,100.023458,7.342026
75000.001562,2746.000000,8223.577276,98.491787,6.178086
75999.999306,2794.000000,8340.756291,117.179015,5.237873
77000.219759,2832.000000,8443.373351,102.617060,8.241029
78000.036220,2878.000000,8549.403505,106.030154,5.017333
78999.998804,2926.000000,8665.557773,116.154268,6.155003
80005.694275,2974.000000,8786.380490,120.822717,7.498731
81003.858418,3020.000000,8893.756238,107.375748,6.886693
81999.994666,3060.000000,8993.484065,99.727827,6.909113
83000.452817,3106.000000,9108.398146,114.914081,7.847191
84000.120345,3152.000000,9214.298542,105.900396,5.181798
85000.217458,3197.000000,9338.696327,124.397785,7.363873
86000.180016,3243.000000,9450.884539,112.188212,6.369363
87001.504802,3288.000000,9577.899460,127.014921,17.733363
88000.001828,3330.000000,9683.606711,105.707251,5.130579
89007.334837,3374.000000,9807.440361,123.833650,8.105083
90000.001985,3420.000000,9909.241013,101.800652,5.742861
91000.123680,3465.000000,10021.045132,111.804119,5.634191
92000.926882,3512.000000,10138.228755,117.183623,7.552334
93005.883185,3556.000000,10253.621403,115.392648,6.432170
94000.818841,3595.000000,10357.157595,103.536192,5.959794
95000.006332,3642.000000,10471.696898,114.539303,5.565419
95999.999710,3686.000000,10582.834271,111.137373,5.680320
97000.529452,3732.000000,10704.575186,121.740915,6.284282
97999.999671,3778.000000,10815.669716,111.094530,5.299585
99000.002672,3816.000000,10903.343545,87.673829,4.418429
100000.002608,3860.000000,11017.251675,113.908130,6.370364
101001.920694,3906.000000,11127.263861,110.012186,5.118697
102002.974844,3952.000000,11239.041946,111.778085,5.294931
103000.639075,4000.000000,11354.469704,115.427758,5.804908
104002.207250,4048.000000,11479.792657,125.322953,10.213186
105000.870767,4096.000000,11596.048400,116.255743,6.608714
106000.085727,4128.000000,11673.479192,77.430792,5.208280
107000.200380,4174.000000,11781.811455,108.332263,4.527702
107999.998591,4222.000000,11906.170183,124.358728,10.262252
109000.000301,4266.000000,12007.703559,101.533376,3.934265
110007.079748,4314.000000,12130.592785,122.889226,8.975885
111000.070229,4356.000000,12228.035381,97.442596,4.747982
112000.039154,4394.000000,12324.888481,96.853100,6.283518
113006.070144,4444.000000,12454.175278,129.286797,6.934275
114000.024271,4492.000000,12574.486027,120.310749,5.672986
115000.003352,4538.000000,12692.702131,118.216104,6.369831
115999.998771,4578.000000,12791.115004,98.412873,6.145473
117000.055011,4623.000000,12898.242979,107.127975,5.983978
118000.059687,4663.000000,13008.494128,110.251149,6.279956
119000.169430,4708.000000,13136.881026,128.386898,6.429754
120000.023517,4754.000000,13256.573966,119.692940,7.083215
121001.176228,4800.000000,13379.325063,122.751097,7.625245
122000.794592,4838.000000,13489.977849,110.652786,8.174599
123000.389134,4882.000000,13596.940761,106.962912,5.881761
124000.343834,4921.000000,13700.154177,103.213416,6.852048
125001.078490,4968.000000,13807.318783,107.164606,5.008470
126000.414142,5013.000000,13929.270682,121.951899,6.399245
127001.821865,5056.000000,14033.771112,104.500430,4.960823
128000.033166,5102.000000,14148.655532,114.884420,5.489199
128999.998518,5149.000000,14276.674316,128.018784,17.081449
130002.585703,5184.000000,14365.334997,88.660681,6.008095
131002.715287,5232.000000,14481.546424,116.211427,6.969171
132000.074346,5278.000000,14594.638901,113.092477,5.813583
133001.759521,5320.000000,14697.286518,102.647617,5.022304
134009.416907,5368.000000,14810.436921,113.150403,4.465454
135000.005291,5414.000000,14930.905293,120.468372,13.293178
135999.994926,5450.000000,15026.361539,95.456246,5.084648
137003.340270,5494.000000,15134.989200,108.627661,5.482364
138000.135808,5539.000000,15237.652849,102.663649,5.167692
139000.184979,5586.000000,15380.507576,142.854727,19.626283
139999.999913,5634.000000,15495.417856,114.910280,6.973252
141003.456716,5682.000000,15615.798196,120.380340,5.950339
142000.198915,5715.000000,15702.480733,86.682537,5.245134
143000.010590,5757.000000,15827.373758,124.893025,17.871846
144001.205991,5805.000000,15950.238600,122.864842,7.834594
145000.389043,5854.000000,16066.603776,116.365176,4.911262
146000.026197,5900.000000,16188.932493,122.328717,5.902638
147004.448353,5946.000000,16307.413435,118.480942,6.795723
148000.229696,5980.000000,16403.216323,95.802888,6.696588
149002.267458,6025.000000,16514.290216,111.073893,5.613340
150000.001828,6070.000000,16622.299401,108.009185,6.899804
151000.023404,6118.000000,16740.146048,117.846647,6.540814
152001.362758,6164.000000,16852.935347,112.789299,6.671504
153002.021591,6206.000000,16975.374325,122.438978,5.989438
153999.998013,6234.000000,17056.861391,81.487066,9.357421
155000.053357,6277.000000,17172.301910,115.440519,7.467618
156009.528466,6324.000000,17289.299679,116.997769,5.738234
157000.331784,6370.000000,17415.006417,125.706738,6.299785
158000.047926,6414.000000,17526.184609,111.178192,7.424833
159000.003120,6455.000000,17629.357297,103.172688,6.404026
160000.001993,6492.000000,17746.940623,117.583326,11.217010
161000.006577,6540.000000,17860.614813,113.674190,5.918688
162000.012610,6586.000000,17969.951072,109.336259,6.063512
163000.002217,6632.000000,18089.217840,119.266768,5.754630
164000.037511,6680.000000,18209.851752,120.633912,7.802114
165000.161629,6724.000000,18323.030863,113.179111,7.240406
166000.034261,6752.000000,18404.589830,81.558967,7.155978
167003.206891,6798.000000,18526.332835,121.743005,5.902360
168000.039502,6846.000000,18643.590157,117.257322,5.195304
169001.040023,6892.000000,18762.737086,119.146929,5.719337
170002.031498,6937.000000,18876.297446,113.560360,5.864805
171000.047707,6986.000000,19007.555922,131.258476,8.282298
172002.352842,7024.000000,19108.024558,100.468636,7.023092
173006.251299,7073.000000,19225.123640,117.099082,4.488128
174000.105191,7118.000000,19343.640287,118.516647,6.098985
175006.450125,7162.000000,19446.900654,103.260367,4.568018
175999.998472,7208.000000,19566.681724,119.781070,8.219735
177000.120445,7254.000000,19691.196604,124.514880,8.407926
178000.005477,7288.000000,19797.726676,106.530072,6.076234
179000.206659,7332.000000,19897.674791,99.948115,3.594935
180009.985844,7374.000000,20014.265683,116.590892,8.395911
181000.008563,7408.000000,20095.992286,81.726603,4.265416
182000.023469,7446.000000,20195.518640,99.526354,5.757015
183000.416664,7486.000000,20300.578305,105.059665,7.077900
184001.164583,7510.000000,20371.765579,71.187274,8.560276
185000.000959,7544.000000,20471.457834,99.692255,7.147775
186012.535172,7579.000000,20562.659683,91.201849,6.609264
187003.161292,7616.000000,20653.338398,90.678715,5.175718
188000.000179,7656.000000,20747.850366,94.511968,7.216535
189000.004594,7694.000000,20850.324518,102.474152,8.720462
190001.284248,7724.000000,20924.918774,74.594256,5.775482
191000.002195,7756.000000,21023.047854,98.129080,7.401368
192000.013852,7790.000000,21100.170427,77.122573,3.796961
193002.543930,7830.000000,21199.001494,98.831067,7.298507
193999.999104,7864.000000,21282.880064,83.878570,6.198402
195000.026435,7912.000000,21390.108506,107.228442,4.189981
196000.240756,7946.000000,21479.401918,89.293412,6.144520
197006.024839,7988.000000,21602.659493,123.257575,6.428049
198000.554639,8032.000000,21720.742257,118.082764,6.322766
199000.130492,8081.000000,21846.941824,126.199567,7.924216
200000.841553,8131.000000,21969.810583,122.868759,6.303574
201000.002714,8178.000000,22077.848219,108.037636,7.919185
