Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,220.000000,1.780122,0.901098,0.208095
2000.004180,279.000000,2.190071,0.409949,0.009818
3000.593609,343.000000,2.648763,0.458692,0.015716
4000.068391,401.000000,3.055154,0.406391,0.008996
5000.000234,407.000000,3.098191,0.043037,0.008145
6000.086428,511.000000,3.872273,0.774082,0.029245
7008.631159,602.000000,4.535975,0.663702,0.028447
8000.078946,680.000000,5.262120,0.726145,0.114575
9000.093757,755.000000,5.802121,0.540001,0.023312
10000.002643,828.000000,6.355621,0.553500,0.047514
11003.272047,899.000000,6.849181,0.493560,0.008392
12000.676006,975.000000,7.423757,0.574576,0.027063
13000.455125,1041.000000,7.891097,0.467340,0.018024
14002.559197,1115.000000,8.469831,0.578734,0.070031
15000.019982,1190.000000,8.998728,0.528897,0.009288
16000.153211,1252.000000,9.467764,0.469036,0.030029
17000.039573,1323.000000,10.091364,0.623600,0.128023
18000.085847,1393.000000,10.578434,0.487070,0.016034
18999.998829,1456.000000,12.572553,1.994119,1.538768
20000.345253,1511.000000,12.961616,0.389063,0.014798
21000.613655,1569.000000,13.374691,0.413075,0.015998
22000.218657,1641.000000,13.866528,0.491837,0.008327
23000.555813,1711.000000,14.444513,0.577985,0.048867
24000.247724,1771.000000,14.878348,0.433835,0.017243
25000.179386,1833.000000,15.341823,0.463475,0.019322
25999.998498,1898.000000,16.292360,0.950537,0.476208
27000.003673,1959.000000,16.761517,0.469157,0.033770
28001.045913,2032.000000,17.851870,1.090353,0.288774
29000.183709,2089.000000,18.257418,0.405548,0.017005
30000.005969,2152.000000,18.782871,0.525453,0.056904
31000.236536,2216.000000,19.272654,0.489783,0.021957
32004.587932,2291.000000,19.857051,0.584397,0.040009
33000.385568,2358.000000,20.394582,0.537531,0.038833
34000.259378,2433.000000,20.933768,0.539186,0.016357
35000.032226,2485.000000,21.296808,0.363040,0.008272
36001.636617,2549.000000,21.737439,0.440631,0.008036
37002.359951,2620.000000,22.290748,0.553309,0.026703
38000.948846,2695.000000,23.048610,0.757862,0.243509
39001.654538,2750.000000,23.439901,0.391291,0.019652
40000.001101,2812.000000,23.867875,0.427974,0.008165
41000.019740,2870.000000,24.313598,0.445723,0.039826
42000.038972,2932.000000,24.746544,0.432946,0.014432
43000.426945,2988.000000,25.158579,0.412035,0.031694
43999.997332,3047.000000,25.565716,0.407137,0.009464
45000.141492,3106.000000,25.991027,0.425311,0.024086
46000.003553,3153.000000,26.317147,0.326120,0.008326
47000.296954,3194.000000,26.793308,0.476161,0.165545
48000.082973,3251.000000,27.187224,0.393916,0.008590
49000.006598,3305.000000,27.565586,0.378362,0.011415
50000.131872,3368.000000,28.002201,0.436615,0.009348
51000.032479,3428.000000,28.415021,0.412820,0.008204
52000.142770,3492.000000,28.861391,0.446370,0.009011
53001.472175,3554.000000,29.296575,0.435184,0.014017
54002.292279,3612.000000,29.698784,0.402209,0.008904
55000.026382,3683.000000,30.199529,0.500745,0.010090
