Time Recorded,Absolute Call Count,Absolute Total Duration,Relative Total Duration,Relative Max Duration
1000.107948,1284.000000,9.035907,3.673755,0.026452
2000.004180,1562.000000,12.050571,3.014664,0.627554
3000.593609,1982.000000,15.471559,3.420988,0.147327
4000.068391,2377.000000,18.611449,3.139890,0.153306
5000.000234,2380.000000,18.631236,0.019787,0.006963
6000.086428,2765.000000,22.929608,4.298372,1.056434
7008.631159,3317.000000,28.200172,5.270564,1.172396
8000.078946,3981.000000,32.958205,4.758033,0.027594
9000.093757,4472.000000,38.750135,5.791930,1.989554
10000.002643,5063.000000,43.043289,4.293154,0.126291
11003.272047,5431.000000,45.908929,2.865640,0.121159
12000.676006,5964.000000,49.790118,3.881189,0.080836
13000.455125,6391.000000,53.000522,3.210404,0.140584
14002.559197,6855.000000,56.414855,3.414333,0.032982
15000.019982,7411.000000,60.459485,4.044630,0.037709
16000.153211,7745.000000,62.984825,2.525340,0.034493
17000.039573,8235.000000,66.877000,3.892175,0.253130
18000.085847,8706.000000,70.388300,3.511300,0.071227
18999.998829,9059.000000,73.090314,2.702014,0.170261
20000.345253,9356.000000,75.396242,2.305928,0.155042
21000.613655,9656.000000,77.697909,2.301667,0.056885
22000.218657,10153.000000,81.797684,4.099775,0.534101
23000.555813,10588.000000,85.518509,3.720825,0.160662
24000.247724,10912.000000,88.484000,2.965491,0.299961
25000.179386,11219.000000,90.971809,2.487809,0.145669
25999.998498,11577.000000,93.605291,2.633482,0.022242
27000.003673,11916.000000,96.034641,2.429350,0.082407
28001.045913,12345.000000,99.746585,3.711944,0.181892
29000.183709,12673.000000,102.345426,2.598841,0.224451
30000.005969,13035.000000,105.083064,2.737638,0.041913
31000.236536,13400.000000,107.847116,2.764052,0.038853
32004.587932,13830.000000,110.951970,3.104854,0.075536
33000.385568,14096.000000,114.227398,3.275428,1.019892
34000.259378,14462.000000,116.994299,2.766901,0.060366
35000.032226,14682.000000,118.652496,1.658197,0.065565
36001.636617,15033.000000,121.326970,2.674474,0.196910
37002.359951,15589.000000,125.322951,3.995981,0.016815
38000.948846,15902.000000,127.668641,2.345690,0.099634
39001.654538,16275.000000,130.315190,2.646549,0.022030
40000.001101,16635.000000,132.931056,2.615866,0.040227
41000.019740,16878.000000,134.829340,1.898284,0.133552
42000.038972,17258.000000,137.519503,2.690163,0.027429
43000.426945,17591.000000,139.956750,2.437247,0.045673
43999.997332,17964.000000,142.778398,2.821648,0.117915
45000.141492,18390.000000,147.203477,4.425079,1.059079
46000.003553,18640.000000,151.075529,3.872052,2.057078
47000.296954,18816.000000,152.340229,1.264700,0.016544
48000.082973,19148.000000,156.651547,4.311318,1.592843
49000.006598,19461.000000,158.917750,2.266203,0.044689
50000.131872,19733.000000,161.424486,2.506736,0.541517
51000.032479,20036.000000,163.536052,2.111566,0.014601
52000.142770,20449.000000,167.522194,3.986142,0.940842
53001.472175,20826.000000,170.300611,2.778417,0.085506
54002.292279,21154.000000,173.004156,2.703545,0.124734
55000.026382,21527.000000,175.720706,2.716550,0.024272
56000.088514,21801.000000,177.678708,1.958002,0.023082
57000.000834,22225.000000,180.851663,3.172955,0.064374
58000.003536,22560.000000,183.365473,2.513810,0.123066
59000.035447,22853.000000,185.551265,2.185792,0.040983
60000.172344,23137.000000,187.802956,2.251691,0.134768
61003.890558,23443.000000,190.504489,2.701533,0.390606
62000.006706,23805.000000,193.277875,2.773386,0.154330
63001.272735,24082.000000,195.308673,2.030798,0.041093
64000.284742,24391.000000,197.511129,2.202456,0.009131
65000.463675,24699.000000,200.072919,2.561790,0.203663
66001.205427,24896.000000,201.489471,1.416552,0.014807
67000.003103,25340.000000,204.954625,3.465154,0.084890
68000.458523,25605.000000,206.871736,1.917111,0.018002
69000.371160,25919.000000,209.173609,2.301873,0.044197
70000.125085,26216.000000,211.356250,2.182641,0.052612
71000.207291,26441.000000,213.101155,1.744905,0.044885
72000.003065,26550.000000,213.888451,0.787296,0.018738
73000.017348,26790.000000,215.610656,1.722205,0.030263
74000.461788,27065.000000,217.624593,2.013937,0.053012
75000.001562,27289.000000,219.272409,1.647816,0.031765
75999.999306,27658.000000,221.940119,2.667710,0.026185
77000.219759,27914.000000,223.920035,1.979916,0.042263
78000.036220,28147.000000,225.975213,2.055178,0.137499
78999.998804,28494.000000,228.567490,2.592277,0.052146
80005.694275,28777.000000,230.723221,2.155731,0.055009
81003.858418,28940.000000,232.160001,1.436780,0.123764
81999.994666,29223.000000,234.219357,2.059356,0.024950
83000.452817,29490.000000,236.225618,2.006261,0.122548
84000.120345,29689.000000,238.013427,1.787809,0.325800
85000.217458,30053.000000,241.230549,3.217122,0.387871
86000.180016,30297.000000,243.064973,1.834424,0.029392
87001.504802,30750.000000,246.180458,3.115485,0.029372
88000.001828,31051.000000,248.668778,2.488320,0.297904
89007.334837,31507.000000,252.084681,3.415903,0.217208
90000.001985,31652.000000,253.109904,1.025223,0.010655
91000.123680,31948.000000,255.329900,2.219996,0.035498
92000.926882,32297.000000,258.406127,3.076227,0.587344
93005.883185,32547.000000,260.284105,1.877978,0.025764
94000.818841,32898.000000,262.857417,2.573312,0.073841
95000.006332,33179.000000,264.966356,2.108939,0.051174
95999.999710,33495.000000,267.285866,2.319510,0.030873
97000.529452,33953.000000,271.090332,3.804466,0.339810
97999.999671,34167.000000,272.640627,1.550295,0.040976
99000.002672,34307.000000,273.662983,1.022356,0.016896
100000.002608,34665.000000,276.976455,3.313472,0.653946
101001.920694,34896.000000,278.653976,1.677521,0.010509
102002.974844,35083.000000,280.049308,1.395332,0.086551
103000.639075,35246.000000,281.221038,1.171730,0.024848
104002.207250,35431.000000,282.630119,1.409081,0.010914
105000.870767,35557.000000,283.563827,0.933708,0.026774
106000.085727,35760.000000,284.964006,1.400179,0.009457
107000.200380,35935.000000,286.268910,1.304904,0.023315
107999.998591,36186.000000,288.087887,1.818977,0.010014
109000.000301,36304.000000,288.949937,0.862050,0.010611
110007.079748,36480.000000,290.312388,1.362451,0.030085
111000.070229,36611.000000,291.252735,0.940347,0.009406
112000.039154,36855.000000,294.095670,2.842935,0.878303
113006.070144,37182.000000,296.541493,2.445823,0.043683
114000.024271,37420.000000,298.466980,1.925487,0.108936
115000.003352,37650.000000,301.225471,2.758491,0.108785
115999.998771,37851.000000,303.182212,1.956741,0.385140
117000.055011,38059.000000,304.749946,1.567734,0.056065
118000.059687,38362.000000,307.170827,2.420881,0.152884
119000.169430,38634.000000,309.197868,2.027041,0.023522
120000.023517,38911.000000,311.257389,2.059521,0.070488
121001.176228,39164.000000,313.920299,2.662910,0.084603
122000.794592,39596.000000,317.054185,3.133886,0.046038
123000.389134,39763.000000,318.311249,1.257064,0.029023
124000.343834,39953.000000,319.795042,1.483793,0.086153
125001.078490,40135.000000,321.414857,1.619815,0.317422
126000.414142,40480.000000,324.013948,2.599091,0.056732
127001.821865,40524.000000,324.434820,0.420872,0.087389
128000.033166,40738.000000,325.958847,1.524027,0.009872
128999.998518,40943.000000,327.530147,1.571300,0.066493
130002.585703,41133.000000,328.895159,1.365012,0.027307
131002.715287,41289.000000,330.536027,1.640868,0.295860
132000.074346,41454.000000,331.721557,1.185530,0.010119
133001.759521,41646.000000,333.167285,1.445728,0.049941
134009.416907,41737.000000,333.863463,0.696178,0.009964
135000.005291,41967.000000,335.498963,1.635500,0.025318
135999.994926,42209.000000,337.266217,1.767254,0.043923
137003.340270,42345.000000,338.327699,1.061482,0.024761
138000.135808,42444.000000,339.284529,0.956830,0.157999
139000.184979,42715.000000,341.457231,2.172702,0.118682
139999.999913,42897.000000,342.859839,1.402608,0.051583
141003.456716,43142.000000,344.627394,1.767555,0.010745
142000.198915,43406.000000,346.572777,1.945383,0.061131
143000.010590,43689.000000,348.812669,2.239892,0.138631
144001.205991,43897.000000,351.982646,3.169977,1.648857
145000.389043,44055.000000,353.110392,1.127746,0.031391
146000.026197,44442.000000,355.914384,2.803992,0.023556
147004.448353,44606.000000,357.166297,1.251913,0.037993
148000.229696,44876.000000,359.145247,1.978950,0.062325
149002.267458,45024.000000,360.232009,1.086762,0.010591
150000.001828,45247.000000,361.819061,1.587052,0.009837
151000.023404,45471.000000,363.506156,1.687095,0.024976
152001.362758,45659.000000,365.048322,1.542166,0.129191
153002.021591,46177.000000,368.803341,3.755019,0.032767
153999.998013,46363.000000,370.129050,1.325709,0.029019
155000.053357,46522.000000,371.305180,1.176130,0.014727
156009.528466,46663.000000,372.345020,1.039840,0.016260
157000.331784,47008.000000,374.870223,2.525203,0.048688
158000.047926,47230.000000,376.632250,1.762027,0.030942
159000.003120,47470.000000,378.316858,1.684608,0.009770
160000.001993,47940.000000,381.764417,3.447559,0.140453
161000.006577,48067.000000,382.709506,0.945089,0.028098
162000.012610,48205.000000,383.666219,0.956713,0.011176
163000.002217,48446.000000,385.690952,2.024733,0.232036
164000.037511,48710.000000,387.548678,1.857726,0.010056
165000.161629,48987.000000,390.869340,3.320662,1.312881
166000.034261,49266.000000,392.945262,2.075922,0.023255
167003.206891,49530.000000,394.883948,1.938686,0.029056
168000.039502,49721.000000,396.298491,1.414543,0.043331
169001.040023,50036.000000,398.601922,2.303431,0.032373
170002.031498,50227.000000,400.001501,1.399579,0.029917
171000.047707,50391.000000,401.225507,1.224006,0.015597
172002.352842,50559.000000,402.455714,1.230207,0.023223
173006.251299,50715.000000,403.624010,1.168296,0.015274
174000.105191,51002.000000,405.792013,2.168003,0.080835
175006.450125,51149.000000,406.898039,1.106026,0.038970
175999.998472,51332.000000,410.421732,3.523693,2.136957
177000.120445,51774.000000,414.288755,3.867023,0.291148
178000.005477,52064.000000,416.497253,2.208498,0.024598
179000.206659,52108.000000,416.851748,0.354495,0.027337
180009.985844,52424.000000,419.162706,2.310958,0.016476
181000.008563,52565.000000,420.122672,0.959966,0.008607
182000.023469,52719.000000,421.246077,1.123405,0.035524
183000.416664,52926.000000,422.877192,1.631115,0.167379
184001.164583,53166.000000,426.460084,3.582892,1.813777
185000.000959,53299.000000,427.453675,0.993591,0.017197
186012.535172,53474.000000,429.595209,2.141534,0.868739
187003.161292,53723.000000,431.336864,1.741655,0.009994
188000.000179,53809.000000,431.956158,0.619294,0.008770
189000.004594,53991.000000,433.556681,1.600523,0.269048
190001.284248,54147.000000,434.656450,1.099769,0.018000
191000.002195,54442.000000,436.719797,2.063347,0.015271
192000.013852,54476.000000,436.969101,0.249304,0.008566
193002.543930,54531.000000,437.387764,0.418663,0.015983
193999.999104,54750.000000,438.927019,1.539255,0.018995
195000.026435,54835.000000,439.536775,0.609756,0.009465
196000.240756,55113.000000,441.660673,2.123898,0.044381
197006.024839,55378.000000,443.614266,1.953593,0.023655
198000.554639,55609.000000,446.170059,2.555793,0.750558
199000.130492,55874.000000,448.152468,1.982409,0.028935
200000.841553,56077.000000,449.747773,1.595305,0.133023
201000.002714,56173.000000,450.455672,0.707899,0.009725
202001.250403,56455.000000,452.736941,2.281269,0.184074
203000.039614,56677.000000,454.438379,1.701438,0.122476
204000.205497,56960.000000,456.703245,2.264866,0.171767
205009.922915,57227.000000,458.865706,2.162461,0.118332
206000.132379,57492.000000,460.862536,1.996830,0.054182
207000.623860,57644.000000,461.941808,1.079272,0.015086
208005.204289,57846.000000,463.445667,1.503859,0.026942
209002.627006,57972.000000,464.487272,1.041605,0.145346
210005.293726,58190.000000,466.120306,1.633034,0.050548
211000.334579,58477.000000,468.135611,2.015305,0.008856
212000.865263,58602.000000,469.660117,1.524506,0.598585
213006.518650,58930.000000,472.503135,2.843018,0.302112
214003.322600,59047.000000,473.397894,0.894759,0.042287
215000.107388,59353.000000,475.805314,2.407420,0.111523
216000.038215,59664.000000,478.051624,2.246310,0.029558
217002.128480,59874.000000,479.600001,1.548377,0.034359
218000.694135,60064.000000,481.008055,1.408054,0.053255
219000.025062,60287.000000,483.235826,2.227771,0.327522
220000.136128,60613.000000,485.550427,2.314601,0.016974
221000.027512,60873.000000,487.534222,1.983795,0.061727
222006.523085,61019.000000,488.740960,1.206738,0.023886
223000.166881,61225.000000,491.545257,2.804297,1.367376
224000.030457,61512.000000,493.710570,2.165313,0.083429
225005.322146,61737.000000,496.027930,2.317360,0.513263
226000.047049,61905.000000,497.193890,1.165960,0.023429
227000.263372,62117.000000,498.730399,1.536509,0.057084
228000.024042,62475.000000,501.633805,2.903406,0.122199
229005.534045,62748.000000,503.626163,1.992358,0.023953
230000.003251,62901.000000,504.757360,1.131197,0.024423
231003.563173,63165.000000,506.849043,2.091683,0.171324
232001.184472,63320.000000,507.941133,1.092090,0.009506
232999.983055,63569.000000,509.748504,1.807371,0.016478
